episode,start_s,end_s,duration_ms,region,minimum_gap_mm,HEAD_min_gap_mm,TAIL_min_gap_mm,BODY_min_gap_mm,peak_contact_force_N,reopen_after_episode
13,0.03535719960927963,0.03535839915275574,0.001300126314163208,TAIL,2.1219550637829876e-05,0.10437426344232448,2.1219550637829876e-05,0.058401526643024004,0.06076632456568051,True
14,0.03548390045762062,0.035485200583934784,0.0014007091522216797,TAIL,1.1847960663780022e-05,0.10232119652084659,1.1847960663780022e-05,0.059371907438975136,0.03342976297136303,True
15,0.03555319830775261,0.03555449843406677,0.0014007091522216797,TAIL,8.181111074478942e-06,0.10038966427180196,8.181111074478942e-06,0.06008290481626888,0.016557325868564662,True
16,0.03559130057692528,0.03559260070323944,0.0014007091522216797,TAIL,3.6489795058880503e-06,0.09889811353256628,3.6489795058880503e-06,0.06045385259171887,0.008958985438383724,False
17,0.03561209887266159,0.035613398998975754,0.0014007091522216797,TAIL,7.694212132980383e-07,0.09800392650499823,7.694212132980383e-07,0.06064308129725404,0.004784763056281574,False
18,0.035623699426651,0.035624999552965164,0.0014007091522216797,TAIL,7.694212132980383e-07,0.09800392650499823,7.694212132980383e-07,0.06064308129725404,0.002563084500450142,False
19,0.035630401223897934,0.035631898790597916,0.0015981495380401611,TAIL,-1.1537091282320944e-08,0.0970830810679254,-1.1537091282320944e-08,0.06083675617894213,0.0013439586527994854,False
20,0.03563410043716431,0.036444198340177536,0.8101984858512878,TAIL,-1.7054492817969447e-08,0.04075679459282622,-1.7054492817969447e-08,0.02926336015777309,0.000651530397338844,False
21,0.03644439950585365,0.03644439950585365,0.00010058283805847168,TAIL,3.405010828849697e-09,0.04075679459282622,3.405010828849697e-09,0.02926336015777309,3.15381486647683e-08,True
22,0.036583200097084045,0.03658450022339821,0.0014007091522216797,TAIL+BODY,4.059936592948343e-05,0.028200790108475537,4.059936592948343e-05,0.017105009525507642,0.07161909953569238,True
23,0.03678039833903313,0.03678179904818535,0.0015012919902801514,HEAD+TAIL+BODY,0.0004242774023957008,0.01107249016593681,0.0013693134347168012,0.0004242774023957008,0.5756014550791447,True
24,0.038837600499391556,0.03883890062570572,0.0014007091522216797,TAIL,0.00017509109725999394,0.034916484812418935,0.00017509109725999394,0.02168644949485965,0.3452901146871377,True
25,0.0400347001850605,0.04003610089421272,0.0015012919902801514,HEAD+BODY,2.8281097247506715e-05,0.01244197125978308,0.03364367371323784,2.8281097247506715e-05,0.12182819782273797,True
26,0.04205689951777458,0.042058300226926804,0.0015012919902801514,HEAD+BODY,8.374668601496271e-05,0.013417693927700314,0.03491649537205177,8.374668601496271e-05,0.06479719587739516,True
27,0.048574298620224,0.048575498163700104,0.001300126314163208,TAIL+BODY,8.133357885520276e-06,0.04716900932864854,8.133357885520276e-06,0.006249781462204673,0.25029778936090746,True
28,0.049389101564884186,0.04939030110836029,0.001300126314163208,TAIL+BODY,1.8908755864521787e-05,0.04810806091309128,1.8908755864521787e-05,0.005631482655022668,0.1429851497786071,True
29,0.049810998141765594,0.04981210082769394,0.0012032687664031982,TAIL+BODY,1.552780935987208e-05,0.05661546961657937,1.552780935987208e-05,0.006496074044958555,0.07693628380286135,True
30,0.05006980150938034,0.050071001052856445,0.001300126314163208,TAIL+BODY,9.740101201360929e-06,0.06473817604662646,9.740101201360929e-06,0.007406716498819854,0.04040783493449922,True
31,0.05020409822463989,0.05020520091056824,0.0012032687664031982,TAIL+BODY,1.5454643129353407e-05,0.06995402818107843,1.5454643129353407e-05,0.007241657446874994,0.06747321985581846,True
32,0.05045580118894577,0.050457000732421875,0.001300126314163208,TAIL+BODY,5.6293438570387266e-05,0.07942601771986746,5.6293438570387266e-05,0.0086007666684218,0.03549923295814301,True
33,0.05059380084276199,0.0505950003862381,0.001300126314163208,TAIL+BODY,2.3853697371900573e-05,0.08566899604160805,2.3853697371900573e-05,0.009445680251544353,0.017374499572286036,True
34,0.05066879838705063,0.05067000165581703,0.00130385160446167,TAIL+BODY,5.156458004029751e-06,0.08945079266183098,5.156458004029751e-06,0.009958372868427934,0.009258138185809938,True
35,0.05070900171995163,0.050710201263427734,0.001300126314163208,TAIL+BODY,2.8033037172692232e-06,0.0913945488819834,2.8033037172692232e-06,0.01022813946151424,0.004603166668612499,True
