chi_deg,min_gap_mm,p05_gap_mm,low10_mean_gap_mm,frac_frames_gap_lt0,frac_frames_gap_lt20um,max_closing_mm_s,head_min_gap_mm,tail_min_gap_mm,side_min_gap_mm,head_max_closing_mm_s,tail_max_closing_mm_s,side_max_closing_mm_s,danger_frames,min_gap_improve_um,negative_exposure_reduction_pct,closing_reduction_pct,gate_pass,rank
141.0,0.27606605510405524,0.33926208225314153,0.3358853576246295,0.0,0.0,825.0237309974281,0.29626964088692165,0.27606605510405524,0.34007502264325595,794.8315529114477,825.0237309974281,532.5867325910435,13.0,276.59900179456355,100.0,-8.989603078827397,True,11
130.0,0.27542025589070446,0.3333880715869333,0.3254646116969619,0.0,0.0,842.897005585288,0.27542025589070446,0.29099743282177937,0.3405692113749193,782.6160919315479,842.897005585288,508.35846432344607,13.0,275.95320258121274,100.0,-11.350748619083154,True,12
129.0,0.2730168174677783,0.3317026118461172,0.3249237024986438,0.0,0.0,847.052240655905,0.2730168174677783,0.29259506552058545,0.3414631799345983,774.3407395495993,847.052240655905,506.1444311646578,13.0,273.54976415828656,100.0,-11.899675157836489,True,13
142.0,0.27290221602828535,0.3399986903667411,0.3362434261778658,0.0,0.0,825.7868436857303,0.2973105712680821,0.27290221602828535,0.34087949467822415,793.307366888582,825.7868436857303,535.0004064933762,13.0,273.43516271879366,100.0,-9.090413935385342,True,14
128.0,0.27082494602272017,0.3295070813650608,0.3243264104964363,0.0,0.0,848.5062808832827,0.27082494602272017,0.2930043627042873,0.34249794205944806,773.6894691696136,848.5062808832827,503.93140702230016,13.0,271.35789271322847,100.0,-12.091760865542064,True,15
143.0,0.2699707006457429,0.3408821917187331,0.3362241260101549,0.0,0.0,811.1027268095048,0.2985414160237079,0.2699707006457429,0.3418249380745447,791.5735879464614,811.1027268095048,537.1653814779287,13.0,270.5036473362512,100.0,-7.1505714681049435,True,16
127.0,0.2688453092208045,0.32581495791793236,0.3236570288801347,0.0,0.0,851.0293548672951,0.2688453092208045,0.2923738529743812,0.34367318255090207,747.1851371303964,851.0293548672951,530.2592406064547,13.0,269.3782559113128,100.0,-12.425071074356994,True,17
144.0,0.267272401924409,0.3419123171860498,0.33607331881870023,0.0,0.0,810.2660888467482,0.29996180022656654,0.267272401924409,0.34291106484100387,789.6307442109701,810.2660888467482,539.3219339718386,13.0,267.8053486149173,100.0,-7.040047569148382,True,18
126.0,0.2670785100785779,0.3251290986557114,0.32290169547896985,0.0,0.0,853.498757469593,0.2670785100785779,0.2919815112045695,0.3449885434193199,745.4501259956606,853.498757469593,527.9981974846829,13.0,267.6114567690862,100.0,-12.751291035497863,True,19
125.0,0.2655250867801767,0.326573913227333,0.32213607871396444,0.0,0.0,855.8461854215789,0.2655250867801767,0.2918274569059584,0.3464436239930422,750.6290866385417,855.8461854215789,525.7176078678112,13.0,266.058033470685,100.0,-13.061397558656628,True,20
145.0,0.2648081417922168,0.3430837373099803,0.3361442243690463,0.0,0.0,809.3013147321876,0.30157129121386694,0.2648081417922168,0.34413127454222414,787.4794274911027,809.3013147321876,541.4694070683367,13.0,265.34108848272507,100.0,-6.9125962682269435,True,21
0.0,-0.000532946690508316,0.0962779746266154,0.0920300870386729,0.07692307692307693,0.15384615384615385,756.9747092304984,-0.000532946690508316,0.007687783802093988,0.28638048529762006,756.9747092304984,751.4001875235192,471.28191617996924,13.0,0.0,0.0,0.0,False,22
