chi_deg,min_gap_mm,p05_gap_mm,low10_mean_gap_mm,frac_frames_gap_lt0,frac_frames_gap_lt20um,max_closing_mm_s,head_min_gap_mm,tail_min_gap_mm,side_min_gap_mm,head_max_closing_mm_s,tail_max_closing_mm_s,side_max_closing_mm_s,danger_frames,min_gap_improve_um,negative_exposure_reduction_pct,closing_reduction_pct,gate_pass
185.0,0.189800780030992,0.2887824522840937,0.27726456273941286,0.0,0.0,785.695408219022,0.3237318171591878,0.189800780030992,0.35734264269990507,768.3408661894251,785.695408219022,486.8274737010054,13.0,190.3337267215003,100.0,-3.7941424777215618,True
190.0,0.18338199541427117,0.27971549576452925,0.26587904441276483,0.0,0.0,761.717446868726,0.31305457708575246,0.18338199541427117,0.35710354399889566,742.697491332497,761.717446868726,494.48475392061073,13.0,183.9149421047795,100.0,-0.6265384537151603,True
195.0,0.17863289414507258,0.2611327625472091,0.2550831275895754,0.0,0.0,763.4840528759803,0.2960532845321058,0.17863289414507258,0.3596850376606947,755.4938935276349,763.4840528759803,498.54186410269165,13.0,179.1658408355809,100.0,-0.859915604326983,True
200.0,0.16054555866855758,0.2609046799844306,0.24539392143635821,0.0,0.0,793.0646037967653,0.28136198884570174,0.16054555866855758,0.35867067711413475,793.0646037967653,732.67871696279,517.8850969237076,13.0,161.0785053590659,100.0,-4.767648658031647,True
205.0,0.1458741019975403,0.2528548906817873,0.23498449645549824,0.0,0.0,796.6719992902454,0.2649336440752411,0.1458741019975403,0.35156998322067556,796.6719992902454,750.5407876157276,504.6916817876538,13.0,146.40704868804863,100.0,-5.244202953636477,True
210.0,0.1370762562535981,0.23583817073290933,0.22625755476579676,0.0,0.0,789.9341637989953,0.25378072566965565,0.1370762562535981,0.34732172257262856,789.9341637989953,754.1538222035541,481.1887816020611,13.0,137.6092029441064,100.0,-4.3541024774793025,True
215.0,0.13193398027094969,0.22959011574034638,0.21720691687362034,0.0,0.0,785.898949552394,0.2421534536030613,0.13193398027094969,0.34595167667384796,785.898949552394,737.1379941826923,499.22137840027443,13.0,132.466926961458,100.0,-3.821031266856785,True
220.0,0.1255637079288322,0.22060158128488555,0.20728924830699574,0.0,0.0,799.6395928638724,0.22393912102524888,0.1255637079288322,0.34749607485341416,799.6395928638724,744.7135199864953,517.1193246707151,13.0,126.09665461934053,100.0,-5.6362363382978655,True
225.0,0.12496495542804342,0.21300997350688652,0.1969764119150762,0.0,0.0,807.4470499182643,0.2107238759904304,0.12496495542804342,0.3482592074175388,807.4470499182643,746.125779644344,534.7238761385245,13.0,125.49790211855175,100.0,-6.66763896763122,True
230.0,0.11270346533633502,0.20213899167149937,0.1886861365249889,0.0,0.0,788.519471637745,0.19634204137958364,0.11270346533633502,0.34010941133676614,788.519471637745,741.8770904802147,551.9010515370949,13.0,113.23641202684333,100.0,-4.167214838566189,True
235.0,0.09808165419607881,0.19557019329244668,0.1820865222183427,0.0,0.0,777.1422862925165,0.18133863599505468,0.09808165419607881,0.32993075885226375,777.1422862925165,758.5880498244574,568.5201221897694,13.0,98.61460088658713,100.0,-2.6642339322695947,True
240.0,0.0893342034966648,0.1907022426314943,0.17560313462758725,0.0,0.0,760.640557013128,0.17171240592986164,0.0893342034966648,0.32281982052721164,760.640557013128,752.1685352793953,520.0022299068378,13.0,89.86715018717311,100.0,-0.4842761241463568,True
245.0,0.08652768661976801,0.183755090022875,0.17042612725756032,0.0,0.0,776.063791192754,0.1674662525756732,0.08652768661976801,0.3188307148959663,776.063791192754,763.8864030821738,521.5060811948084,13.0,87.06063331027632,100.0,-2.521759542225733,True
250.0,0.0855346933264195,0.1765984332880478,0.16338411418406065,0.0,0.0,797.6523910337617,0.1655838810179619,0.0855346933264195,0.3179938014610717,797.6523910337617,769.7608713489128,536.549590911083,13.0,86.06764001692781,100.0,-5.373717418460924,True
255.0,0.08112770287269555,0.17226810026958067,0.15742862811969743,0.0,0.0,797.053456123239,0.15122081359718217,0.08112770287269555,0.31098805525811085,797.053456123239,769.7472318290077,551.0516051978915,13.0,81.66064956320386,100.0,-5.294595236012914,True
260.0,0.06689452395764293,0.16310848435157396,0.1490573875175638,0.0,0.0,805.7327544711186,0.13542657405649552,0.06689452395764293,0.3017145069334829,805.7327544711186,763.8455883274335,564.9918752397746,13.0,67.42747064815124,100.0,-6.44117229361402,True
265.0,0.05429795750314965,0.15453274609042275,0.14056066607436232,0.0,0.0,811.829357915658,0.12327749027851966,0.05429795750314965,0.2957552804291061,811.829357915658,731.2255938886553,520.3347108765504,13.0,54.830904193657965,100.0,-7.246562932191216,True
270.0,0.047143808793004296,0.14404248530773267,0.1329116407436232,0.0,0.0,815.296867623422,0.11481837923948066,0.047143808793004296,0.2931557290569593,815.296867623422,736.0328384686904,513.1304717621665,13.0,47.676755483512615,100.0,-7.704637642677772,True
275.0,0.039723943058708695,0.13462163668919827,0.12644846456100178,0.0,0.0,816.1088937517812,0.1091925770267224,0.039723943058708695,0.2939356369726367,816.1088937517812,747.9421738501825,525.8907615914783,13.0,40.25688974921701,100.0,-7.811910199931987,True
280.0,0.02815861287080289,0.12910345792380706,0.11992979186556701,0.0,0.0,814.2592562915884,0.09768023196555654,0.02815861287080289,0.2911250987009205,814.2592562915884,754.7402842373108,538.2193091780081,13.0,28.69155956131121,100.0,-7.5675641950207915,True
285.0,0.022235437678224886,0.12022128984534988,0.11226743254976844,0.0,0.0,810.7656310821703,0.07364883632610351,0.022235437678224886,0.28362395518561717,810.7656310821703,758.7649018022707,550.0222868304267,13.0,22.7683843687332,100.0,-7.106039501154931,True
290.0,0.021999496420696294,0.11252401442352897,0.10340121832769669,0.0,0.0,806.0052337324187,0.05483258946646703,0.021999496420696294,0.27959915279124414,806.0052337324187,756.9882087244321,500.5825478216524,13.0,22.53244311120461,100.0,-6.4771681146074425,True
295.0,0.010563140604180815,0.10393747373504214,0.09832030223535504,0.0,0.07692307692307693,798.5825730043957,0.04137469438681116,0.010563140604180815,0.2790813226942653,798.5825730043957,749.4237267109105,500.64396043455434,13.0,11.096087294689132,100.0,-5.496598930787756,True
300.0,0.003389989450999205,0.0960772584734666,0.09184587446551193,0.0,0.07692307692307693,790.3983003059859,0.03337757379479047,0.003389989450999205,0.2820744058943927,790.3983003059859,737.62815710403,512.0373036576913,13.0,3.9229361415075212,100.0,-4.415417142464929,False
305.0,-0.00475575744913561,0.08646901162548057,0.08816729273794541,0.07692307692307693,0.07692307692307693,782.7531603031443,0.03090209060690356,-0.00475575744913561,0.2808238487624605,782.7531603031443,753.2740675251638,523.1199362835572,13.0,-4.222810758627294,0.0,-3.405457376356861,False
310.0,-0.01623345959814163,0.0888512178921305,0.08700248235182934,0.07692307692307693,0.07692307692307693,777.176552240001,0.03394387135580247,-0.01623345959814163,0.27550254719597694,777.176552240001,763.1768144483948,479.9552655204833,13.0,-15.700512907633312,0.0,-2.668760628745275,False
315.0,-0.022075873983383166,0.08373039898400339,0.08281457297498308,0.07692307692307693,0.15384615384615385,776.0129518245226,0.037193890592626025,-0.022075873983383166,0.2737313876855145,776.0129518245226,767.2610319901942,486.47715124496733,13.0,-21.54292729287485,0.0,-2.515043417154247,False
320.0,-0.0222385363036416,0.09214278738991996,0.08204350586149498,0.07692307692307693,0.15384615384615385,765.4956367889429,0.022870363568811808,-0.0222385363036416,0.275523849824408,761.6585803210513,765.4956367889429,492.5972269023227,13.0,-21.705589613133284,0.0,-1.1256555145820364,False
325.0,-0.016720208600441627,0.0879578043231374,0.08072075648769793,0.07692307692307693,0.15384615384615385,757.8940645681098,0.0069105391806904126,-0.016720208600441627,0.2808662918934571,749.1058541825506,757.8940645681098,503.4147476204521,13.0,-16.187261909933312,0.0,-0.12145126203039643,False
