node,x_mm,y_mm,z_mm
352,-10.861527442932129,-5.469555854797363,-10.102997779846191
353,-10.019596099853516,-5.228365421295166,-8.906437873840332
354,-10.176299095153809,-4.851624965667725,-8.554441452026367
355,-10.46017074584961,-4.42051362991333,-8.450586318969727
356,-10.76801872253418,-4.0702128410339355,-8.592514991760254
357,-10.213138580322266,-5.389186859130859,-9.902032852172852
358,-10.030824661254883,-5.422061443328857,-9.40917682647705
359,-11.042572975158691,-3.8505163192749023,-8.930118560791016
360,-11.22492790222168,-3.817676067352295,-9.422961235046387
361,-11.23610782623291,-4.011329650878906,-9.925715446472168
362,-11.0794677734375,-4.388118743896484,-10.277687072753906
363,-10.795559883117676,-4.819202423095703,-10.381556510925293
364,-10.487692832946777,-5.169488430023193,-10.23963737487793
365,-9.69635009765625,-5.012503623962402,-8.995489120483398
366,-9.843843460083008,-4.628204345703125,-8.6451997756958
367,-10.097128868103027,-4.175596237182617,-8.550897598266602
368,-10.363957405090332,-3.8003838062286377,-8.703829765319824
369,-9.849788665771484,-5.145503044128418,-10.004185676574707
370,-9.69796371459961,-5.200247287750244,-9.502335548400879
371,-10.597803115844727,-3.5545408725738525,-9.0505952835083
372,-10.749655723571777,-3.499814748764038,-9.552438735961914
373,-10.751236915588379,-3.6875367164611816,-10.059292793273926
374,-10.603782653808594,-4.0718607902526855,-10.409571647644043
375,-10.350473403930664,-4.524454593658447,-10.50387954711914
376,-10.083633422851562,-4.899659633636475,-10.350951194763184
377,-9.35213565826416,-4.822977542877197,-9.063394546508789
378,-9.489748001098633,-4.4327826499938965,-8.71475887298584
379,-9.709815979003906,-3.961548328399658,-8.6273775100708
380,-9.933687210083008,-3.5634748935699463,-8.788712501525879
381,-9.46237564086914,-4.931873321533203,-10.081283569335938
382,-9.343733787536621,-5.005369663238525,-9.572707176208496
383,-10.124673843383789,-3.2943525314331055,-9.14326286315918
384,-10.243315696716309,-3.2208564281463623,-9.651839256286621
385,-10.23491382598877,-3.4032483100891113,-10.161151885986328
386,-10.097301483154297,-3.793443441390991,-10.509787559509277
387,-9.877233505249023,-4.264678001403809,-10.597168922424316
388,-9.653362274169922,-4.662750720977783,-10.435834884643555
389,-8.990373611450195,-4.6616716384887695,-9.109480857849121
390,-9.117321968078613,-4.2671589851379395,-8.762506484985352
391,-9.302124977111816,-3.780515670776367,-8.679265022277832
392,-9.481481552124023,-3.361841917037964,-8.846319198608398
393,-9.05479621887207,-4.750432968139648,-10.132555961608887
394,-8.97144889831543,-4.83920955657959,-9.619647026062012
395,-9.627842903137207,-3.072526454925537,-9.207206726074219
396,-9.711159706115723,-2.983739137649536,-9.720117568969727
397,-9.69227123260498,-3.1612892150878906,-10.230279922485352
398,-9.565279960632324,-3.5557854175567627,-10.57725715637207
399,-9.380502700805664,-4.042438507080078,-10.660497665405273
400,-9.20115852355957,-4.461117744445801,-10.493441581726074
401,-8.614660263061523,-4.530189037322998,-9.133289337158203
402,-8.730015754699707,-4.132894992828369,-8.787965774536133
403,-8.878146171569824,-3.6343209743499756,-8.706032752990723
404,-9.01183795928955,-3.1974875926971436,-8.876079559326172
405,-8.631136894226074,-4.603012561798096,-10.157485008239746
406,-8.584556579589844,-4.703346252441406,-9.642707824707031
407,-9.112214088439941,-2.891239881515503,-9.24179744720459
408,-9.158740043640137,-2.7908935546875,-9.756574630737305
409,-9.128702163696289,-2.964064836502075,-10.265992164611816
410,-9.013265609741211,-3.3613369464874268,-10.611312866210938
411,-8.865181922912598,-3.859922409057617,-10.69324779510498
412,-8.731514930725098,-4.296763896942139,-10.523201942443848
413,-8.228730201721191,-4.429836273193359,-9.13458251953125
414,-8.331409454345703,-4.031307220458984,-8.790802001953125
415,-8.442126274108887,-3.524447202682495,-8.707379341125488
416,-8.52942180633545,-3.0720455646514893,-8.87769603729248
417,-8.195635795593262,-4.49112606048584,-10.155815124511719
418,-8.18661880493164,-4.599154472351074,-9.641642570495605
419,-8.582886695861816,-2.7522459030151367,-9.246700286865234
420,-8.591840744018555,-2.6442103385925293,-9.760869026184082
421,-8.549805641174316,-2.81353497505188,-10.267931938171387
422,-8.447029113769531,-3.212045907974243,-10.611700057983398
423,-8.336362838745117,-3.718912363052368,-10.695130348205566
424,-8.249098777770996,-4.171321392059326,-10.524818420410156
425,-7.836418628692627,-4.36160945892334,-9.113348007202148
426,-7.9251933097839355,-3.9634647369384766,-8.770832061767578
427,-7.998428821563721,-3.452026844024658,-8.68324089050293
428,-8.03902816772461,-2.9867630004882812,-8.851153373718262
429,-7.7526469230651855,-4.415951251983643,-10.12755298614502
430,-7.781303882598877,-4.527792930603027,-9.616402626037598
431,-8.045099258422852,-2.6568572521209717,-9.221878051757812
432,-8.016386985778809,-2.545015811920166,-9.733020782470703
433,-7.961337089538574,-2.711195707321167,-10.23608112335205
434,-7.872467994689941,-3.109332799911499,-10.57857894897461
435,-7.7992730140686035,-3.62076997756958,-10.666179656982422
436,-7.758706569671631,-4.086039066314697,-10.498274803161621
437,-7.441623687744141,-4.326188564300537,-9.06979751586914
438,-7.51516580581665,-3.930180311203003,-8.728021621704102
439,-7.55149507522583,-3.4178311824798584,-8.633781433105469
440,-7.545531749725342,-2.9424874782562256,-8.796713829040527
441,-7.306589603424072,-4.378329277038574,-10.07296371459961
442,-7.372379302978516,-4.490200042724609,-9.567137718200684
443,-7.504175186157227,-2.605926275253296,-9.167591094970703
444,-7.438355922698975,-2.4940602779388428,-9.673409461975098
445,-7.369144439697266,-2.6580638885498047,-10.170755386352539
446,-7.295530796051025,-3.0540719032287598,-10.512513160705566
