element,side,region,center_x_mm,angle_error_deg
4626,1,body,1.8403370777765897,0.38228531031288693
4639,1,body,1.54055682818095,0.38213364792248494
4676,1,body,1.8403370777765897,0.38215238911769783
4678,3,body,1.7803810040156067,0.38219502398631405
4731,2,body,1.7404103279113798,0.3822269096071826
4762,2,body,0.5213042696317035,0.38217233181621346
4769,1,body,1.68045433362325,0.3821389627775563
4774,2,body,0.5412896076838173,0.38215499832157035
4778,2,body,0.5213042696317036,0.3822669044767207
4799,1,body,1.9002931118011501,0.38225302291942975
4824,1,tail,2.29999995231628,0.0
4842,1,body,1.66046897570292,0.38228671763859084
4891,3,body,1.7803810040156067,0.38217944155848993
4894,1,body,1.8003663619359334,0.38219502398631405
4895,4,body,1.7803810040156067,0.382226909606229
5071,2,body,1.66046897570292,0.3822461776705811
5118,2,body,1.68045433362325,0.3821752131079277
5129,1,body,1.9002931118011501,0.3821297058602288
5325,1,head,0.021404954294363666,0.10123321414235642
5348,1,tail,2.29999995231628,0.0
5402,1,body,0.42137753963470465,0.3821770121407793
5439,2,body,1.9802344640096032,0.382147536543705
5444,2,body,1.9602491060892764,0.3822740162184878
5510,2,body,1.72042500972748,0.38213390926859364
5566,3,body,1.7404103279113803,0.38228791631189796
5598,4,body,1.68045433362325,0.38221525548968577
5614,1,body,1.66046897570292,0.38220658363277404
5616,2,body,1.66046897570292,0.38222089122363256
5617,2,body,1.66046897570292,0.38213390926859364
5695,4,body,1.6204982598622635,0.38227394362894934
5734,1,body,1.6204982598622635,0.38227139553635087
5749,1,body,1.7803810040156067,0.38216389714090504
5756,2,body,1.8403370777765897,0.38217536936317253
5770,1,body,0.4813335835933687,0.38228531031384033
5796,1,body,0.7011723717053732,0.3822027925076465
5798,1,body,0.7811137636502584,0.3821549983225241
5807,1,body,1.7803810040156067,0.3822602968044514
5849,1,head,0.14255181948343934,0.12126555296516363
5850,1,body,0.7811137636502584,0.38221813687549006
5893,1,body,1.8603224356969201,0.3822196320010867
5894,1,body,1.9002931118011501,0.3822027925076465
5934,2,body,1.6204982598622635,0.3821549983225241
5936,2,tail,2.29999995231628,0.0
5941,1,tail,2.29999995231628,0.0
5947,1,body,1.7404103279113803,0.3822424946729376
5981,3,body,1.7803810040156067,0.38217701213887195
5995,1,body,1.7404103279113803,0.3822451605274954
6075,1,body,1.0209378997484857,0.3821297058602288
6086,1,body,1.8403370777765902,0.3822080957182328
6159,2,head,0.16551469266414667,0.1726185847539624
6282,1,body,1.18082062403361,0.3822084470545546
6283,1,body,0.40139219164848333,0.3821486536469282
6307,1,body,0.7211577097574869,0.3822365658865529
6339,1,body,1.8003663619359334,0.3821413774289445
6508,1,body,0.7211577097574869,0.38227668318514685
6549,1,body,0.7211577097574869,0.38223681995183656
6559,1,tail,2.29999995231628,0.0
6568,1,body,0.40139219164848333,0.38227394362990275
6724,2,head,0.17053631941477468,0.38412556344831844
6735,1,head,0.05907037730018296,0.41305597035052055
6837,1,body,1.92027842998505,0.3821842769451805
6838,1,tail,2.29999995231628,0.0
6908,1,tail,2.29999995231628,0.0
6933,1,body,0.5213042696317036,0.3821523891167441
6989,4,body,1.12086462974548,0.3822546567115528
7020,1,body,1.0009525616963713,0.3821857393389131
7026,1,head,0.0028249555422614,0.5580340583220507
7067,1,body,1.8403370777765902,0.38228910736106714
7094,4,body,1.12086462974548,0.38213676962690246
7096,1,tail,2.29999995231628,0.0
7205,2,body,1.8403370777765902,0.38220628934316
7365,4,head,0.11705672989288966,0.4383986307739325
7394,3,body,0.581260283788045,0.38215238912055904
7407,2,head,0.032144007583459235,0.06995532261441308
7519,3,body,2.2800145943959538,0.38219469101576375
7523,1,head,0.257378761967023,2.4476636751082927
7538,1,tail,2.29999995231628,0.0
7587,3,tail,2.29999995231628,0.0
7591,2,tail,2.29999995231628,0.0
7593,3,body,2.2800145943959538,0.3822775980225749
7602,1,tail,2.29999995231628,0.0
7622,3,body,2.2800145943959538,0.3821842769451805
7632,1,body,0.40139219164848333,0.38222904344970776
7662,2,body,1.1408499479293799,0.3822194315418515
7677,1,tail,2.29999995231628,0.0
7866,1,tail,2.29999995231628,0.0
7878,2,body,0.42137753963470476,0.3822365658855994
7881,2,head,0.08339521040519081,0.21556070461207494
7906,3,tail,2.29999995231628,0.0
7991,1,tail,2.29999995231628,0.0
8000,1,body,0.4613482356071474,0.3822454941930379
8007,3,head,0.223621735970179,0.8241259910628121
8016,4,body,0.40139219164848333,0.3822119031264396
8027,1,head,0.0024907747283577334,0.30364159171626875
8060,2,body,1.8003663619359334,0.38224549419208437
8090,3,body,2.2600292364756265,0.3822219589798983
8127,1,body,0.8810404737790427,0.3822158281332153
8133,1,body,1.2607620557149233,0.3822034281433853
8208,1,body,1.8403370777765902,0.38218690925540133
8209,2,body,1.66046897570292,0.38220329409550596
8210,1,body,1.1408499479293799,0.3821621878255747
8225,1,body,0.7611284057299296,0.3821895672153976
8227,2,body,1.8003663619359334,0.3822219589798983
8235,1,tail,2.29999995231628,0.0
8266,1,tail,2.29999995231628,0.0
8278,1,body,1.68045433362325,0.38226297566668466
8325,3,body,1.68045433362325,0.3821592091653168
8375,3,body,1.7803810040156067,0.3822109319174772
8376,1,body,1.8403370777765902,0.3822629756657312
8392,3,body,1.7803810040156067,0.38224612313483575
8402,4,body,0.42137753963470476,0.3822878600183449
8421,1,body,1.9602491060892764,0.38224549419208437
8442,3,body,1.8403370777765897,0.3821993389328822
8476,1,body,1.66046897570292,0.3822109319174772
8564,2,body,1.54055682818095,0.3822461776705811
8566,2,body,1.56054218610128,0.3822922954131428
8609,1,head,0.046269918481508875,0.3607660448480883
