length_mm,diameter_mm,L_over_D,offset_n_mm,head_radial_correction_mm,head_correction_direction_n,head_contact_phase_sign,tail_contact_phase_sign,HEAD_touch_deg,TAIL_touch_deg,touch_difference_deg,initial_min_gap_mm,HEAD_phase_opposite_end_gap_mm,TAIL_phase_opposite_end_gap_mm,same_phase_STATIC_BOTH_bridge,score,passes_geometry_gate
2.7,0.815,3.3128834355828225,0.015,0.045,-1,-1,1,13.700672264676541,12.877119837794453,0.8235524268820882,0.24506734645848444,-0.05921503595628641,-0.0039135730045123385,True,22.807603244110943,False
2.7,0.815,3.3128834355828225,0.015,0.04,-1,-1,1,13.880992552731186,12.877119837794453,1.0038727149367332,0.24506734645848444,-0.05921503595628641,-0.0039135730045123385,True,22.846330393478276,False
2.6,0.815,3.190184049079755,0.005,0.036250000000000004,-1,-1,1,14.045189919415861,12.90903669083491,1.1361532285809517,0.24364470269741884,-0.03753193203534788,0.01664789092128449,True,23.19746513577799,False
2.65,0.815,3.2515337423312887,0.01,0.037500000000000006,-1,-1,1,13.984395654406399,12.892751900944859,1.0916437534615397,0.24787766234335895,-0.048373483995817534,0.006367158958386576,True,23.244732849051555,False
2.7,0.815,3.3128834355828225,0.015,0.03875,-1,-1,1,13.926087419968098,12.877119837794453,1.0489675821736455,0.24506734645848444,-0.05921503595628641,-0.0039135730045123385,True,23.2972790658474,False
2.6,0.815,3.190184049079755,0.005,0.035,-1,-1,1,14.092222291510552,12.90903669083491,1.1831856006756425,0.24438318042159968,-0.03753193203534788,0.01664789092128449,True,23.667788856724897,False
2.65,0.815,3.2515337423312887,0.01,0.036250000000000004,-1,-1,1,14.030441546346992,12.892751900944859,1.1376896454021335,0.2486161400675403,-0.048373483995817534,0.006367158958386576,True,23.705191768457492,False
2.7,0.815,3.3128834355828225,0.015,0.037500000000000006,-1,-1,1,13.971188107971102,12.877119837794453,1.094068270176649,0.24506734645848444,-0.05921503595628641,-0.0039135730045123385,True,23.748285945877434,False
2.65,0.815,3.2515337423312887,0.01,0.035,-1,-1,1,14.0764937014319,12.892751900944859,1.1837418004870415,0.2493546177917212,-0.048373483995817534,0.006367158958386576,True,24.165713319306573,False
2.7,0.815,3.3128834355828225,0.015,0.036250000000000004,-1,-1,1,14.016294560860842,12.877119837794453,1.1391747230663896,0.24506734645848444,-0.05921503595628641,-0.0039135730045123385,True,24.19935047477484,False
