time_s,alpha_command_deg,psi_unwrapped_deg,psi_wrapped_deg,B_T,Bc_T,qB1_T,qB2_T,Bx_aba_T,By_aba_T,Bz_aba_T
0.0029000000000000002,2.5990545104604763,-81.26284757596326,-81.26284757596326,0.01,0.00998971318230442,6.888213628273307e-05,-0.00044820284090399897,0.009817070216389613,-0.00020650442661280133,0.0018927462292302447
0.003,2.6876311277391722,-81.17284757596326,-81.17284757596326,0.01,0.009989000209111677,7.195589173416444e-05,-0.00046335426188999626,0.009818443818182454,-0.0001921506120156137,0.0018871245670322857
0.0031000000000000003,2.7761016419429065,-81.08284757596326,-81.08284757596326,0.01,0.009988264259412793,7.507437005029494e-05,-0.00047847771431755665,0.00981978410485179,-0.00017779407304842495,0.0018815497340461112
0.0032,2.864462560407264,-80.99284757596327,-80.99284757596327,0.01,0.009987505451111246,7.823736002604423e-05,-0.0004935724663302015,0.009821091100326055,-0.00016343554270592577,0.0018760219674824605
0.0033,2.9527103947944826,-80.90284757596326,-80.90284757596326,0.01,0.009986723905763639,8.144464647602241e-05,-0.0005086377882240803,0.009822364833013252,-0.000149075754605022,0.0018705415008958021
0.0034000000000000002,3.0408416612311644,-80.81284757596326,-80.81284757596326,0.009999999999999998,0.009985919748559393,8.469601025308852e-05,-0.0005236729524987361,0.009823605335786901,-0.00013471544293109172,0.0018651085641685804
0.0035,3.128852880445816,-80.72284757596326,-80.72284757596326,0.01,0.009985093108299878,8.799122826726635e-05,-0.0005386772339075708,0.009824812645971348,-0.00012035534238426026,0.001859723383495796
0.0036000000000000003,3.216740577906202,-80.63284757596327,-80.63284757596327,0.01,0.009984244117376907,9.133007350500561e-05,-0.0005536499095079941,0.009825986805326332,-0.00010599618812570798,0.0018543861813699086
0.0037,3.3045012839565135,-80.54284757596326,-80.54284757596326,0.01,0.009983372911750657,9.471231504878529e-05,-0.00056859025871125,0.009827127860030918,-9.163871572402523e-05,0.001849097176566075
0.0038,3.392131533954348,-80.45284757596326,-80.45284757596326,0.01,0.009982479630926999,9.813771809706585e-05,-0.0005834975633319196,0.009828235860666735,-7.728366110160815e-05,0.0018438565841277174
0.0039000000000000003,3.479627868407481,-80.36284757596326,-80.36284757596326,0.01,0.009981564417934245,0.00010160604398457137,-0.000598371107637079,0.009829310862200546,-6.293176048112166e-05,0.001838664615352429
0.004,3.5669868331104464,-80.27284757596327,-80.27284757596327,0.010000000000000002,0.009980627419299316,0.00010511705020291372,-0.0006132101783951279,0.009830352923966144,-4.858375033201555e-05,0.0018335214777782131
0.0041,3.6542049792809,-80.18284757596327,-80.18284757596327,0.01,0.009979668785023323,0.00010867049042153775,-0.0006280140649242609,0.009831362109645579,-3.424036731712537e-05,0.001828427375170053
