event,start_ms,end_ms,peak_time_ms,peak_history_index,duration_ms,state,peak_normal_force_N,peak_tangential_force_N,peak_resultant_force_N,normal_impulse_Ns,tangential_impulse_Ns,HEAD_min_gap_um,TAIL_min_gap_um,BODY_min_gap_um,max_closing_normal_velocity_mm_s,max_tangential_velocity_mm_s,separation_before_ms,separation_after_ms,maximum_reopened_gap_um,gap_reopened_after,contact_sector_deg,representative_region,representative_gap_um,quadrant,theta_tilt_deg,psi_robot_deg,psi_command_deg,COM_radial_um
11,68.57869774103165,68.58009845018387,68.57910007238388,685791,0.0015007091533902894,BODY,0.19327708524283124,0.005144036507959996,0.19333570402364778,1.6535718386993488e-07,4.8077575994203304e-09,10.528345521847005,80.70895695220692,-0.011307616544664612,28.04035874575846,19.992189952189445,1.663394272327423,1.0063020752895113,4.0119519013838145,True,-22.228405971266767,BODY,-0.010465057633024522,Q4,12.351895948874228,156.9741905771525,-22.151657510817756,60.72210872137022
12,69.58650052547455,69.58790123462677,69.58699971437454,695870,0.0015007091533902894,BODY,0.08702677653529244,0.0023159686703528803,0.08705481786307272,7.675571759227896e-08,2.1808247572088714e-09,9.730083106291755,56.5678676861775,-0.005097119415986562,13.50803623225501,18.548731450371182,1.00640207529068,1.575600938700461,7.404567689477837,True,-22.81390500909589,BODY,-0.004855628522926203,Q4,13.113844819537201,158.51785888933372,-21.24454783302616,46.94082771104984
13,71.1636021733284,71.16489857435226,71.16399705410004,711640,0.0013964010250333558,BODY,0.14100085959982728,0.0036715744329174557,0.14104032042024486,1.1257526172958681e-07,3.180485832169165e-09,19.050075098861253,2.4319476240611815,10.752290600767878,23.444881004881914,14.725126906141625,1.5757009387016296,1.964804367922568,16.757446547675194,True,156.71647261834016,TAIL,2.4327090818464514,Q2,14.470488739819482,160.72629661482924,-19.825250227273216,14.648122926346677
14,73.129802942276,73.1310024857521,73.13010096549988,731301,0.001299543477273346,BODY,0.20110000168216954,0.0052194690000229756,0.20115217170480343,1.4877073453942183e-07,4.386723714864177e-09,47.53034311959014,2.2974835294705676,38.783645792313635,30.97713072747868,18.865178980338126,1.9649043679237366,1.106497483156943,5.521785896590026,True,157.41140091499278,TAIL,2.2989193727999124,Q2,13.652153848766808,161.40778525619572,-18.05575670701336,19.173186432484236
15,74.23759996891022,74.23879951238632,74.2378979921341,742379,0.001299543477273346,TAIL,0.09091428698672462,0.002364465675752695,0.0909378586622006,6.749766568875586e-08,1.9878989728678847e-09,33.708594513467084,-0.005204454895713084,25.56649412152212,13.989328524413025,13.843535310930621,1.1065974831581116,1.1931998895633456,4.95198188312207,True,175.07811609966666,TAIL,-0.00455792380493758,Q2,14.055042013212821,163.49148456796462,-17.058739383042564,29.828744561367525
16,75.43209940195084,75.43350011110306,75.43250173330307,754325,0.0015007091533902894,BODY,0.14407929455190238,0.0038548988718798147,0.1441213213192862,1.2556892453284507e-07,3.6552559096861414e-09,9.237247105255864,6.4259886169392155,-0.00848139155162908,21.077352779375715,14.77436216969486,1.1932998895645142,2.2625966238010164,10.8220199859127,True,-19.967912789119026,BODY,-0.007651062387203922,Q4,14.51337470258355,163.82066056903452,-15.983596015990486,45.01754608379361
17,77.69619673490524,77.69759744405746,77.69659906625748,776966,0.0015007091533902894,BODY,0.09598808159994539,0.0025647820866651063,0.09601615669911846,8.344508839410395e-08,2.419068624756702e-09,11.84805287301094,9.737341152669888,-0.005638259496953957,14.063227659898452,11.793661089215936,2.262696623802185,2.250198857687735,5.205386453272176,True,-21.35482228778801,BODY,-0.005095805140520326,Q4,14.234717217891053,166.2467023146289,-13.94590841633152,58.87780354980357
18,79.94789630174637,79.94920015335083,79.9482986330986,799483,0.0014038516056302797,TAIL,0.02819843053985562,0.0007328866784595907,0.028206292345415097,2.2407397452217382e-08,6.298630211498396e-10,39.691247270939755,-0.9065732592012932,26.113594129132167,4.736804934887704,6.5817925333637035,2.250298857688904,0.7410986589420077,-0.3516980959685778,False,-174.2296808112438,TAIL,-0.9064326944107082,Q3,13.566209770938531,167.8403703566622,-11.919378806174507,65.2251798657221
19,80.690398812294,80.69170266389847,80.69080114364624,806908,0.0014038516056302797,TAIL,0.018936785096424852,0.0004919252904328138,0.01894204971448215,1.5005431440413103e-08,4.2130820617260646e-10,47.41215097583063,-0.9044483643306789,34.64800367419451,3.192475253560303,5.81427631529908,0.7411986589431763,0.3517983721721407,-0.7579387712213226,False,-174.04514086581037,TAIL,-0.9043426949304489,Q3,13.247917405966055,168.25622486712692,-11.251126546681633,67.86320560301517
20,81.04360103607178,81.04489743709564,81.04400336742401,810440,0.0013964010250333558,TAIL,0.010460579515609553,0.0002715542228310028,0.010463597929290858,8.249177776088138e-09,2.331215584084621e-10,50.575493821897524,-0.9027920865765093,37.97834150341839,1.7345047449255357,5.5195570487007535,0.3518983721733093,0.18950237502934897,-0.8618281687350349,False,-173.9269796446908,TAIL,-0.9027514956019278,Q3,13.120015452203122,168.58293250853598,-10.933244545281639,68.99795109902372
21,81.23449981212616,81.23580366373062,81.2349021434784,812349,0.0014038516056302797,TAIL,0.005611889761812209,0.00014580125108540036,0.005613573843034625,4.4162203195995685e-09,1.2580452914838916e-10,52.124665598039414,-0.9017531310788751,39.55648315703974,0.9120701061805867,5.401739858596935,0.18960237503051758,0.10319484939458334,-0.8906914499049456,False,-173.85591896614423,TAIL,-0.9017351802046436,Q3,13.0587865642425,168.79512739984403,-10.761435646832695,69.56262177565445
22,81.33909851312637,81.34040236473083,81.33950084447861,813395,0.0014038516056302797,TAIL,0.002950735797110792,7.688759664137138e-05,0.0029516144350186777,2.3236840922961916e-09,6.644010160283979e-11,52.92383367097664,-0.9011508943654878,40.35473292644232,0.4788097694570652,5.342275918031092,0.10329484939575195,0.05599542131307089,-0.8997230138649837,False,-173.8153606214559,TAIL,-0.9011408246275554,Q3,13.027281617014582,168.92025666914597,-10.667296815932502,69.85474199273703
23,81.39649778604507,81.39780163764954,81.39680325984955,813968,0.0014038516056302797,TAIL,0.001622630512072451,4.270788469928262e-05,0.0016230471657659395,1.2606156736791818e-09,3.682021254239278e-11,53.34733395357061,-0.9008175993904244,40.77304223572531,0.24841229391403852,5.311112467185726,0.0560954213142395,0.030000345610403656,-0.8997230138649837,False,-173.79276134718432,TAIL,-0.90080087133948,Q3,13.01061096206144,168.99098110614818,-10.615724642098655,70.0104739914793
24,81.42790198326111,81.42919838428497,81.42829686403275,814283,0.0013964010250333558,TAIL,0.0008392882419136058,2.222472653560138e-05,0.000839548077561464,6.643269413323044e-10,1.95496223262801e-11,53.574496226013515,-0.9006262872129911,40.99603303678623,0.1298402932709406,5.292948086593797,0.030100345611572266,0.016000704668783783,-0.9001888774279321,False,-173.7802423266502,TAIL,-0.9006169270919795,Q3,13.001672001930011,169.03067547482507,-10.587380398333778,70.09378281446773
25,81.44529908895493,83.06030184030533,81.44570142030716,814457,1.6151027513515714,TAIL,0.00043438212757505873,1.1787386794615243e-05,0.00043450695236028355,2.0989757885146995e-08,1.1462558826313029e-09,53.69899432338365,-0.9005214347369561,41.11782308625711,0.06698933647563621,5.2832401694315685,0.016100704669952393,27.329300181769156,148.63459311112447,True,-173.77330114879686,TAIL,-0.9005138517685918,Q3,12.99680587473009,169.05288471397546,-10.571716297686805,70.13906736355351
26,110.38970202207565,110.39099842309952,110.39009690284729,1103901,0.0013964010250333558,BODY,0.06267031755061386,0.0016536003856614493,0.06269004382588304,5.065406130702724e-08,1.4909147626794598e-09,21.36772124843178,138.94690310541446,-0.0036384250243770566,9.24685866588263,6.13643418211419,27.329400181770325,1.235303120516562,2.823635393805368,True,-146.2053552692652,BODY,-0.0034557906166687857,Q3,8.802111314112624,15.121802107784625,15.478239636599312,134.5032648738707
27,111.62640154361725,111.62769794464111,111.62679642438889,1116268,0.0013964010250333558,BODY,0.07177814102772732,0.0018942860815977214,0.07180075526880927,5.798718739890905e-08,1.7064262090641981e-09,21.383744816166118,136.65062944928107,-0.004168050178221527,10.576110551821122,10.000334317117273,1.2354031205177307,0.5769027637470003,0.9614496670673489,True,-146.61383080567055,BODY,-0.003962775657839757,Q3,9.054423001665786,15.957782185578646,16.591269205986748,131.35449473563045
28,112.20470070838928,112.20599710941315,112.20510303974152,1122051,0.0013964010250333558,BODY,0.04315415265313625,0.001138950828682998,0.04316723508385943,3.516543073205476e-08,1.0278591299930873e-09,20.902981790071774,131.4118471548281,-0.002501974810997787,6.4797241674826385,12.927015031064945,0.577002763748169,0.2800045775401827,0.31243501144284647,True,-146.9464214787592,BODY,-0.0023350681757072778,Q3,9.400513979085696,16.3966701542319,17.111745159804116,126.57085786307479
29,112.4861016869545,112.48750239610672,112.48649656772614,1124865,0.0015007091533902894,BODY,0.022265337836539636,0.0005904445977785691,0.022271191772433096,1.9218340516302014e-08,5.391847834083965e-10,20.438677124012706,126.5196133686054,-0.0012997433096462174,3.5941117760921353,13.485910477603985,0.2801045775413513,0.20299537649037802,0.08998552744365895,True,-138.75342577094602,BODY,-0.0011248071923875003,Q3,9.630114836184509,16.581253203488306,17.364999334990273,123.33963093634664
30,112.69059777259827,112.69199848175049,112.6910001039505,1126910,0.0015007091533902894,BODY,0.012068817849172547,0.0003200138316763114,0.01207207459097576,1.037696422708496e-08,2.926668728981604e-10,20.157876465550896,122.49693841231846,-0.0007020907109023256,1.9179689385418206,13.413888739302786,0.20309537649154663,0.1205994056689974,0.02258997236870286,False,-138.90377870524802,BODY,-0.0006211784158161038,Q3,9.81736342867265,16.720787058845968,17.5490525175922,120.65489137800284
31,112.81269788742065,112.81409859657288,112.81310021877289,1128131,0.0015007091533902894,BODY,0.006717288139245147,0.0001778207409188151,0.006719241181563675,5.691508682341962e-09,1.6273238148995468e-10,19.983921442969788,119.93421460514708,-0.0003862699685663884,1.0235816577736372,13.324877619394147,0.12069940567016602,0.0700993703830477,0.0026013005416380963,False,-138.9912300477729,BODY,-0.0003541971427267754,Q3,9.937475032484313,16.814448771251275,17.65894262093235,118.94708853334521
32,112.88429796695709,112.88569867610931,112.88479715585709,1128848,0.0015007091533902894,BODY,0.0035017442468697458,9.296513972205562e-05,0.0035028720367458375,3.0367584417096457e-09,8.562171943637091e-11,19.879946459440134,118.38569692767919,-0.00020445761383935945,0.5591905966192107,13.26285529367607,0.07019937038421631,0.04049821367146933,0.0019520864740218968,False,-139.04136319150095,BODY,-0.0001902620634375296,Q3,10.010289091678693,16.87367068300452,17.72346986430813,117.89787242385259
33,112.92629688978195,112.92769759893417,112.92669922113419,1129267,0.0015007091533902894,BODY,0.00200181297340641,5.3173852691252595e-05,0.002002382336545363,1.7179374310222187e-09,4.920430113239299e-11,19.81834753447176,117.46383398906357,-0.00011571507285701443,0.30462713943717046,13.223741970421639,0.04059821367263794,0.02300425042989218,-1.1795344367904192e-05,False,-139.0701681493966,BODY,-0.00010298264907504517,Q3,10.05321333039154,16.909186505883927,17.76118172305752,117.27939241731222
