time_s,displacement_mm,v_s_mm_s,max_backtrack_mm,stable_dt_s
  1.1082034883E-03,  5.6538061549E-04,  1.6067456195E+00,  0.0000000000E+00,  1.8605383728E-07
  1.1182444128E-03,  5.8165807707E-04,  1.6411485680E+00,  0.0000000000E+00,  1.8576696316E-07
  1.1282767626E-03,  5.9829002009E-04,  1.6755856207E+00,  0.0000000000E+00,  1.8577347796E-07
  1.1383198185E-03,  6.1525531267E-04,  1.7028839727E+00,  0.0000000000E+00,  1.8610921651E-07
  1.1483688052E-03,  6.3257471387E-04,  1.7347167862E+00,  0.0000000000E+00,  1.8615252237E-07
  1.1584199948E-03,  6.5014486577E-04,  1.7568833205E+00,  0.0000000000E+00,  1.8601492367E-07
  1.1684660665E-03,  6.6789245455E-04,  1.7769601581E+00,  0.0000000000E+00,  1.8612309603E-07
  1.1785168632E-03,  6.8582001652E-04,  1.7946363356E+00,  0.0000000000E+00,  1.8615776438E-07
  1.1885633728E-03,  7.0404431942E-04,  1.8356144998E+00,  0.0000000000E+00,  1.8597542483E-07
  1.1986042200E-03,  7.2268379945E-04,  1.8773434536E+00,  0.0000000000E+00,  1.8599507124E-07
  1.2086548812E-03,  7.4169388817E-04,  1.9028519203E+00,  0.0000000000E+00,  1.8608430627E-07
  1.2187038008E-03,  7.6091956309E-04,  1.9194009026E+00,  0.0000000000E+00,  1.8616658405E-07
  1.2287511325E-03,  7.8031258968E-04,  1.9448548618E+00,  0.0000000000E+00,  1.8601810261E-07
  1.2387960259E-03,  8.0000014300E-04,  1.9797393678E+00,  0.0000000000E+00,  1.8603168323E-07
  1.2488464478E-03,  8.2003365809E-04,  2.0002718644E+00,  0.0000000000E+00,  1.8610441684E-07
  1.2588948967E-03,  8.4023732517E-04,  2.0282831873E+00,  0.0000000000E+00,  1.8608084360E-07
  1.2689426620E-03,  8.6079518017E-04,  2.0542856539E+00,  0.0000000000E+00,  1.8607114880E-07
  1.2789930548E-03,  8.8161268731E-04,  2.0968813917E+00,  0.0000000000E+00,  1.8617594334E-07
  1.2890459600E-03,  9.0289791697E-04,  2.1300889323E+00,  0.0000000000E+00,  1.8616852772E-07
  1.2990962495E-03,  9.2443906837E-04,  2.1548240017E+00,  0.0000000000E+00,  1.8601900185E-07
  1.3091489264E-03,  9.4631272240E-04,  2.1921994099E+00,  0.0000000000E+00,  1.8620095424E-07
  1.3191997112E-03,  9.6842493786E-04,  2.2103539967E+00,  0.0000000000E+00,  1.8609865581E-07
  1.3292478715E-03,  9.9082587167E-04,  2.2457088670E+00,  0.0000000000E+00,  1.8608711555E-07
  1.3392882920E-03,  1.0134644464E-03,  2.2622712839E+00,  0.0000000000E+00,  1.8607529495E-07
  1.3493382232E-03,  1.0363241161E-03,  2.2827451608E+00,  0.0000000000E+00,  1.8619199993E-07
  1.3593854495E-03,  1.0593051599E-03,  2.2914256224E+00,  0.0000000000E+00,  1.8602086707E-07
  1.3694335990E-03,  1.0823398582E-03,  2.2988045567E+00,  0.0000000000E+00,  1.8604954913E-07
  1.3794789730E-03,  1.1055309671E-03,  2.3170086667E+00,  0.0000000000E+00,  1.8604141960E-07
  1.3895209878E-03,  1.1288848547E-03,  2.3336169364E+00,  0.0000000000E+00,  1.8606893295E-07
  1.3995660999E-03,  1.1524451933E-03,  2.3630417948E+00,  0.0000000000E+00,  1.8611511158E-07
  1.4096191815E-03,  1.1762602566E-03,  2.3796989855E+00,  0.0000000000E+00,  1.8615378447E-07
  1.4196688708E-03,  1.2002702080E-03,  2.3968427046E+00,  0.0000000000E+00,  1.8609107928E-07
  1.4297208053E-03,  1.2243836392E-03,  2.4023827175E+00,  0.0000000000E+00,  1.8598256526E-07
  1.4397674283E-03,  1.2486983014E-03,  2.4410231472E+00,  0.0000000000E+00,  1.8589816420E-07
  1.4498131292E-03,  1.2733832946E-03,  2.4728805232E+00,  0.0000000000E+00,  1.8624027292E-07
  1.4598604601E-03,  1.2983970141E-03,  2.5089437204E+00,  0.0000000000E+00,  1.8592477864E-07
  1.4699116813E-03,  1.3238577140E-03,  2.5616302724E+00,  0.0000000000E+00,  1.8619057272E-07
  1.4799597658E-03,  1.3498468507E-03,  2.6091503114E+00,  0.0000000000E+00,  1.8607795839E-07
  1.4900115790E-03,  1.3762553189E-03,  2.6411739954E+00,  0.0000000000E+00,  1.8603795084E-07
  1.5000593695E-03,  1.4029046516E-03,  2.6675321846E+00,  0.0000000000E+00,  1.8592967698E-07
  1.5101027740E-03,  1.4298451856E-03,  2.7039264458E+00,  0.0000000000E+00,  1.8606352035E-07
  1.5201536352E-03,  1.4572201226E-03,  2.7267067781E+00,  0.0000000000E+00,  1.8617915876E-07
  1.5302046796E-03,  1.4846914753E-03,  2.7474984627E+00,  0.0000000000E+00,  1.8599915769E-07
  1.5402502031E-03,  1.5124216666E-03,  2.7738909006E+00,  0.0000000000E+00,  1.8613744450E-07
  1.5502962584E-03,  1.5403959474E-03,  2.7958553901E+00,  0.0000000000E+00,  1.8606168378E-07
  1.5603414559E-03,  1.5687591408E-03,  2.8457422086E+00,  0.0000000000E+00,  1.8613365593E-07
  1.5703911298E-03,  1.5974615315E-03,  2.8724531905E+00,  0.0000000000E+00,  1.8608765709E-07
  1.5804401078E-03,  1.6264834591E-03,  2.9145289569E+00,  0.0000000000E+00,  1.8617548686E-07
  1.5904904488E-03,  1.6559950647E-03,  2.9641090879E+00,  0.0000000000E+00,  1.8616571569E-07
  1.6005361760E-03,  1.6860951502E-03,  3.0264775896E+00,  0.0000000000E+00,  1.8610761766E-07
  1.6105805883E-03,  1.7167506716E-03,  3.0664480709E+00,  0.0000000000E+00,  1.8602136900E-07
  1.6206216308E-03,  1.7477872094E-03,  3.1205009020E+00,  0.0000000000E+00,  1.8610699570E-07
  1.6306714438E-03,  1.7794076023E-03,  3.1659538830E+00,  0.0000000000E+00,  1.8613693906E-07
  1.6407164958E-03,  1.8114362778E-03,  3.2166547491E+00,  0.0000000000E+00,  1.8617350026E-07
  1.6507556903E-03,  1.8439964293E-03,  3.2642538947E+00,  0.0000000000E+00,  1.8577229903E-07
  1.6607936185E-03,  1.8769186488E-03,  3.2947234942E+00,  0.0000000000E+00,  1.8586146506E-07
  1.6708360109E-03,  1.9102791609E-03,  3.3405408041E+00,  0.0000000000E+00,  1.8594727862E-07
  1.6808861044E-03,  1.9440774616E-03,  3.3910405177E+00,  0.0000000000E+00,  1.8619846115E-07
  1.6909324420E-03,  1.9782393488E-03,  3.4067743182E+00,  0.0000000000E+00,  1.8584027847E-07
  1.7009774691E-03,  2.0126898350E-03,  3.4554313269E+00,  0.0000000000E+00,  1.8597737979E-07
  1.7110187289E-03,  2.0476570416E-03,  3.5062758208E+00,  0.0000000000E+00,  1.8596195639E-07
  1.7210669718E-03,  2.0830611777E-03,  3.5490957836E+00,  0.0000000000E+00,  1.8611976889E-07
  1.7311112247E-03,  2.1189932577E-03,  3.5947415990E+00,  0.0000000000E+00,  1.8580072645E-07
  1.7411498180E-03,  2.1551282245E-03,  3.6021094149E+00,  0.0000000000E+00,  1.8613584303E-07
  1.7511883246E-03,  2.1914642225E-03,  3.6406896680E+00,  0.0000000000E+00,  1.8575977946E-07
  1.7612320910E-03,  2.2282296269E-03,  3.6593400694E+00,  0.0000000000E+00,  1.8627787594E-07
  1.7712810509E-03,  2.2650612169E-03,  3.6850427742E+00,  0.0000000000E+00,  1.8602470269E-07
  1.7813307179E-03,  2.3023254598E-03,  3.7286320351E+00,  0.0000000000E+00,  1.8615776926E-07
  1.7913783911E-03,  2.3399443313E-03,  3.7495998754E+00,  0.0000000000E+00,  1.8590712941E-07
  1.8014193345E-03,  2.3775371727E-03,  3.7508079085E+00,  0.0000000000E+00,  1.8565323980E-07
  1.8116001710E-03,  2.4159287692E-03,  3.7825359383E+00,  0.0000000000E+00,  1.8431297561E-07
  1.8217332219E-03,  2.4543362001E-03,  3.7991973207E+00,  0.0000000000E+00,  1.8459756240E-07
  1.8318977854E-03,  2.4931266037E-03,  3.8321867534E+00,  0.0000000000E+00,  1.8518871702E-07
  1.8419043600E-03,  2.5316424943E-03,  3.8801636194E+00,  0.0000000000E+00,  1.8531715466E-07
  1.8520804850E-03,  2.5714753072E-03,  3.9286249972E+00,  0.0000000000E+00,  1.8460348968E-07
  1.8622346913E-03,  2.6116211462E-03,  3.9905710426E+00,  0.0000000000E+00,  1.8509388760E-07
  1.8722458531E-03,  2.6518952735E-03,  4.0441424317E+00,  0.0000000000E+00,  1.8605949598E-07
  1.8822854120E-03,  2.6926894832E-03,  4.0879656291E+00,  0.0000000000E+00,  1.8595494020E-07
  1.8923247872E-03,  2.7341271607E-03,  4.1672041291E+00,  0.0000000000E+00,  1.8594200062E-07
  1.9023745326E-03,  2.7764176536E-03,  4.2386568856E+00,  0.0000000000E+00,  1.8616979593E-07
  1.9124039839E-03,  2.8190638209E-03,  4.2746496693E+00,  0.0000000000E+00,  1.8464476028E-07
  1.9225334040E-03,  2.8627722783E-03,  4.3489438495E+00,  0.0000000000E+00,  1.8393220600E-07
  1.9326951583E-03,  2.9071453782E-03,  4.3848465374E+00,  0.0000000000E+00,  1.8606660553E-07
  1.9427352009E-03,  2.9512762304E-03,  4.4092536771E+00,  0.0000000000E+00,  1.8590326824E-07
  1.9527821414E-03,  2.9956672318E-03,  4.4342050939E+00,  0.0000000000E+00,  1.8597606779E-07
  1.9628263729E-03,  3.0402512236E-03,  4.4395591196E+00,  0.0000000000E+00,  1.8589335889E-07
  1.9728702079E-03,  3.0850866329E-03,  4.4950685408E+00,  0.0000000000E+00,  1.8615884419E-07
  1.9829207578E-03,  3.1305147105E-03,  4.5450536773E+00,  0.0000000000E+00,  1.8614722673E-07
  1.9929673113E-03,  3.1764164723E-03,  4.5844205904E+00,  0.0000000000E+00,  1.8601805681E-07
  2.0030056532E-03,  3.2224598026E-03,  4.5924299161E+00,  0.0000000000E+00,  1.8617169510E-07
  2.0130499670E-03,  3.2688284070E-03,  4.6591900894E+00,  0.0000000000E+00,  1.8583373927E-07
  2.0230931508E-03,  3.3158839286E-03,  4.6937481701E+00,  0.0000000000E+00,  1.8622265537E-07
  2.0331464373E-03,  3.3632154327E-03,  4.7138375273E+00,  0.0000000000E+00,  1.8621779558E-07
  2.0431965838E-03,  3.4107070050E-03,  4.7483406932E+00,  0.0000000000E+00,  1.8610559001E-07
  2.0532439840E-03,  3.4587457066E-03,  4.8119245485E+00,  0.0000000000E+00,  1.8616232973E-07
  2.0632909469E-03,  3.5073489506E-03,  4.8518430356E+00,  0.0000000000E+00,  1.8598025215E-07
  2.0733273259E-03,  3.5561684406E-03,  4.8879979387E+00,  0.0000000000E+00,  1.8471453487E-07
  2.0833570757E-03,  3.6054631320E-03,  4.9334692139E+00,  0.0000000000E+00,  1.8601229250E-07
  2.0933774002E-03,  3.6552274682E-03,  4.9991219240E+00,  0.0000000000E+00,  1.8523723615E-07
  2.1033901387E-03,  3.7055226645E-03,  5.0455546109E+00,  0.0000000000E+00,  1.8518916247E-07
  2.1134142726E-03,  3.7561849986E-03,  5.0650219341E+00,  0.0000000000E+00,  1.8543120659E-07
  2.1234300075E-03,  3.8071428948E-03,  5.1083146579E+00,  0.0000000000E+00,  1.8606087044E-07
  2.1334466405E-03,  3.8584823502E-03,  5.1363194162E+00,  0.0000000000E+00,  1.8601845010E-07
  2.1434562672E-03,  3.9100561103E-03,  5.1781933938E+00,  0.0000000000E+00,  1.8494034013E-07
  2.1536372436E-03,  3.9625864849E-03,  5.0886369238E+00,  0.0000000000E+00,  1.8514201481E-07
  2.1638195566E-03,  4.0115661638E-03,  4.5092941671E+00,  0.0000000000E+00,  1.8597775070E-07
  2.1738443971E-03,  4.0545284447E-03,  4.1480731424E+00,  0.0000000000E+00,  1.8563619529E-07
  2.1840277082E-03,  4.0965380040E-03,  4.0814148764E+00,  0.0000000000E+00,  1.8462784769E-07
  2.1941580872E-03,  4.1376553167E-03,  4.0510502098E+00,  0.0000000000E+00,  1.8393672630E-07
  2.2042451629E-03,  4.1784870431E-03,  4.0458823614E+00,  0.0000000000E+00,  1.8302608588E-07
  2.2142932445E-03,  4.2194349708E-03,  4.0717247656E+00,  0.0000000000E+00,  1.8268189508E-07
  2.2243350282E-03,  4.2603737611E-03,  4.0827546549E+00,  0.0000000000E+00,  1.8282599087E-07
  2.2343864856E-03,  4.3015098360E-03,  4.1044805121E+00,  0.0000000000E+00,  1.8291436619E-07
  2.2444709149E-03,  4.3427170952E-03,  4.0614698853E+00,  0.0000000000E+00,  1.8366832207E-07
  2.2546049759E-03,  4.3827021669E-03,  3.8045398195E+00,  0.0000000000E+00,  1.8449760412E-07
  2.2647777196E-03,  4.4201831236E-03,  3.5628979809E+00,  0.0000000000E+00,  1.8554614267E-07
  2.2749535599E-03,  4.4554966841E-03,  3.3941300681E+00,  0.0000000000E+00,  1.8521396865E-07
  2.2851319578E-03,  4.4892818548E-03,  3.2308685286E+00,  0.0000000000E+00,  1.8519663526E-07
  2.2953016371E-03,  4.5219899408E-03,  3.2406962902E+00,  0.0000000000E+00,  1.8479407381E-07
  2.3054557807E-03,  4.5550243501E-03,  3.2469119475E+00,  0.0000000000E+00,  1.8499927098E-07
  2.3155973438E-03,  4.5879858542E-03,  3.2720625699E+00,  0.0000000000E+00,  1.8479764671E-07
  2.3257738161E-03,  4.6214250462E-03,  3.2773109146E+00,  0.0000000000E+00,  1.8515412584E-07
  2.3357884135E-03,  4.6541795893E-03,  3.2748905379E+00,  0.0000000000E+00,  1.8511476726E-07
  2.3459342745E-03,  4.6873975735E-03,  3.2751877990E+00,  0.0000000000E+00,  1.8326872834E-07
  2.3560754220E-03,  4.7205459721E-03,  3.2583319020E+00,  0.0000000000E+00,  1.8543602225E-07
  2.3662196046E-03,  4.7533135366E-03,  3.2014562968E+00,  0.0000000000E+00,  1.8401311254E-07
  2.3762214602E-03,  4.7850684956E-03,  3.1549623137E+00,  0.0000000000E+00,  1.8539301417E-07
  2.3864067541E-03,  4.8170997747E-03,  3.1291733672E+00,  0.0000000000E+00,  1.8531259156E-07
  2.3965588103E-03,  4.8486815325E-03,  3.0943577466E+00,  0.0000000000E+00,  1.8396162533E-07
  2.4066432028E-03,  4.8797988306E-03,  3.0703392067E+00,  0.0000000000E+00,  1.8293113330E-07
  2.4168193966E-03,  4.9108689634E-03,  3.0464991565E+00,  0.0000000000E+00,  1.8027939902E-07
  2.4268466488E-03,  4.9420589961E-03,  3.1242253074E+00,  0.0000000000E+00,  1.7770349314E-07
  2.4370164536E-03,  4.9738350208E-03,  3.1570597360E+00,  0.0000000000E+00,  1.8141408465E-07
  2.4471549175E-03,  5.0060475833E-03,  3.2096473803E+00,  0.0000000000E+00,  1.8058159214E-07
  2.4573105214E-03,  5.0391358573E-03,  3.2784238713E+00,  0.0000000000E+00,  1.8206673432E-07
  2.4673459101E-03,  5.0725090749E-03,  3.3864964111E+00,  0.0000000000E+00,  1.8319727314E-07
  2.4774302025E-03,  5.1069281291E-03,  3.4258435650E+00,  0.0000000000E+00,  1.8377961293E-07
  2.4875546040E-03,  5.1419033030E-03,  3.4791395604E+00,  0.0000000000E+00,  1.8481952177E-07
  2.4977395740E-03,  5.1774007200E-03,  3.4933917748E+00,  0.0000000000E+00,  1.8551487318E-07
  2.5079113167E-03,  5.2128823784E-03,  3.4679490334E+00,  0.0000000000E+00,  1.8352377927E-07
  2.5179891080E-03,  5.2479992405E-03,  3.5262963434E+00,  0.0000000000E+00,  1.8276297112E-07
  2.5281680553E-03,  5.2840658608E-03,  3.5433661806E+00,  0.0000000000E+00,  1.8606723455E-07
