time_s,Ktrans_J,Krot_J,Ktotal_J,Wmag_since_window_start_J,Whydro_since_window_start_J,Fwall_norm_N
0.0010003,5.023181582853456e-13,2.515645165408827e-06,2.5156456677269854e-06,1.62496691356083e-08,-3.9625831749712434e-12,0.0
0.0010004,5.024414020039354e-13,2.5166023632502376e-06,2.5166028656916396e-06,1.7206853421223766e-08,-4.196476296496794e-12,0.0
0.0010004999999999999,5.025646226684097e-13,2.5175593544048423e-06,2.517559856969465e-06,1.816418415042308e-08,-4.4304583958407654e-12,0.0
0.0010006,5.026878258237481e-13,2.518516613817749e-06,2.518517116505575e-06,1.9121661265812563e-08,-4.664529481267261e-12,0.0
0.0010007,5.028109649199373e-13,2.519473970076739e-06,2.519474472887704e-06,2.0079284739178815e-08,-4.898689567680732e-12,0.0
0.0010008,5.029341274549521e-13,2.520431591348658e-06,2.520432094282785e-06,2.1037054542307593e-08,-5.132938670416796e-12,0.0
0.0010008999999999999,5.030572258940886e-13,2.52138931098134e-06,2.5213898140385656e-06,2.199497064695162e-08,-5.36727680517348e-12,0.0
0.001001,5.031803067633933e-13,2.5223469093501204e-06,2.5223474125304273e-06,2.2953032987882156e-08,-5.60170397801805e-12,0.0
0.0010011,5.033033430124018e-13,2.523304907670438e-06,2.5233054109737812e-06,2.3911241529056682e-08,-5.83622020191677e-12,0.0
0.0010012,5.034264074179011e-13,2.5242631702301326e-06,2.52426367365654e-06,2.486959627137644e-08,-6.0708254994130504e-12,0.0
0.0010012999999999999,5.035493917325163e-13,2.5252212284277236e-06,2.5252217319771153e-06,2.5828097157367703e-08,-6.3055198789271255e-12,0.0
0.0010014,5.036723612189126e-13,2.5261797694652746e-06,2.5261802731376356e-06,2.678674415095915e-08,-6.540303353811448e-12,0.0
0.0010015,5.037952664820835e-13,2.527138193134545e-06,2.5271386969298115e-06,2.7745537223834045e-08,-6.775175938974035e-12,0.0
0.0010016,5.039181867389909e-13,2.528097099284746e-06,2.528097603202933e-06,2.8704476347674384e-08,-7.010137649517706e-12,0.0
0.0010017,5.040410893289244e-13,2.5290558827848513e-06,2.5290563868259406e-06,2.9663561494149455e-08,-7.245188500930021e-12,0.0
0.0010018,5.041639686727578e-13,2.530014765134529e-06,2.530015269298498e-06,3.062279259794751e-08,-7.480328499462296e-12,0.0
0.0010019,5.042867594191759e-13,2.5309742160046626e-06,2.530974720291422e-06,3.158216965988764e-08,-7.715557666890989e-12,0.0
0.0010019999999999999,5.044095595482768e-13,2.5319334590682435e-06,2.531933963477803e-06,3.25416926515938e-08,-7.950876018687843e-12,0.0
0.0010021,5.04532339148051e-13,2.5328928852807637e-06,2.532893389813103e-06,3.350136150773224e-08,-8.186283561498167e-12,0.0
0.0010022,5.046550655608769e-13,2.5338524929056e-06,2.5338529975606656e-06,3.446117619991294e-08,-8.421780310232514e-12,0.0
0.0010023,5.04777774213788e-13,2.5348118927550505e-06,2.5348123975328246e-06,3.542113666278012e-08,-8.657366270924957e-12,0.0
0.0010023999999999999,5.049004511487856e-13,2.5357718650399997e-06,2.535772369940451e-06,3.638124286792133e-08,-8.893041458662446e-12,0.0
0.0010025,5.050231186724969e-13,2.536731930601378e-06,2.5367324356244965e-06,3.734149481607771e-08,-9.128805895806256e-12,0.0
0.0010026,5.05145721753248e-13,2.5376921781138604e-06,2.5376926832595822e-06,3.830189247102507e-08,-9.364659595852667e-12,0.0
0.0010027,5.052683397142003e-13,2.5386523040962608e-06,2.5386528093646004e-06,3.926243577515118e-08,-9.600602566804185e-12,0.0
0.0010027999999999999,5.053909015725765e-13,2.5396129169900156e-06,2.539613422380917e-06,4.022312469998557e-08,-9.836634823940285e-12,0.0
0.0010029,5.055134156824693e-13,2.5405733189521013e-06,2.540573824465517e-06,4.118395920927862e-08,-1.0072756380569474e-11,0.0
0.001003,5.056359362592332e-13,2.5415342951039556e-06,2.541534800739892e-06,4.214493927454588e-08,-1.0308967251771567e-11,0.0
0.0010031,5.057584305835206e-13,2.542495061115409e-06,2.54249556687384e-06,4.310606486728512e-08,-1.0545267452609986e-11,0.0
0.0010031999999999999,5.058808799157125e-13,2.5434560102462606e-06,2.5434565161271406e-06,4.406733592204313e-08,-1.0781656989301253e-11,0.0
0.0010033,5.060033029610381e-13,2.5444174440369572e-06,2.54441795004026e-06,4.5028752439467903e-08,-1.1018135884399636e-11,0.0
0.0010034,5.061256997045774e-13,2.545378755715798e-06,2.5453792618414974e-06,4.599031439101908e-08,-1.1254704152964631e-11,0.0
0.0010035,5.062480813247434e-13,2.546340160726254e-06,2.5463406669743356e-06,4.6952021711213814e-08,-1.1491361800813333e-11,0.0
0.0010035999999999999,8.55557107715203e-11,2.5076092001014494e-06,2.507694755812221e-06,4.7910131857969e-08,-1.1727185299217534e-11,0.8825302678177641
