time_s,gap_um,contact_node,wall_element,triangle_index,n_away_x,n_away_y,n_away_z,Vcontact_x_mm_s,Vcontact_y_mm_s,Vcontact_z_mm_s,vn_mm_s,vt_norm_mm_s,Vcom_x_mm_s,Vcom_y_mm_s,Vcom_z_mm_s,Fnormal_x_N,Fnormal_y_N,Fnormal_z_N,Fshear_x_N,Fshear_y_N,Fshear_z_N,Fwall_norm_N,contact_active,Wnormal_cumulative_J,Wtangential_combined_cumulative_J
0.0010015,1.689372641390242,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-807.9988657570419,-374.3310872780846,606.7936789899378,-885.4882782417804,614.0806200540856,-0.20033542834414458,-0.21912945810618495,0.11228235070223977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0010016,1.600807859966862,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-808.2141824256922,-374.3637039147701,606.8488780803536,-885.6047545132641,614.2704022608455,-0.2003598662485532,-0.2191561907893626,0.11229604486936647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0010017,1.5122479830709366,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-808.4294719201929,-374.39630074230547,606.9040023565386,-885.7211577368034,614.4601694922516,-0.2003843041529618,-0.21918290857137904,0.11230973903649315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0010018,1.4236702290378762,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-808.6447805740577,-374.4288505568966,606.9590800779379,-885.8375021112691,614.6499735795555,-0.20040872715620922,-0.21920962635339544,0.1123234257530392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0010019,1.3350872861718852,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-808.8601734476758,-374.4614045502133,607.0141727958842,-885.9538817431696,614.8398564559749,-0.20043313525829548,-0.2192363143330895,0.11233710501900468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0010019999999999999,1.2464762298385224,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-809.0755455445702,-374.4939051330369,607.0691642942702,-886.07014923336,615.0297425771786,-0.20045752845922052,-0.2192630172139447,0.11235077683438953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0010021,1.157858736179434,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-809.2909447654293,-374.5263874559231,607.1241176973739,-886.1863848108628,615.2196630844737,-0.20048193656130672,-0.21928969029247752,0.11236444864977438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0010022,1.0692462320834264,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-809.5063614465329,-374.55885277081205,607.1790436836178,-886.3025943471727,615.4096081094407,-0.20050631486107057,-0.21931636337101035,0.1123781130145786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0010023,0.9806056290549267,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-809.7217573417284,-374.59126741186617,607.23386624491,-886.418691974153,615.599555528899,-0.2005306931608344,-0.21934302154838195,0.11239177737938283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0010023999999999999,0.8919585950516364,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-809.9372423273697,-374.62368581725883,607.2887024378632,-886.5348248862236,615.7895865121372,-0.20055505655943706,-0.21936967972575358,0.11240542684302585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
