time_s,gap_um,vn_mm_s,vt_norm_mm_s,contact_active
0.0010018,1.4236702290378762,-885.8375021112691,614.6499735795555,0
0.0010019,1.3350872861718852,-885.9538817431696,614.8398564559749,0
0.0010019999999999999,1.2464762298385224,-886.07014923336,615.0297425771786,0
0.0010021,1.157858736179434,-886.1863848108628,615.2196630844737,0
0.0010022,1.0692462320834264,-886.3025943471727,615.4096081094407,0
0.0010023,0.9806056290549267,-886.418691974153,615.599555528899,0
0.0010023999999999999,0.8919585950516364,-886.5348248862236,615.7895865121372,0
0.0010025,0.8033063901366827,-886.6509046663065,615.9796397960816,0
0.0010026,0.7146260973103279,-886.7669399720828,616.1697438215981,0
0.0010027,0.6259393846952813,-886.8828963925521,616.3598428987136,0
0.0010027999999999999,0.5372462631133131,-886.9988672009533,616.5500173882192,0
0.0010029,0.4485479052642899,-887.1147383499468,616.7401728692196,0
0.001003,0.35983172045604206,-887.2306385393188,616.9304226628411,0
0.0010031,0.27109887999159227,-887.3464326147646,617.1206650137759,0
0.0010031999999999999,0.1823597195917559,-887.4621947716544,617.310941948778,0
0.0010033,0.09360392042250756,-887.5779648948013,617.5013000294888,0
0.0010034,0.004841652067614171,-887.6936559507146,617.6916529292388,0
0.0010035,-0.08392576070635079,-887.8092940539763,617.8820272233917,0
0.0010035999999999999,-0.17271097530649032,-876.0005268589648,612.8046728654857,1
0.0010037,-0.25912823274317537,-812.9556962226454,585.4372275553419,1
0.0010038,-0.3353056187460239,-700.8412794228063,536.651452547492,1
0.0010039,-0.3993010484085689,-571.8628355595823,480.2453173829237,1
0.001004,-0.44968303019532424,-431.40804452912255,418.60156933581925,1
0.0010041,-0.4855833014914202,-284.9225001970025,354.1410686673938,1
0.0010042,-0.5066645459680579,-137.72288849115685,289.24344535100386,1
0.0010042999999999999,-0.5131287323530165,5.174297812172867,226.17929632224576,1
0.0010044,-0.5056298217317815,139.2030927384189,167.0648579487629,1
0.0010045,-0.48529134993195155,260.3740501371447,113.87176271500174,1
0.0010046,-0.45355803132212996,365.3718462484263,68.6365198296532,1
0.0010046999999999999,-0.4122203110607585,451.62252053801217,34.80533758727925,1
0.0010048,-0.36323946790229444,517.324416090454,23.353143468186797,1
0.0010049,-0.30874742610536177,561.4379819487315,32.70451020526671,1
0.001005,-0.2509449808994483,583.7025633101574,40.184887777516565,1
0.0010050999999999999,-0.19200302069226605,584.8058771471044,40.08625835733377,1
0.0010052,-0.13398948146322473,566.301391359224,32.52211746232341,1
0.0010053,-0.07874556019065843,552.3017383770512,27.17233110192366,0
0.0010054,-0.02352463130381459,552.1419386477489,27.08486212821137,0
0.0010054999999999999,0.03168591773453054,551.9821060505599,26.997557264697672,0
0.0010056,0.08686323778702233,551.8222963699567,26.910488962799654,0
0.0010057,0.14205049478334408,551.6625224522945,26.823618048143796,0
0.0010058,0.19720587424477756,551.5026739631514,26.73692269301796,0
0.0010059,0.25234828258842495,551.3428720260667,26.650476494318482,0
0.001006,0.30747007773726465,551.1830605580908,26.5642134162209,0
