time_s,increment,gap_um,contact_node,wall_element,triangle_index
0.0012619999999999999,12620,1.8409544422185378,74,400,798
0.0012621,12621,1.757239869543397,74,400,798
0.0012622,12622,1.6734832302598912,74,400,798
0.0012622999999999998,12623,1.589722646927636,74,400,798
0.0012624,12624,1.5059622746880172,74,400,798
0.0012625,12625,1.4221768235020142,74,400,798
0.0012626,12626,1.3383831329045976,74,400,798
0.0012626999999999998,12627,1.2545728188170813,74,400,798
0.0012628,12628,1.170739507824314,74,400,798
0.0012629,12629,1.0869045973780986,74,400,798
0.001263,12630,1.0030654889905148,74,400,798
0.0012630999999999999,12631,0.9192047827127416,74,400,798
0.0012632,12632,0.8353415047328823,74,400,798
0.0012633,12633,0.7514538740863684,74,400,798
0.0012634,12634,0.6675453314300619,74,400,798
0.0012634999999999999,12635,0.5836553521393159,74,400,798
0.0012636,12636,0.4997151163164548,74,400,798
0.0012637,12637,0.41577916725692127,74,400,798
0.0012638,12638,0.3318379279773314,74,400,798
0.0012638999999999999,12639,0.24787578310274536,74,400,798
0.001264,12640,0.16388994612078228,74,400,798
0.0012641,12641,0.0799241019037554,74,400,798
0.0012642,12642,-0.004087922767594858,74,400,798
0.0012642999999999999,12643,-0.08810043169171675,74,400,798
0.0012644,12644,-0.17211407421905578,74,400,798
0.0012645,12645,-0.2561527638752188,74,400,798
0.0012645999999999998,12646,-0.34021513619671834,74,400,798
0.0012647,12647,-0.42425751295014025,74,400,798
0.0012648,12648,-0.5083426212109083,74,400,798
0.0012649,12649,-0.5907805441473055,74,400,798
0.0012649999999999998,12650,-0.6677846945726761,74,400,798
0.0012651,12651,-0.7372066769855266,74,400,798
0.0012652,12652,-0.7971969487413837,74,400,798
0.0012653,12653,-0.8462575317931421,74,400,798
0.0012653999999999999,12654,-0.8831836074386645,74,400,798
0.0012655,12655,-0.907163094949238,74,400,798
0.0012656,12656,-0.9178386833900688,74,400,798
0.0012657,12657,-0.9151861356321321,74,400,798
0.0012657999999999999,12658,-0.8996834121992399,74,400,798
0.0012659,12659,-0.8721099453191384,74,400,798
0.001266,12660,-0.8335691612782189,74,400,798
0.0012661,12661,-0.7853871591757708,74,400,798
0.0012661999999999999,12662,-0.7291389214596025,74,400,798
0.0012663,12663,-0.6665668924768103,74,400,798
0.0012664,12664,-0.5995453702017817,74,400,798
0.0012665,12665,-0.5300223107773825,74,400,798
0.0012665999999999999,12666,-0.46000051501990946,74,400,798
0.0012667,12667,-0.39000843785545247,74,400,798
0.0012668,12668,-0.3200214981476272,74,400,798
0.0012668999999999998,12669,-0.25002671382420294,74,400,798
0.001267,12670,-0.18005751292955116,74,400,798
0.0012671,12671,-0.1100905502136454,74,400,798
0.0012672,12672,-0.04012506368764109,74,400,798
0.0012672999999999999,12673,0.029813407089134793,74,400,798
0.0012674,12674,0.09976178299061422,74,400,798
0.0012675,12675,0.16970020060895286,74,400,798
0.0012676,12676,0.23961935768245182,74,400,798
0.0012676999999999999,12677,0.309536311350065,74,400,798
0.0012678,12678,0.3794319771283783,74,400,798
0.0012679,12679,0.44932538277861284,74,400,798
0.001268,12680,0.5192172909230631,74,400,798
0.0012680999999999999,12681,0.589091516491139,74,400,798
0.0012682,12682,0.6589555234575992,74,400,798
0.0012683,12683,0.7288280516205435,74,400,798
0.0012684,12684,0.7986718822974633,74,400,798
0.0012684999999999999,12685,0.8685110558586835,74,400,798
0.0012686,12686,0.938336585820923,74,400,798
0.0012687,12687,1.0081505218308608,74,400,798
0.0012688,12688,1.0779764026014371,74,400,798
0.0012688999999999999,12689,1.1477711002366549,74,400,798
0.001269,12690,1.2175612517318573,74,400,798
0.0012691,12691,1.2873578271426214,74,400,798
0.0012691999999999998,12692,1.3571300807315765,74,400,798
0.0012693,12693,1.42690075180845,74,400,798
0.0012694,12694,1.496646615169067,74,400,798
0.0012695,12695,1.56639341051908,74,400,798
0.0012695999999999999,12696,1.636137062047458,74,400,798
0.0012697,12697,1.7058802725286584,74,400,798
0.0012698,12698,1.775606823188919,74,400,798
0.0012699,12699,1.8452997037032555,74,400,798
0.0012699999999999999,12700,1.9149964643002622,74,400,798
0.0012701,12701,1.9846977594898814,74,400,798
0.0012702,12702,2.0543858691947463,74,400,798
0.0012703,12703,2.1240641493384347,74,400,798
0.0012703999999999999,12704,2.1937340144885176,74,400,798
0.0012705,12705,2.2633769764888125,74,400,798
0.0012706,12706,2.333027874997545,74,400,798
0.0012707,12707,2.4026676512781617,74,400,798
0.0012707999999999999,12708,2.472296858578773,74,400,798
0.0012709,12709,2.541918353120034,74,400,798
0.001271,12710,2.6115186148157066,74,400,798
0.0012710999999999998,12711,2.68113456578479,74,400,798
0.0012711999999999999,12712,2.7507108272413245,74,400,798
0.0012713,12713,2.8203059705366704,74,400,798
0.0012714,12714,2.8898790086727217,74,400,798
0.0012714999999999998,12715,2.9594334893868646,74,400,798
