time_s,A1,A2,A3,AR1,AR2,AR3,CF1,CF2,CF3,RF1,RF2,RF3,RM1,RM2,RM3,U1,U2,U3,UR1,UR2,UR3,V1,V2,V3,VR1,VR2,VR3
0.00010749999637482688,-15.985102653503418,-17.487037658691406,8.960878372192383,3982.068115234375,-49494.67578125,-30263.900390625,-1.59850586101129e-07,-1.7486989634107886e-07,8.960854103179372e-08,0.0,0.0,0.0,0.0,-0.0,0.0,-1.586998976677023e-08,-1.7361266202442494e-08,8.8964524636026e-09,3.992904566985089e-06,-4.904432353214361e-05,-3.0207333111320622e-05,-0.0005838746437802911,-0.0006387382163666189,0.00032730898237787187,0.1463615596294403,-1.805668830871582,-1.109144926071167
0.00010800000018207356,-16.12833023071289,-17.643720626831055,9.041167259216309,4017.285400390625,-49939.30078125,-30533.19140625,-1.6128285551531008e-07,-1.7643672833855817e-07,9.04114259014932e-08,0.0,0.0,0.0,0.0,-0.0,0.0,-1.616393063841315e-08,-1.7682825870224406e-08,9.061229988560626e-09,4.066584551765118e-06,-4.995336348656565e-05,-3.0765699193580076e-05,-0.000591902993619442,-0.0006475208792835474,0.00033180948230437934,0.14836139976978302,-1.8305271863937378,-1.1243441104888916
0.00010849999671336263,-16.272140502929688,-17.801042556762695,9.121783256530762,4052.6396484375,-50385.75390625,-30803.552734375,-1.627209655907791e-07,-1.780099410098046e-07,9.121758637320454e-08,0.0,0.0,0.0,0.0,-0.0,0.0,-1.6461903840081504e-08,-1.8008798008395388e-08,9.22826792759679e-09,4.1412686186959036e-06,-5.087488898425363e-05,-3.133169957436621e-05,-0.0006000030552968383,-0.0006563820061273873,0.000336350203724578,0.15037886798381805,-1.855608344078064,-1.1396782398223877
0.00010900000052060932,-16.416534423828125,-17.959001541137695,9.202725410461426,4088.130859375,-50834.03125,-31074.984375,-1.6416490211668133e-07,-1.7958952014396345e-07,9.202700113064566e-08,0.0,0.0,0.0,0.0,-0.0,0.0,-1.6763946675268926e-08,-1.8339221696805907e-08,9.397586708814742e-09,4.216966317471815e-06,-5.180900916457176e-05,-3.190540155628696e-05,-0.0006081752362661064,-0.0006653220043517649,0.00034093132126145065,0.15241405367851257,-1.880913257598877,-1.155147910118103
0.00010949999705189839,-16.56151008605957,-18.117595672607422,9.2839937210083,4123.7587890625,-51284.1328125,-31347.486328125,-1.6561463667130738e-07,-1.8117546574103471e-07,9.283968438467127e-08,0.0,0.0,0.0,0.0,-0.0,0.0,-1.7070091118398523e-08,-1.867413423894959e-08,9.569205872139719e-09,4.293685833545169e-06,-5.2755836804863065e-05,-3.248687062296085e-05,-0.000616419711150229,-0.000674341106787324,0.0003455529804341495,0.15446703135967255,-1.9064427614212036,-1.1707534790039062
0.00011000000085914508,-16.70706558227539,-18.276826858520508,9.365588188171387,4159.52294921875,-51736.0546875,-31621.052734375,-1.6707019767636666e-07,-1.8276776359016367e-07,9.365562192442667e-08,0.0,0.0,0.0,0.0,-0.0,0.0,-1.73803780256776e-08,-1.9013574714676906e-08,9.743145845675372e-09,4.371436261862982e-06,-5.371548832044937e-05,-3.3076175895985216e-05,-0.0006247368291951716,-0.0006834397208876908,0.0003502153849694878,0.15653784573078156,-1.9321976900100708,-1.1864955425262451
0.00011049999739043415,-16.85320281982422,-18.436691284179688,9.44750690460205,4195.42333984375,-52189.79296875,-31895.68359375,-1.6853155671014974e-07,-1.843663994804956e-07,9.447481374991185e-08,0.0,0.0,0.0,0.0,-0.0,0.0,-1.769483937152927e-08,-1.9357585756551998e-08,9.919427945703774e-09,4.450226697372273e-06,-5.468806921271607e-05,-3.367338649695739e-05,-0.0006331268814392388,-0.0006926180794835091,0.00035491862217895687,0.15862657129764557,-1.9581791162490845,-1.2023746967315674
0.00011100000119768083,-16.99991798400879,-18.59718894958496,9.529751777648926,4231.45947265625,-52645.3515625,-32171.37890625,-1.6999871377265663e-07,-1.8597138762288523e-07,9.529725275569945e-08,0.0,0.0,0.0,0.0,-0.0,0.0,-1.8013516012160835e-08,-1.9706206444425334e-08,1.0098070823971739e-08,4.530065780272707e-06,-5.5673703172942623e-05,-3.427857154747471e-05,-0.0006415901007130742,-0.0007018765318207443,0.0003596629248932004,0.16073328256607056,-1.9843878746032715,-1.2183914184570312
0.0001114999977289699,-17.1472110748291,-18.75832176208496,9.612319946289062,4267.63134765625,-53102.72265625,-32448.134765625,-1.714716546530326e-07,-1.8758269959562313e-07,9.612293183636211e-08,0.0,0.0,0.0,0.0,-0.0,0.0,-1.8336441698352246e-08,-2.005947585814738e-08,1.0279097573118179e-08,4.610963060258655e-06,-5.6672495702514425e-05,-3.489180016913451e-05,-0.0006501268944703043,-0.000711215368937701,0.00036444843863137066,0.1628580540418625,-2.010824680328369,-1.234546184539795
0.00011200000153621659,-17.29508399963379,-18.920085906982422,9.695212364196777,4303.93896484375,-53561.91015625,-32725.951171875,-1.7295036514042295e-07,-1.8920033539870929e-07,9.69518580973272e-08,0.0,0.0,0.0,0.0,-0.0,0.0,-1.866365373359713e-08,-2.0417434853925442e-08,1.0462525956711488e-08,4.692926722782431e-06,-5.7684563216753304e-05,-3.551314148353413e-05,-0.0006587374373339117,-0.0007206349400803447,0.00036927530891261995,0.16500094532966614,-2.0374908447265625,-1.2508397102355957
0.00011249999806750566,-17.443532943725586,-19.082481384277344,9.778428077697754,4340.38134765625,-54022.90234375,-33004.82421875,-1.7443485944568238e-07,-1.90824280821289e-07,9.778401022231265e-08,0.0,0.0,0.0,0.0,-0.0,0.0,-1.8995191197745953e-08,-2.078012251160999e-08,1.0648379067390579e-08,4.775966772285756e-06,-5.871002213098109e-05,-3.6142660974292085e-05,-0.0006674220785498619,-0.0007301355362869799,0.000374143710359931,0.16716201603412628,-2.064387083053589,-1.2672723531723022
0.00011300000187475234,-17.592559814453125,-19.245506286621094,9.861967086791992,4376.95849609375,-54485.70703125,-33284.75390625,-1.7592510914710147e-07,-1.9245453586336225e-07,9.86193953167458e-08,0.0,0.0,0.0,0.0,-0.0,0.0,-1.9331087841578665e-08,-2.1147583240122003e-08,1.0836676445080684e-08,4.860091848968295e-06,-5.97489888605196e-05,-3.678043503896333e-05,-0.0006761810509487987,-0.0007397175068035722,0.0003790537884924561,0.1693413406610489,-2.0915141105651855,-1.2838447093963623
0.00011349999840604141,-17.74216079711914,-19.409162521362305,9.945828437805176,4413.6708984375,-54950.3125,-33565.7421875,-1.774211142446802e-07,-1.9409108631407435e-07,9.945801338062665e-08,0.0,0.0,0.0,0.0,-0.0,0.0,-1.967138452130257e-08,-2.1519854342955114e-08,1.1027439406063877e-08,4.945311047777068e-06,-6.080157254473306e-05,-3.74265291611664e-05,-0.0006850147037766874,-0.000749381142668426,0.00038400571793317795,0.17153899371623993,-2.118872880935669,-1.300557255744934
0.0001140000022132881,-17.892335891723633,-19.57344627380371,10.030012130737305,4450.517578125,-55416.7265625,-33847.78125,-1.7892287473841861e-07,-1.9573391796257056e-07,1.002998502031005e-07,0.0,0.0,0.0,0.0,-0.0,0.0,-2.001611498769762e-08,-2.1896976676316626e-08,1.122068926662223e-08,5.031633918406442e-06,-6.186789687490091e-05,-3.808101610047743e-05,-0.0006939233280718327,-0.000759126793127507,0.00038899967330507934,0.17375503480434418,-2.1464645862579346,-1.3174105882644653
0.00011449999874457717,-18.043087005615234,-19.738357543945312,10.114518165588379,4487.49853515625,-55884.9375,-34130.875,-1.8043037641746196e-07,-1.973830450197056e-07,1.0114489867873999e-07,0.0,0.0,0.0,0.0,-0.0,0.0,-2.0365320096971118e-08,-2.2278992872770687e-08,1.1416446454859397e-08,5.119069555803435e-06,-6.294807826634496e-05,-3.874396134051494e-05,-0.0007029071566648781,-0.0007689546910114586,0.00039403580012731254,0.1759895384311676,-2.1742899417877197,-1.3344053030014038
0.00011500000255182385,-18.19441032409668,-19.903898239135742,10.199344635009766,4524.61328125,-56354.94921875,-34415.015625,-1.8194360507095553e-07,-1.9903842485291534e-07,1.0199316591297247e-07,0.0,0.0,0.0,0.0,-0.0,0.0,-2.0719033599903014e-08,-2.266594556488144e-08,1.161473139887903e-08,5.207626600167714e-06,-6.404222222045064e-05,-3.9415441278833896e-05,-0.0007119664805941284,-0.0007788652437739074,0.00039911424391902983,0.17824256420135498,-2.202349901199341,-1.3515416383743286
0.00011549999908311293,-18.34630584716797,-20.0700626373291,10.284492492675781,4561.86181640625,-56826.76171875,-34700.203125,-1.8346256069889932e-07,-2.007000858839092e-07,1.0284464480037059e-07,0.0,0.0,0.0,0.0,-0.0,0.0,-2.1077298129057453e-08,-2.3057872056142514e-08,1.1815567191320042e-08,5.297315055940999e-06,-6.51504669804126e-05,-4.009552503703162e-05,-0.0007211016491055489,-0.0007888587424531579,0.0004042352084070444,0.1805141717195511,-2.230645179748535,-1.3688204288482666
0.00011600000289035961,-18.4987735748291,-20.236854553222656,10.36996078491211,4599.244140625,-57300.36328125,-34986.44140625,-1.8498724330129335e-07,-2.0236798548012302e-07,1.0369932823550698e-07,0.0,0.0,0.0,0.0,-0.0,0.0,-2.1440147435214385e-08,-2.3454816755474894e-08,1.2018973372107666e-08,5.388144018070307e-06,-6.627290713367984e-05,-4.078428537468426e-05,-0.0007303128950297832,-0.0007989354198798537,0.0004093988100066781,0.18280445039272308,-2.2591769695281982,-1.3862420320510864
