time_s,B_mT,command_deg,force_s_N,torque_rock_Nmm,theta_deg
0.0427201,10.999999662947152,14.361565108772849,2.9205615127870826e-05,0.0003562626250628204,12.65437561065526
0.0427301,10.99999892703486,14.348722488682236,2.920808002429499e-05,0.00035741223624839784,12.635733264077537
0.0427401,10.999998788627968,14.335313405596722,2.9210503970398342e-05,0.0003584157676718679,12.617457733733811
0.0427501,10.999999979027956,14.321338388883941,2.9212887031711308e-05,0.00035933946199407746,12.59955575670368
0.0427601,10.999998647122114,14.306797990253624,2.921522928096119e-05,0.00035986187759587927,12.582015377267423
0.0427701,10.999998830659084,14.291692783735817,2.921753081852887e-05,0.00036030740198047075,12.564843469900122
0.0427801,10.999999504136156,14.276023365658205,2.9219791753967597e-05,0.00036060002507790805,12.54804725225018
0.0427901,10.99999840246727,14.259790354622583,2.9222012205192304e-05,0.0003605646304675261,12.531614727423623
0.0428001,10.999998978466753,14.242994391480433,2.9224192318573813e-05,0.00036045215548063107,12.515551897624253
0.0428101,10.999999020545072,14.225636139307621,2.922633224366258e-05,0.0003601145519825509,12.499865270243205
0.0428201,10.99999821450541,14.207716283378218,2.922843214542894e-05,0.0003595221947128381,12.484541239872422
0.0428301,10.999999263799998,14.189235531137456,2.9230492211252513e-05,0.00035885293701243677,12.469586228401665
0.0428401,10.999998543970026,14.170194612173788,2.9232512628629017e-05,0.0003578872257618468,12.455005239260283
0.0428501,10.999998109292282,14.150594278190088,2.9234493608564238e-05,0.0003567399607443331,12.440786369277019
0.0428601,10.999999722834186,14.130435302973986,2.923643537535072e-05,0.0003555163432780328,12.426933139358962
0.0428701,10.999998094835162,14.1097184823673,2.9238338157420573e-05,0.0003539259138556224,12.413450477974422
0.0428801,10.99999811739601,14.08844463423464,2.9240202206746845e-05,0.0003522269992623435,12.400325924680663
0.0428901,10.99999960124138,14.066614598431102,2.924202778351328e-05,0.00035041363986413167,12.38756865633406
0.0429001,10.999997698172052,14.04422923676912,2.924381515705082e-05,0.00034824215355997546,12.375165939616412
0.0429101,10.99999827377482,14.021289432984442,2.9245564615312893e-05,0.00034599604465358926,12.363121500226235
0.0429201,10.999998865071987,13.997796092701241,2.9247276456247942e-05,0.00034356569146909975,12.35143661611345
0.0429301,10.999997383504262,13.97375014339637,2.9248950986128992e-05,0.0003408511314333284,12.340101540862763
0.0429401,10.99999861764114,13.949152534362728,2.9250588531801895e-05,0.00033806347231752607,12.329116345318633
0.0429501,10.999998144012041,13.924004236671804,2.9252189422987482e-05,0.00033502282556488515,12.318482774234967
0.0429601,10.999997184718188,13.89830624313533,2.925375400596434e-05,0.00033177165643605104,12.30819024850088
0.0429701,10.999999192312444,13.87205956826609,2.925528264226718e-05,0.0003284492697525331,12.298239548946617
0.0429801,10.999997466702633,13.845265248237865,2.925677569452707e-05,0.000324806270007356,12.288630142462344
0.0429901,10.999997139920499,13.817924340844531,2.9258233547863384e-05,0.0003210261269116759,12.279351433737395
0.0430001,10.999999951419355,13.790037925458297,2.9259656595628676e-05,0.00031717384411666586,12.270403559120641
0.0430101,10.999996866128773,13.761607102987094,2.926104523624146e-05,0.00031294081654785163,12.261785908761471
0.0430201,10.999997291282648,13.732632995831107,2.9262399890716242e-05,0.0003086404913335531,12.253487565526951
0.0430301,10.99999887621098,13.70311674783848,2.9263720985106575e-05,0.0003042008721950092,12.245510662037642
0.0430401,10.999996379470128,13.673059524260145,2.926500895273747e-05,0.0002994547773723881,12.237843958815766
0.0430501,10.999997684872776,13.642462511703819,2.9266264248408434e-05,0.00029464420274647986,12.230486738255106
0.0430601,10.999997832048667,13.611326918087167,2.9267487329972315e-05,0.00028962838058199246,12.223435954314427
0.0430701,10.99999604793907,13.579653972590114,2.9268678669551196e-05,0.0002843799355081179,12.216681862880435
0.0430801,10.999998370475543,13.547444925606316,2.9269838752782185e-05,0.0002790701670366564,12.210221307351107
0.0430901,10.999996855387481,13.514701048693794,2.927096807023764e-05,0.0002734904573141686,12.204051954312982
0.0431001,10.99999591660653,13.481423634524749,2.9272067128987665e-05,0.00026775148871905876,12.19816262993123
0.0431101,10.999999401400348,13.447613996834503,2.9273136450305366e-05,0.0002619546848121162,12.192550875888225
0.0431201,10.999995986690639,13.413273470369667,2.9274176554642974e-05,0.0002558245643618739,12.1872112054643
0.0431301,10.99999603421602,13.378403410835425,2.9275187987861463e-05,0.0002496079872297085,12.182135391961747
