time_s,rp_x_mm,rp_y_mm,rp_z_mm,v_x_mm_s,v_y_mm_s,v_z_mm_s,s_displacement_mm,v_s_mm_s,rocking_angle_deg,omega_rock_rad_s,command_rocking_deg,Fmag1_N,Fmag2_N,Fmag3_N,Mmag1_Nmm,Mmag2_Nmm,Mmag3_Nmm
0.02638,-9.665865215067255,-3.5218461684621722,-10.018991118572703,72.39973309809932,-3.85144926845268,15.623700685537834,0.9476911532338718,74.1623936749183,-19.552645106219778,-304.2094981235471,-11.055416409666016,2.7177980065e-05,-1.7212988121e-06,5.7763136133e-06,-0.0003245139273,0.00044616325689,0.0017027241082
0.026390000000000004,-9.665140983528836,-3.521884741480308,-10.01883482954888,72.42129662055122,-3.862517634900415,15.630155044742162,0.9484330202346658,74.18546933754119,-19.72648553016713,-301.0405167213869,-11.114148598735591,2.715012971799999e-05,-1.7195349293999994e-06,5.770394397199999e-06,-0.0003314774873500024,0.00044018316093999795,0.0017261448606000083
0.026400000000000003,-9.664416706735038,-3.5219234190825195,-10.01867849499373,72.44267303331164,-3.873616376580136,15.636522382609051,0.9491749473315536,74.20834615037798,-19.898443129423292,-297.8298214812638,-11.172442020248956,2.712232776199999e-05,-1.7177741114999994e-06,5.7644854658999985e-06,-0.0003384209040600024,0.0004341527891199979,0.001749403490600008
0.026410000000000003,-9.663692251127305,-3.5219622121539618,-10.018522115735099,72.4638663406033,-3.884745393905643,15.642804849955242,0.9499170654163546,74.23102846279752,-20.068530921666643,-294.5773666185286,-11.23029437288165,2.709458584899999e-05,-1.7160170963999994e-06,5.758589295899998e-06,-0.0003452990922200024,0.00042802714476999784,0.0017722847145000078
0.026420000000000003,-9.662967422996019,-3.5220011204629933,-10.01836563299618,72.4848804284668,-3.8959043718210884,15.649002643472178,0.9506595757854686,74.25352008999535,-20.23675278621125,-291.2831395901356,-11.287703372721847,2.706691561599999e-05,-1.7142646210999994e-06,5.752708360599998e-06,-0.0003521273682600024,0.00042182497029999785,0.0017948640653000078
0.026430000000000002,-9.662242490872199,-3.522040133341332,-10.018209119627096,72.50569993652344,-3.9070875103872815,15.655115354715985,0.9514022005017513,74.27580559256947,-20.40302660413452,-287.94882770198916,-11.344666753360531,2.7039328689999988e-05,-1.7125174219999994e-06,5.746845130999998e-06,-0.00035892058040000235,0.0004155649102999978,0.0018172169763000076
0.02644,-9.661517379838724,-3.522079257966414,-10.018052546653369,72.52634396850587,-3.9182944882428226,15.661143206431072,0.9521450191611472,74.29790364745917,-20.567359688023462,-284.57439347701404,-11.401182265980973,2.7011836691e-05,-1.710776235e-06,5.7410020769e-06,-0.00036564449479,0.00040921400175,0.00183917868
0.02645,-9.660792030578111,-3.5221184943220365,-10.017895914074995,72.54680489501953,-3.9295233980390774,15.667087141474973,0.9528880896731245,74.31980688394258,-20.729728234710045,-281.1604996739472,-11.457247679447507,2.6984451202e-05,-1.7090417937e-06,5.7351816599e-06,-0.00037232554795,0.00040280219633,0.0018608802628
0.02646,-9.660066367745497,-3.522157849748975,-10.017739192917498,72.56708653076171,-3.9407744178461157,15.67294919442636,0.953631492061322,74.34151945940789,-20.890142096606723,-277.70690880010466,-11.512860780393606,2.6957183782e-05,-1.7073148303e-06,5.729386337e-06,-0.00037895659002,0.00039632525378,0.0018822901409
0.02647,-9.659340660761295,-3.522197313347306,-10.017582441129836,72.58719649938513,-3.9520417106684937,15.678726239352756,0.9543749505978979,74.36304780714535,-21.048520239061137,-274.215593630662,-11.568019373309268,2.6930045959e-05,-1.7055960748e-06,5.7236185584e-06,-0.00038551436079,0.00038976200494,0.001903295661
0.026480000000000004,-9.658614715358514,-3.5222368849790553,-10.017425629806581,72.60712340937863,-3.9633247383711114,15.684421274142798,0.9551186609310267,74.38438139462431,-21.20486966635397,-270.68651538116933,-11.622721280627728,2.690304920699999e-05,-1.7038862539999994e-06,5.717880762399998e-06,-0.0003920365042500023,0.0003831533404099977,0.0019240849646000072
0.026490000000000003,-9.657888456479453,-3.5222765831327014,-10.017268744667257,72.6268860812717,-3.9746244040595196,15.690034382697213,0.9558627004443474,74.4055386692004,-21.35919948902292,-267.1194797623977,-11.676964342811281,2.687620496199999e-05,-1.7021860919999993e-06,5.712175379699998e-06,-0.0003984936841300022,0.0003764726465399977,0.001944516403500007
0.026500000000000003,-9.657162093844159,-3.5223163820187486,-10.017111828920461,72.6464697096083,-3.9859346090952585,15.695564442104764,0.9566068538321899,74.42650456651371,-21.51143091928856,-263.5165197132854,-11.730746418436748,2.684952460399999e-05,-1.7004963097999994e-06,5.706504828899998e-06,-0.0004048737217900022,0.00036971029617999766,0.001964530997600007
