time_s,magnetic_N,wall_N,fluid_N,reaction_N,no_fluid_wall_N,inertia_N,closure_residual_N,magnetic_J_Ns,wall_J_Ns,fluid_J_Ns,reaction_J_Ns,no_fluid_wall_J_Ns,inertia_J_Ns,closure_residual_J_Ns
0.0031924264039844275,2.8723497120713154e-05,0.0,0.00017026155692875228,-0.00017020751284060887,0.0,2.877753313199782e-05,-8.076858758497346e-12,7.771893271259998e-08,-3.991167986016796e-06,4.565625537875432e-08,3.893086730074878e-06,-5.242001449840134e-08,2.5293480484884554e-08,-4.5166455539853744e-13
0.003202911699190736,2.8724973374390223e-05,0.0,0.00013791195135115874,-0.00013784464022945894,0.0,2.8792283188611895e-05,-1.3074781261466183e-12,7.802011486525172e-08,-3.991167986016796e-06,4.722368265783324e-08,3.891519286376149e-06,-5.242001449840134e-08,2.559464621899099e-08,-4.5166345090353845e-13
0.0032135292422026396,2.8726392325288307e-05,0.0,0.00013742700375791452,-0.00013743375108456017,0.0,2.871964208409645e-05,-2.9145462017671035e-12,7.832511110591714e-08,-3.991167986016796e-06,4.9291393161557536e-08,3.889451582207195e-06,-5.242001449840134e-08,2.5899648793434357e-08,-4.516644421342035e-13
0.003224228508770466,2.8727746625383197e-05,0.0,0.00015973903817370977,-0.00015968541320657403,0.0,2.8781363393675815e-05,-8.198843114029606e-12,7.863246974844325e-08,-3.991167986016796e-06,5.251647292189147e-08,3.886226529024086e-06,-5.242001449840134e-08,2.6207034019860463e-08,-4.5165776396101173e-13
0.003234992502257228,2.8729032995561384e-05,0.0,0.0002061100170042275,-0.00020611083415481224,0.0,2.872821109202739e-05,-4.752949241322059e-12,7.894170201672708e-08,-3.991167986016796e-06,5.4246016884797236e-08,3.884497035573396e-06,-5.242001449840134e-08,2.6516316795629468e-08,-4.516624909929901e-13
0.003245833097025752,2.873025207806795e-05,0.0,0.00043072128693292367,-0.0004306848741349484,0.0,2.876667242464527e-05,7.548602049694837e-12,7.925314849735049e-08,-3.991167986016796e-06,5.7200389781622e-08,3.881542612500171e-06,-5.242001449840134e-08,2.6827713095511162e-08,-4.51666831417633e-13
0.003256714204326272,2.8731399976330502e-05,0.0,0.00015952979680917655,-0.00015948202110518391,0.0,2.877918048649667e-05,4.8061735255684745e-12,7.956577176742938e-08,-3.991167986016796e-06,6.079882048043994e-08,3.877944163844021e-06,-5.242001449840134e-08,2.7140318384397728e-08,-4.5169069198835517e-13
0.003267757361754775,2.873248824047848e-05,0.0,-5.133864559320659e-05,5.137610964000153e-05,0.0,2.8769950582233078e-05,-1.705040348140693e-12,7.988306321927537e-08,-3.991167986016796e-06,6.311591265409206e-08,3.875627025445752e-06,-5.242001449840134e-08,2.7457563593715145e-08,-4.517086063271733e-13
0.0032788156531751156,2.8733501781253454e-05,0.0,0.0002626446779887546,-0.0002625979715662758,0.0,2.878019943019299e-05,-8.773539264750807e-12,8.020080112151868e-08,-3.991167986016796e-06,6.470322888888761e-08,3.8740397341680615e-06,-5.242001449840134e-08,2.777532645128773e-08,-4.5171038025585524e-13
0.0032898879144340754,2.87344412895694e-05,0.0,-3.599175062901992e-05,3.596155154739089e-05,0.0,2.8704240226396594e-05,-1.9815437844446313e-12,8.051895123038316e-08,-3.991167986016796e-06,6.418087850484768e-08,3.8745620719904656e-06,-5.242001449840134e-08,2.8093464002773177e-08,-4.5170611984051504e-13
0.0033009431790560484,2.873530522179573e-05,0.0,7.89845960347436e-06,-7.872896278025837e-06,0.0,2.8760868710886198e-05,1.6364194748612684e-13,8.083662292549975e-08,-3.991167986016796e-06,6.386331267231001e-08,3.874879615374211e-06,-5.242001449840134e-08,2.8411113247567255e-08,-4.517076495748544e-13
0.0033119372092187405,2.873609208364702e-05,0.0,-2.77071970543174e-05,2.7673566536071613e-05,0.0,2.870246051729136e-05,-1.0481098715981688e-12,8.115254412870875e-08,-3.991167986016796e-06,6.371765453456914e-08,3.875025233384356e-06,-5.242001449840134e-08,2.872699432155763e-08,-4.517092720215065e-13
0.0033229361288249493,2.8736808196872637e-05,0.0,6.237115052144584e-05,-6.230299557219954e-05,0.0,2.8804965754160034e-05,2.6080410922525114e-12,8.146861409801826e-08,-3.991167986016796e-06,6.351260462236716e-08,3.875230265592915e-06,-5.242001449840134e-08,2.904304657888668e-08,-4.517176078825835e-13
0.003333945292979479,2.8737455216798246e-05,0.0,-6.092683798993521e-05,6.0915234027049444e-05,0.0,2.8725850346233606e-05,-9.076788799744495e-13,8.178498596186879e-08,-3.991167986016796e-06,6.341831139628177e-08,3.875324479022252e-06,-5.242001449840134e-08,2.9359338643863132e-08,-4.517197349022914e-13
0.0033449481707066298,2.8738033223105045e-05,0.0,8.32669347070456e-05,-8.327170623046264e-05,0.0,2.8733265466781886e-05,3.767093885773511e-12,8.210118390981689e-08,-3.991167986016796e-06,6.377802370100659e-08,3.874964786725175e-06,-5.242001449840134e-08,2.967555660051201e-08,-4.517186825425761e-13
0.003355875611305237,2.8738540637881372e-05,0.0,-3.480024620572863e-05,3.4762793977646166e-05,0.0,2.8701086569158544e-05,-1.840640361888647e-12,8.241521989340416e-08,-3.991167986016796e-06,6.332259936092605e-08,3.875420246203987e-06,-5.242001449840134e-08,2.998962772457834e-08,-4.517169365737863e-13
0.003366818418726325,2.873898345574426e-05,0.0,-3.753680624827496e-05,3.7572783307526845e-05,0.0,2.8774962526210376e-05,2.011214230503459e-12,8.272970269098361e-08,-3.991167986016796e-06,6.294712320864212e-08,3.875795728570897e-06,-5.242001449840134e-08,3.0304116736737394e-08,-4.5171698364531835e-13
