time_s,s_relative_mm,v_s_mm_s,delta_s_backtrack_mm,F_mag_s_N,whole_general_contact_force_s_N,pipe_surface_reaction_on_robot_proxy_s_N
0.01508,0.15966226532654718,12.151887930532872,0.0,2.6501747325693874e-05,-0.00022813984765702257,-1.6560802670431305e-05
0.015085000000000001,0.15972244039767006,11.935250768203366,0.0,2.650417397775405e-05,-0.0005140412639639763,-1.067104290438288e-05
0.015090000000000001,0.1597816944512341,11.719270935107394,0.0,2.6506582912982464e-05,-0.0005107073860096704,-1.55294069246719e-05
0.015095,0.15983999484661973,11.540772853224995,0.0,2.6508972053592103e-05,-0.0010781502487524426,-1.7364824357358917e-05
0.0151,0.15989620586517325,10.934151238995153,0.0,2.6511340846461946e-05,-0.0013025033177317229,-1.5215655700916719e-05
0.015105,0.15994942107359494,10.360661923314494,0.0,2.6513686295896213e-05,-0.0010070087543963295,-1.683807913886219e-05
0.01511,0.15999996729802426,9.882525309435998,0.0,2.651600546926017e-05,-0.0005039655282244555,-1.5865290443793536e-05
0.015115,0.1600485030592709,9.579181636759383,0.0,2.651829946635018e-05,-0.0005360034779017025,-2.2302090159133327e-05
0.01512,0.16009571824385244,9.303768296896394,0.0,2.6520566152689085e-05,-0.0005461140579675341,-3.3859004592812576e-05
0.015125,0.1601415024889306,8.986710037935628,0.0,2.6522804389316062e-05,-0.0007938683921636356,-1.5530234199682216e-05
0.015130000000000001,0.1601854120084913,8.56465162025627,0.0,2.6525019442659164e-05,-0.0010584589052965619,-6.779217308983879e-06
0.015135000000000001,0.16022693824786333,8.048321655629477,0.0,2.6527209662488795e-05,-0.0010987081697478515,-9.056381857483323e-06
0.01514,0.16026586709360618,7.548240370320539,0.0,2.6529372893267604e-05,-0.0005937048034876534,-5.241888893470717e-06
0.015145,0.16030312247288073,7.294299648054764,0.0,2.6531513788010415e-05,-0.0011216239207423252,-1.33321879943108e-05
0.01515,0.16033804952593667,6.666529731292693,0.0,2.6533625952954134e-05,-0.001119608129801392,-1.8998235265133726e-05
0.015155,0.1603704059162476,6.333609037774466,0.0,2.653570820041394e-05,-0.0008263523537310876,-1.121360695910732e-05
0.01516,0.1604012084976025,5.978918144138209,0.0,2.6537764566045966e-05,-0.0006553949346626387,-9.507812689916103e-06
0.015165,0.16043049122121797,5.770420957932608,0.0,2.653979305813883e-05,-0.00012767634049124193,-6.938617865581508e-06
0.01517,0.16045887900997308,5.597967154036559,0.0,2.6541794211977684e-05,-0.0003244479292394228,-1.109647003195086e-05
0.015175000000000001,0.16048674239718658,5.541300238956978,0.0,2.654376777429325e-05,-0.00040245718552764126,-1.1765548742745862e-05
0.01518,0.16051428184512334,5.4722793749456375,0.0,2.6545713981334562e-05,0.00011958687887440292,-1.937257380398294e-05
0.015185,0.16054114294103228,5.2111047270841455,0.0,2.6547634076755147e-05,-0.0010398661584336715,-9.482427180370807e-06
0.01519,0.1605665917982413,5.05567884247575,0.0,2.654952953748632e-05,-0.00010370967224350857,-9.759647796221186e-06
0.015195,0.16059152849102287,4.946477054435159,0.0,2.6551396554385402e-05,0.0002685013560288892,-1.2007152216584484e-05
0.0152,0.16061706647674137,5.245258342946272,0.0,2.6553234636643873e-05,5.3175389191205866e-05,-1.1256482717435231e-05
0.015205,0.1606434885341368,5.303114673031568,0.0,2.6555043587686035e-05,-0.0002460472674358231,-2.002491842994913e-05
0.015210000000000001,0.16066964960085986,5.160938280948858,0.0,2.6556820526681876e-05,-0.00018932962029708406,-1.3916263358442993e-05
0.015215000000000001,0.1606953843459989,5.13923845813275,0.0,2.655856667542394e-05,-1.5537951366894078e-05,-1.2042126477506485e-05
0.015220000000000001,0.16072091909824998,5.1026608254526575,0.0,2.6560283342549974e-05,0.00034882528255266836,-1.4060480214402593e-05
0.015225,0.16074686992277007,5.298780916226087,0.0,2.6561968572666165e-05,0.0004086928484205269,-1.545697020673187e-05
0.01523,0.16077381374126767,5.430026457059881,0.0,2.6563623236601612e-05,-0.00015465576144253643,-1.5304902280835432e-05
0.015235,0.1608007723730286,5.3343727710189235,0.0,2.6565247382037365e-05,3.9162873721683574e-05,-2.5739362305424643e-05
0.01524,0.16082747504406145,5.3788520774097,0.0,2.656683698030595e-05,8.717682426675815e-05,-2.8799933478481586e-05
0.015245,0.16085458444177694,5.417458634275324,0.0,2.6568394775966756e-05,-0.0002191570510527675,-2.9806269986337054e-05
0.01525,0.16088161707945461,5.39800802186372,0.0,2.656991975069675e-05,-0.00036243548097829895,-3.4248091142135785e-05
0.015255000000000001,0.1609085076888913,5.412370716300282,0.0,2.657141098108397e-05,0.00014232009803242645,-3.537448336306155e-05
0.015260000000000001,0.1609354280018637,5.307592513273339,0.0,2.6572867388328005e-05,-0.00014880543864122865,-3.3213609899500866e-05
0.015265,0.16096223048791936,5.413401760430076,0.0,2.657428619484279e-05,0.00016833432222554764,-3.676250027961736e-05
0.01527,0.16098975871110605,5.634338377186427,0.0,2.6575669585766887e-05,0.0006090888157962562,-3.491408064318865e-05
0.015275,0.16101876770989443,5.973650168537299,0.0,2.6577017099650312e-05,0.000601359307430903,-4.77670519213306e-05
0.01528,0.16104880411970854,5.937771930725847,0.0,2.6578330165082806e-05,-0.0006413967980127312,-4.2180384120996444e-05
0.015285,0.1610781704184264,5.854447821783032,0.0,2.6579606281006733e-05,0.00016187370506990612,-3.6076797896136794e-05
0.01529,0.1611074092675396,5.8639488172856185,0.0,2.6580844244798148e-05,-9.090165372300976e-05,-3.7526853500707514e-05
0.015295,0.16113683610594345,5.851430035730419,0.0,2.658204342691745e-05,-0.0005069397057630943,-4.1237272308590754e-05
0.015300000000000001,0.1611658820371599,5.821483971265236,0.0,2.658320337217796e-05,0.00036916525090398587,-3.7053951453979574e-05
0.015305000000000001,0.16119570770590438,6.131492428873227,0.0,2.6584323423755718e-05,0.0005131135036507389,-4.1503146834573226e-05
0.01531,0.16122659280934373,6.172047652153946,0.0,2.6585405103224817e-05,0.0002906099160124618,-3.986840109691263e-05
0.015315,0.16125819068732125,6.599774182548281,0.0,2.658644501487278e-05,0.0015553750452806559,-3.645594312213873e-05
0.01532,0.16129296173370214,7.250611604788343,0.0,2.6587446259363238e-05,0.0007501547629475691,-3.9975510811257356e-05
0.015325,0.16133020355773514,7.5198941165302315,0.0,2.6588407162291557e-05,-0.0003129270392489868,-3.6699603349377094e-05
0.01533,0.16136789466447354,7.57490035806282,0.0,2.658932704202052e-05,-3.928872217047009e-05,-3.8301964171756816e-05
0.015335,0.16140571989468913,7.52916716572216,0.0,2.6590204762481047e-05,-0.00042030810953698033,-3.802764186943104e-05
0.01534,0.1614428613900715,7.311272037959317,0.0,2.6591039092815492e-05,-0.0005376411681383227,-3.69155294329469e-05
0.015345000000000001,0.1614789609014215,7.111665200703071,0.0,2.6591830725053004e-05,-0.0004400618499229721,-4.909883270559257e-05
0.01535,0.16151352205315225,6.71138252934563,0.0,2.6592578496756546e-05,-0.000525886305063866,-3.9584535990436204e-05
0.015355,0.16154656090784952,6.515270678576034,0.0,2.6593281616998026e-05,-0.00046167305675958137,-2.6505267821362182e-05
0.01536,0.16157890912274603,6.400339417673556,0.0,2.6593940299871373e-05,-0.0006404705804542011,-4.5507300346064496e-05
0.015365,0.16161019400139423,6.128807774731901,0.0,2.659455519476206e-05,-0.0003552290930586103,-4.218878948740996e-05
0.01537,0.16164015846745391,5.842555966893776,0.0,2.6595127126225215e-05,-0.0007046897360137158,-3.5994178854687145e-05
0.015375,0.161668573864572,5.576853129224215,0.0,2.6595654534169227e-05,-0.00016769244478638873,-4.17793267737041e-05
0.015380000000000001,0.161696595841121,5.653677013207758,0.0,2.6596137082525226e-05,0.0003274199250009179,-3.9350095305181554e-05
0.015385000000000001,0.16172499702992732,5.649148626618421,0.0,2.6596576114096205e-05,-0.0004337462349059311,-3.116919160314278e-05
0.015390000000000001,0.1617527403421296,5.450500178535168,0.0,2.6596967817914095e-05,-0.00038535065765404506,-2.9831757317320087e-05
0.015395,0.1617801647538464,5.570063967210476,0.0,2.6597313736997695e-05,0.000733554836875871,-2.701565308729863e-05
0.0154,0.16180787027298463,5.475973995290996,0.0,2.65976150729817e-05,-0.00013590512442605797,-2.838215308400424e-05
0.015405,0.16183515381896843,5.480658647986755,0.0,2.6597870006145725e-05,0.000415847799795119,-3.143065546731912e-05
0.01541,0.16186306257179714,5.691554285441955,0.0,2.659807808038908e-05,0.00030400603425996206,-2.9233269039356466e-05
