time_s,UR1_rad,UR2_rad,UR3_rad
5.700000000000000205e-03,-1.399455164632411042e-01,-2.837486733431606248e-02,5.605464667455903882e-01
5.800000000000000468e-03,-1.408072661805809533e-01,-3.820205880301128648e-02,5.591121307220449088e-01
5.899999999999999863e-03,-1.416216055772187565e-01,-4.800366985959094585e-02,5.574959772234520106e-01
6.000000000000000125e-03,-1.423882548848558749e-01,-5.777612892622448204e-02,5.556986648537909357e-01
6.100000000000000387e-03,-1.431069524493406298e-01,-6.751587806428170635e-02,5.537209197275989592e-01
6.200000000000000649e-03,-1.437774548070552549e-01,-7.721937436128938070e-02,5.515635350817017502e-01
6.300000000000000044e-03,-1.443995367531514529e-01,-8.688309130736970864e-02,5.492273708587829262e-01
6.400000000000000307e-03,-1.449729914016410770e-01,-9.650352016049837389e-02,5.467133532631563986e-01
6.500000000000000569e-03,-1.454976302373538477e-01,-1.060771712999367122e-01,5.440224742891097698e-01
6.599999999999999964e-03,-1.459732831597789771e-01,-1.156005755672143420e-01,5.411557912222092481e-01
6.700000000000000226e-03,-1.463997985188127127e-01,-1.250702855940339642e-01,5.381144261139760854e-01
6.800000000000000488e-03,-1.467770431424398059e-01,-1.344828771164988390e-01,5.348995652303443205e-01
6.900000000000000751e-03,-1.471049023563804070e-01,-1.438349502750781717e-01,5.315124584743368130e-01
7.000000000000000146e-03,-1.473832799957413009e-01,-1.531231308997257068e-01,5.279544187834076530e-01
7.100000000000000408e-03,-1.476120984087121446e-01,-1.623440717795998078e-01,5.242268215018974775e-01
7.200000000000000670e-03,-1.477912984523561124e-01,-1.714944539168353765e-01,5.203311037290870855e-01
7.300000000000000065e-03,-1.479208394805438809e-01,-1.805709877638461414e-01,5.162687636433129779e-01
7.400000000000000328e-03,-1.480006993240911006e-01,-1.895704144436357041e-01,5.120413598026507529e-01
7.500000000000000590e-03,-1.480308742631567809e-01,-1.984895069526267097e-01,5.076505104226597398e-01
7.599999999999999985e-03,-1.480113789919709211e-01,-2.073250713455301319e-01,5.030978926317013489e-01
7.700000000000000247e-03,-1.479422465759582250e-01,-2.160739479017848852e-01,4.983852417043557748e-01
7.800000000000000509e-03,-1.478235284013344197e-01,-2.247330122731282520e-01,4.935143502734598009e-01
7.900000000000000772e-03,-1.476552941172509514e-01,-2.332991766118630850e-01,4.884870675213081603e-01
8.000000000000000167e-03,-1.474376315705699658e-01,-2.417693906794150527e-01,4.833052983505555233e-01
8.099999999999999561e-03,-1.471706467333555590e-01,-2.501406429347788341e-01,4.779710025353761105e-01
8.200000000000000691e-03,-1.468544636231699785e-01,-2.584099616024798651e-01,4.724861938534337114e-01
8.300000000000000086e-03,-1.464892242162667557e-01,-2.665744157196943132e-01,4.668529391992244926e-01
8.400000000000001216e-03,-1.460750883537767497e-01,-2.746311161621763364e-01,4.610733576793571986e-01
8.500000000000000611e-03,-1.456122336409872986e-01,-2.825772166486778536e-01,4.551496196903503932e-01
8.600000000000000006e-03,-1.451008553398135670e-01,-2.904099147235457146e-01,4.490839459795066824e-01
8.700000000000001135e-03,-1.445411662545698639e-01,-2.981264527172111101e-01,4.428786066894547235e-01
8.800000000000000530e-03,-1.439333966111475405e-01,-3.057241186842933334e-01,4.365359203869352278e-01
8.899999999999999925e-03,-1.432777939297095182e-01,-3.132002473190718672e-01,4.300582530764084921e-01
9.000000000000001055e-03,-1.425746228910137470e-01,-3.205522208480788282e-01,4.234480171990742114e-01
