region,parameter,x_mm,radius_mm
HEAD,0.2305,0.016620535509312837,0.11807379861353713
HEAD,0.231,0.016712439752965328,0.11835635120211856
HEAD,0.2315,0.01680462906625075,0.11863902288908486
HEAD,0.232,0.01689710348305009,0.11892181344410716
HEAD,0.2325,0.01698986303535852,0.11920472263498476
HEAD,0.233,0.017082907753287933,0.11948775022764944
HEAD,0.2335,0.01717623766506956,0.11977089598616912
HEAD,0.234,0.017269852797056538,0.12005415967275239
HEAD,0.2345,0.017363753173726494,0.12033754104775209
HEAD,0.235,0.01745793881768414,0.12062103986966964
HEAD,0.2355,0.01755240974966384,0.120904655895159
HEAD,0.236,0.0176471659885322,0.12118838887903086
HEAD,0.2365,0.017742207551290645,0.12147223857425626
HEAD,0.237,0.01783753445307799,0.12175620473197106
HEAD,0.2375,0.01793314670717307,0.1220402871014799
HEAD,0.238,0.018029044324997273,0.12232448543026019
HEAD,0.2385,0.018125227316117144,0.12260879946396602
HEAD,0.239,0.01822169568824694,0.12289322894643237
HEAD,0.2395,0.018318449447251275,0.12317777361967924
HEAD,0.24,0.018415488597147645,0.12346243322391551
HEAD,0.2405,0.018512813140109025,0.123747207497543
HEAD,0.241,0.018610423076466452,0.1240320961771605
HEAD,0.2415,0.018708318404711616,0.12431709899756808
HEAD,0.242,0.018806499121499457,0.12460221569177082
HEAD,0.2425,0.0189049652216507,0.12488744599098295
HEAD,0.243,0.019003716698154476,0.12517278962463183
HEAD,0.2435,0.01910275354217089,0.1254582463203623
HEAD,0.244,0.019202075743033637,0.12574381580404032
HEAD,0.2445,0.019301683288252505,0.12602949779975725
HEAD,0.245,0.019401576163516048,0.12631529202983371
HEAD,0.2455,0.01950175435269411,0.12660119821482396
HEAD,0.246,0.01960221783784044,0.12688721607351972
HEAD,0.2465,0.019702966599195248,0.12717334532295402
HEAD,0.247,0.0198040006151878,0.12745958567840557
HEAD,0.2475,0.019905319862439007,0.12774593685340277
HEAD,0.248,0.02000692431576401,0.12803239855972762
HEAD,0.2485,0.020108813948174733,0.12831897050741975
HEAD,0.249,0.020210988730882496,0.1286056524047805
HEAD,0.2495,0.020313448633300594,0.1288924439583772
HEAD,0.25,0.020416193623046874,0.12917934487304686
HEAD,0.2505,0.02051922366594631,0.12946635485190036
HEAD,0.251,0.02062253872603359,0.12975347359632647
HEAD,0.2515,0.020726138765555704,0.13004070080599603
HEAD,0.252,0.020830023744974533,0.13032803617886587
HEAD,0.2525,0.020934193622969423,0.1306154794111828
HEAD,0.253,0.021038648356439735,0.13090303019748767
HEAD,0.2535,0.02114338790050751,0.1311906882306196
HEAD,0.254,0.021248412208519963,0.1314784532017199
HEAD,0.2545,0.02135372123205212,0.13176632480023603
HEAD,0.255,0.02145931492090938,0.13205430271392574
HEAD,0.2555,0.02156519322313009,0.132342386628861
HEAD,0.256,0.02167135608498818,0.13263057622943245
HEAD,0.2565,0.021777803450995642,0.13291887119835283
HEAD,0.257,0.021884535263905235,0.13320727121666134
HEAD,0.2575,0.02199155146471296,0.13349577596372778
HEAD,0.258,0.02209885199266074,0.13378438511725665
HEAD,0.2585,0.022206436785238915,0.1340730983532907
HEAD,0.259,0.022314305778188867,0.1343619153462154
HEAD,0.2595,0.022422458905505604,0.134650835768763
HEAD,0.26,0.022530896099440353,0.1349398592920165
HEAD,0.2605,0.022639617290503105,0.13522898558541346
HEAD,0.261,0.022748622407465217,0.1355182143167503
HEAD,0.2615,0.022857911377362018,0.13580754515218646
HEAD,0.262,0.022967484125495354,0.13609697775624816
HEAD,0.2625,0.023077340575436183,0.13638651179183248
HEAD,0.263,0.02318748064902717,0.13667614692021152
HEAD,0.2635,0.02329790426638526,0.13696588280103641
HEAD,0.264,0.02340861134590426,0.13725571909234152
HEAD,0.2645,0.023519601804257426,0.1375456554505481
HEAD,0.265,0.02363087555640003,0.13783569153046854
HEAD,0.2655,0.023742432515571975,0.13812582698531062
HEAD,0.266,0.02385427259330034,0.13841606146668134
HEAD,0.2665,0.023966395699401986,0.13870639462459083
HEAD,0.267,0.02407880174198613,0.1389968261074567
HEAD,0.2675,0.024191490627456937,0.13928735556210778
HEAD,0.268,0.024304462260516104,0.13957798263378862
HEAD,0.2685,0.024417716544165406,0.13986870696616294
HEAD,0.269,0.024531253379709326,0.14015952820131808
HEAD,0.2695,0.02464507266675762,0.14045044597976886
HEAD,0.27,0.02475917430322789,0.14074145994046197
HEAD,0.2705,0.024873558185348192,0.14103256972077946
HEAD,0.271,0.024988224207659556,0.1413237749565431
HEAD,0.2715,0.025103172263018676,0.14161507528201847
HEAD,0.272,0.025218402242600392,0.141906470329919
HEAD,0.2725,0.025333914035900313,0.1421979597314098
HEAD,0.273,0.025449707530737394,0.1424895431161118
HEAD,0.2735,0.025565782613256538,0.14278122011210606
HEAD,0.274,0.025682139167931165,0.1430729903459375
HEAD,0.2745,0.025798777077565775,0.14336485344261896
HEAD,0.275,0.025915696223298545,0.14365680902563527
HEAD,0.2755,0.02603289648460392,0.14394885671694752
HEAD,0.276,0.02615037773929522,0.14424099613699698
HEAD,0.2765,0.026268139863527145,0.14453322690470888
HEAD,0.277,0.026386182731798425,0.1448255486374966
HEAD,0.2775,0.026504506216954375,0.1451179609512662
HEAD,0.278,0.02662311019018952,0.14541046346041978
HEAD,0.2785,0.02674199452105009,0.1457030557778597
HEAD,0.279,0.026861159077436688,0.14599573751499284
HEAD,0.2795,0.026980603725606827,0.14628850828173454
HEAD,0.28,0.02710032833017754,0.14658136768651267
HEAD,0.2805,0.027220332754127937,0.14687431533627146
HEAD,0.281,0.027340616858801785,0.14716735083647578
HEAD,0.2815,0.027461180503910103,0.14746047379111518
HEAD,0.282,0.0275820235475338,0.14775368380270787
HEAD,0.2825,0.02770314584612615,0.14804698047230477
HEAD,0.283,0.02782454725451543,0.14834036339949352
HEAD,0.2835,0.027946227625907514,0.14863383218240245
HEAD,0.284,0.028068186811888437,0.14892738641770487
HEAD,0.2845,0.028190424662426987,0.149221025700623
HEAD,0.285,0.028312941025877277,0.14951474962493191
HEAD,0.2855,0.028435735748981332,0.1498085577829636
HEAD,0.286,0.028558808676871668,0.15010244976561116
HEAD,0.2865,0.028682159653073913,0.15039642516233281
HEAD,0.287,0.028805788519509313,0.15069048356115575
HEAD,0.2875,0.028929695116497376,0.1509846245486803
HEAD,0.288,0.029053879282758426,0.1512788477100841
HEAD,0.2885,0.029178340855416224,0.151573152629126
HEAD,0.289,0.029303079670000492,0.15186753888815008
HEAD,0.2895,0.029428095560449535,0.15216200606808977
HEAD,0.29,0.02955338835911282,0.15245655374847186
HEAD,0.2905,0.029678957896753545,0.1527511815074206
HEAD,0.291,0.029804804002551238,0.15304588892166174
HEAD,0.2915,0.029930926504104314,0.15334067556652628
HEAD,0.292,0.0300573252274327,0.15363554101595503
HEAD,0.2925,0.030183999996980383,0.15393048484250244
HEAD,0.293,0.03031095063561799,0.15422550661734036
HEAD,0.2935,0.030438176964645382,0.15452060591026234
HEAD,0.294,0.030565678803794242,0.1548157822896879
HEAD,0.2945,0.030693455971230677,0.1551110353226662
HEAD,0.295,0.030821508283557748,0.15540636457488005
HEAD,0.2955,0.030949835555818064,0.1557017696106503
HEAD,0.296,0.031078437601496423,0.15599724999293968
HEAD,0.2965,0.03120731423252233,0.15629280528335693
HEAD,0.297,0.03133646525927261,0.15658843504216058
HEAD,0.2975,0.03146589049057397,0.15688413882826335
HEAD,0.298,0.03159558973370559,0.15717991619923594
HEAD,0.2985,0.03172556279440175,0.15747576671131142
HEAD,0.299,0.03185580947685432,0.15777168991938867
HEAD,0.2995,0.031986329583715424,0.15806768537703703
HEAD,0.3,0.03211712291609999,0.1583637526365
HEAD,0.3005,0.03224818927358835,0.1586598912486994
HEAD,0.301,0.032379528454228784,0.1589561007632395
HEAD,0.3015,0.03251114025454012,0.15925238072841064
HEAD,0.302,0.03264302446951435,0.159548730691194
HEAD,0.3025,0.032775180892619195,0.15984515019726508
HEAD,0.303,0.032907609315800626,0.16014163879099771
HEAD,0.3035,0.03304030952948557,0.16043819601546855
HEAD,0.304,0.03317328132258435,0.16073482141246073
HEAD,0.3045,0.03330652448249341,0.16103151452246814
HEAD,0.305,0.03344003879509777,0.16132827488469928
HEAD,0.3055,0.03357382404477367,0.1616251020370813
HEAD,0.306,0.033707880014391206,0.1619219955162644
HEAD,0.3065,0.0338422064853168,0.16221895485762547
HEAD,0.307,0.03397680323741585,0.16251597959527225
HEAD,0.3075,0.03411167004905529,0.16281306926204733
HEAD,0.308,0.03424680669710622,0.16311022338953246
HEAD,0.3085,0.034382212956946406,0.16340744150805234
HEAD,0.309,0.03451788860246293,0.16370472314667858
HEAD,0.3095,0.03465383340605475,0.16400206783323398
HEAD,0.31,0.03479004713863527,0.16429947509429657
HEAD,0.3105,0.03492652956963497,0.1645969444552035
HEAD,0.311,0.0350632804670039,0.16489447544005517
HEAD,0.3115,0.03520029959721435,0.165192067571719
HEAD,0.312,0.03533758672526341,0.16548972037183418
HEAD,0.3125,0.03547514161467552,0.16578743336081506
HEAD,0.313,0.03561296402750508,0.16608520605785523
HEAD,0.3135,0.035751053724339,0.1663830379809319
HEAD,0.314,0.03588941046429937,0.16668092864680983
HEAD,0.3145,0.03602803400504593,0.1669788775710452
HEAD,0.315,0.03616692410277873,0.1672768842679899
HEAD,0.3155,0.036306080512240664,0.1675749482507952
HEAD,0.316,0.03644550298672009,0.16787306903141627
HEAD,0.3165,0.03658519127805342,0.1681712461206161
HEAD,0.317,0.03672514513662764,0.16846947902796922
HEAD,0.3175,0.036865364311382945,0.16876776726186576
HEAD,0.318,0.03700584854981532,0.16906611032951624
HEAD,0.3185,0.03714659759797911,0.16936450773695483
HEAD,0.319,0.037287611200489616,0.16966295898904352
HEAD,0.3195,0.037428889100525616,0.16996146358947625
HEAD,0.32,0.03757043103983206,0.1702600210407833
HEAD,0.3205,0.03771223675872258,0.17055863084433487
HEAD,0.321,0.037854305996082034,0.17085729250034512
HEAD,0.3215,0.03799663848936918,0.17115600550787644
HEAD,0.322,0.038139233974619206,0.17145476936484358
HEAD,0.3225,0.03828209218644635,0.17175358356801748
HEAD,0.323,0.0384252128580464,0.17205244761302924
HEAD,0.3235,0.03856859572119936,0.17235136099437437
HEAD,0.324,0.03871224050627202,0.17265032320541676
HEAD,0.3245,0.038856146942220504,0.17294933373839294
HEAD,0.325,0.03900031475659287,0.1732483920844156
HEAD,0.3255,0.03914474367553171,0.17354749773347786
HEAD,0.326,0.039289433423776686,0.17384665017445788
HEAD,0.3265,0.039434383724667184,0.17414584889512205
HEAD,0.327,0.03957959430014483,0.1744450933821295
HEAD,0.3275,0.039725064870756076,0.174744383121036
HEAD,0.328,0.03987079515565486,0.17504371759629808
HEAD,0.3285,0.040016784872605106,0.17534309629127726
HEAD,0.329,0.04016303373798332,0.17564251868824352
HEAD,0.3295,0.04030954146678121,0.17594198426837993
HEAD,0.33,0.04045630777260821,0.17624149251178647
HEAD,0.3305,0.04060333236769416,0.1765410428974841
HEAD,0.331,0.04075061496289176,0.17684063490341864
HEAD,0.3315,0.04089815526767924,0.17714026800646496
HEAD,0.332,0.04104595299016295,0.1774399416824312
HEAD,0.3325,0.04119400783707988,0.17773965540606262
HEAD,0.333,0.0413423195138003,0.17803940865104545
HEAD,0.3335,0.04149088772433028,0.17833920089001123
HEAD,0.334,0.041639712171314354,0.17863903159454084
HEAD,0.3345,0.04178879255603806,0.17893890023516854
HEAD,0.335,0.04193812857843049,0.17923880628138578
HEAD,0.3355,0.04208771993706691,0.1795387492016454
HEAD,0.336,0.04223756632917136,0.1798387284633657
HEAD,0.3365,0.04238766745061924,0.18013874353293483
HEAD,0.337,0.04253802299593977,0.18043879387571388
HEAD,0.3375,0.04268863265831876,0.18073887895604185
HEAD,0.338,0.04283949612960107,0.18103899823723932
HEAD,0.3385,0.04299061310029323,0.18133915118161265
HEAD,0.339,0.04314198325956603,0.18163933725045775
HEAD,0.3395,0.04329360629525702,0.18193955590406413
