time_s,CF_vs_telemetry_plus_hydro_error_N,CF_x_N,Fmag_plus_hydro_x_N,CF_y_N,Fmag_plus_hydro_y_N,CF_z_N,Fmag_plus_hydro_z_N
0.0009500000160187483,1.9447329895899637e-09,-2.844846903826692e-06,-2.8436197062423068e-06,-3.1114989269553917e-06,-3.1101563138315036e-06,1.594255309100845e-06,1.5935672956640272e-06
0.0010000000474974513,1.851773524595713e-09,-2.457167965985718e-06,-2.4559994698561834e-06,-2.68744770437479e-06,-2.686169201421013e-06,1.3769603128821473e-06,1.376305246336796e-06
0.0010500999633222818,5.740662915274831e-10,-5.6788107940519694e-06,-5.679172981354745e-06,-7.40569475965458e-06,-7.406091138595333e-06,6.3281850088969804e-06,6.328388125120123e-06
0.0011000999948009849,8.880552700943303e-10,-5.715267434425186e-06,-5.714707101787009e-06,-7.47053672967013e-06,-7.469923654245945e-06,6.353898243105505e-06,6.353583905672805e-06
0.0011500000255182385,1.0150177861765991e-09,-5.725372830056585e-06,-5.7247322966235525e-06,-7.483677563868696e-06,-7.4829768568260325e-06,6.34360003459733e-06,6.343240886065683e-06
0.001200100057758391,1.0188593919220754e-09,-5.708654498448595e-06,-5.708011589520102e-06,-7.445365554303862e-06,-7.444662074934885e-06,6.296585524978582e-06,6.2962251649536144e-06
0.0012499999720603228,1.146547957314446e-09,-5.664326636178885e-06,-5.6636030296209515e-06,-7.356004516623216e-06,-7.355212933866848e-06,6.212391781446058e-06,6.211986364984183e-06
0.0013001000043004751,1.090863594557729e-08,-3.7109432469151216e-06,-3.7178272349850905e-06,-2.9509508294722764e-06,-2.958481867887837e-06,1.388558871440182e-06,1.3924179525262714e-06
0.0013501000357791781,1.2879548028407681e-09,-4.04193633585237e-06,-4.041123571742971e-06,-3.289288770247367e-06,-3.2883995853636793e-06,1.5764323961775517e-06,1.5759767731763162e-06
0.00139999995008111,1.3508816962975447e-09,-4.3368727347115055e-06,-4.336020158976353e-06,-3.5803348055196693e-06,-3.5794022739514874e-06,1.7425866190023953e-06,1.7421087269146127e-06
0.0014500999823212624,1.3498651996176473e-09,-4.596703092829557e-06,-4.595851272731307e-06,-3.826379270321922e-06,-3.825447357785914e-06,1.8886615862356848e-06,1.8881840115267794e-06
0.001500000013038516,1.4732735831857143e-09,-4.818802608497208e-06,-4.8178730533820504e-06,-4.026091573905433e-06,-4.02507429778899e-06,2.01407101485529e-06,2.0135498511173792e-06
