time_s,speed_mm_s,Fwall_norm_N,residual_norm_Ns,Vcom_x,Vcom_y,Vcom_z,P_x,P_y,P_z,Jmag_x,Jmag_y,Jmag_z,Jhydro_x,Jhydro_y,Jhydro_z,Jwall_x,Jwall_y,Jwall_z
0.0002602,0.012046095705166288,0.0,1.5296203614956215e-18,-0.007602015981560101,-0.008316136898836262,0.004261413126410591,-7.601995139815116e-11,-8.316114099251926e-11,4.261401443287868e-11,-7.60233029095501e-11,-8.316816253237494e-11,4.261811208294138e-11,3.3507220301354677e-15,7.021353021435067e-15,-4.096353248023492e-15,0.0,0.0,0.0
0.0002603,0.012059271942492115,0.0,6.528689783583163e-19,-0.00761033129517388,-0.008325233126424936,0.00426607439589976,-7.610310430631568e-11,-8.325210301902313e-11,4.266062699997665e-11,-7.610645960941149e-11,-8.325913450629662e-11,4.266472912560469e-11,3.355732790750468e-15,7.031837273135067e-15,-4.102470737313492e-15,0.0,0.0,0.0
0.0002604,0.012072457195259147,0.0,4.451406856575331e-18,-0.007618652196723112,-0.008334335873271632,0.004270738459356655,-7.618631309368153e-11,-8.334313023792848e-11,4.270726750667528e-11,-7.618967310764084e-11,-8.335016861663856e-11,4.271137800902102e-11,3.360749057225468e-15,7.042332998335068e-15,-4.108594923798492e-15,0.0,0.0,0.0
0.0002605,0.012085651149983586,0.0,1.8068300023337413e-18,-0.007626978686207795,-0.00834344420805378,0.00427540624810385,-7.626957776024869e-11,-8.343421333603516e-11,4.2753945266174776e-11,-7.627294341746342e-11,-8.344126487786895e-11,4.275805874060437e-11,3.365770833385468e-15,7.052840204835068e-15,-4.114725812068492e-15,0.0,0.0,0.0
0.0002606,0.012098854120149227,0.0,2.2744766848084708e-18,-0.007635310763627931,-0.008352559062093949,0.004280076830818772,-7.635289830601718e-11,-8.352536162654331e-11,4.280065096527495e-11,-7.63562705520971e-11,-8.353242330444791e-11,4.2804771327764564e-11,3.3707981230554683e-15,7.063358900485068e-15,-4.1208634067134925e-15,0.0,0.0,0.0
0.0002607,0.012112065921408706,0.0,4.310043723533733e-18,-0.0076436488946448064,-0.008361679504069568,0.0042847506731627065,-7.64362793875871e-11,-8.361656579625277e-11,4.2847389260575875e-11,-7.643965452475232e-11,-8.362364391082745e-11,4.2851515777907294e-11,3.3758309300604683e-15,7.073889093185068e-15,-4.1270077123184926e-15,0.0,0.0,0.0
0.0002608,0.012125287545788564,0.0,3.1245828147652375e-18,-0.007651992613597134,-0.008370807396625785,0.0042894277751356555,-7.651971634835834e-11,-8.370784447156394e-11,4.289416015207758e-11,-7.652309534863214e-11,-8.371492671145147e-11,4.289829209843409e-11,3.3808692582254682e-15,7.0844307907850685e-15,-4.133158733473492e-15,0.0,0.0,0.0
0.0002609,0.012138517542662246,0.0,3.673085203337874e-18,-0.007660341920484913,-0.008379940877117454,0.004294107671076329,-7.66032091883309e-11,-8.379917902607644e-11,4.2940958983179935e-11,-7.66065930369322e-11,-8.380627172075578e-11,4.294510029674234e-11,3.3859131113804684e-15,7.094984001085069e-15,-4.139316474773492e-15,0.0,0.0,0.0
0.000261,0.012151756241493346,0.0,4.146573959209348e-18,-0.007668696815308146,-0.008389079945544569,0.004298791292307305,-7.668675790750479e-11,-8.389056945979018e-11,4.298779506708317e-11,-7.669014760284074e-11,-8.389767895316807e-11,4.299194038022527e-11,3.3909624933554685e-15,7.10554873198507e-15,-4.145480940808492e-15,0.0,0.0,0.0
0.0002611,0.01216500459871301,0.0,2.7028243100372423e-18,-0.007677057298066829,-0.008398226464552284,0.004303477707506006,-7.677036250588e-11,-8.398203439910568e-11,4.303465909058707e-11,-7.677375905953856e-11,-8.398914842310794e-11,4.3038812356271957e-11,3.3960174079754685e-15,7.11612499133507e-15,-4.151652136173492e-15,0.0,0.0,0.0
0.0002612,0.012178261951758322,0.0,2.954963443708073e-18,-0.007685423834422253,-0.008407378571495448,0.0043081678479950074,-7.685402764005663e-11,-8.407355521762246e-11,4.3081560366891835e-11,-7.68574274201991e-11,-8.408068014498685e-11,4.308571623226731e-11,3.4010778590704687e-15,7.12671278698507e-15,-4.157830065463492e-15,0.0,0.0,0.0
0.0002613,0.012191528320244834,0.0,5.131790545470103e-18,-0.007693795958713129,-0.008416537197696637,0.004312860782451735,-7.693774865343458e-11,-8.416514122854075e-11,4.3128489582797265e-11,-7.694115269798835e-11,-8.417227413320818e-11,4.3132652015592106e-11,3.406143850475469e-15,7.13731212683507e-15,-4.1640147332684924e-15,0.0,0.0,0.0
0.0002614,0.012204803225956969,0.0,2.7227955007247646e-18,-0.007702173670939456,-0.008425701411833275,0.004317556976537476,-7.702152554601387e-11,-8.425678311866034e-11,4.3175451394903454e-11,-7.70249349060649e-11,-8.426393040216721e-11,4.317961971362294e-11,3.411215386025469e-15,7.147923018685071e-15,-4.170206144188493e-15,0.0,0.0,0.0
