time_s,gap_um,contact_node,wall_element,triangle_index,speed_mm_s,CPRESS_MPa,CPRESS_node,Vcom_x,Vcom_y,Vcom_z,Fmag_x,Fmag_y,Fmag_z,Fhydro_x,Fhydro_y,Fhydro_z,Fwall_x,Fwall_y,Fwall_z,Jwall_cumulative_x,Jwall_cumulative_y,Jwall_cumulative_z,mDeltaV_x,mDeltaV_y,mDeltaV_z,residual_x,residual_y,residual_z,force_unit,velocity_unit,impulse_unit,gap_source
0.0010264,17.283506307320888,130,441,880,640.0135792136654,,,180.42248535137318,412.45800781234897,-454.9104309080948,-2.462793986270037e-06,-2.6942535077377147e-06,1.380624441810005e-06,-3.18954134e-06,-4.66248444e-06,4.9228434e-06,0.0,0.0,0.0,1.8063541959970848e-06,4.126928773685272e-06,-4.550356816622573e-06,1.8042199070371152e-06,4.124568770143295e-06,-4.549091837221885e-06,-4.069933045162716e-14,-2.7698432231908297e-14,1.540173967095465e-13,N,mm/s,N s,"all 217 exterior nodes vs true wall triangles, increment orientation"
0.0010264999999999,17.36404842011461,130,441,880,640.0134835921724,0.0,-1.0,180.42243957500597,412.4579467771927,-454.91036987293853,-2.462968647725627e-06,-2.6944445843125386e-06,1.3807223557548883e-06,-3.18949087e-06,-4.66252471e-06,4.9228667e-06,0.0,0.0,0.0,1.8063541959970848e-06,4.126928773685272e-06,-4.550356816622573e-06,1.804219449274698e-06,4.124568159793406e-06,-4.549091226871995e-06,6.67779944957535e-14,9.763704059660705e-14,1.3401444091552719e-13,N,mm/s,N s,"all 217 exterior nodes vs true wall triangles, increment orientation"
0.0010266,17.44457390967355,130,441,880,640.0133640020523,,,180.4223785398497,412.45785522445834,-454.9103088377823,-2.4631431445896027e-06,-2.694635480827014e-06,1.3808201774309054e-06,-3.18944046e-06,-4.66256495e-06,4.92288995e-06,0.0,0.0,0.0,1.8063541959970848e-06,4.126928773685272e-06,-4.550356816622573e-06,1.8042188389248087e-06,4.124567244268573e-06,-4.549090616522106e-06,2.168026123584236e-14,-8.217930679623462e-14,1.1399937085629624e-13,N,mm/s,N s,"all 217 exterior nodes vs true wall triangles, increment orientation"
0.0010267,17.525094472248036,130,441,880,640.0132640790467,,,180.42231750469338,412.45779418930204,-454.91024780262603,-2.463317476862512e-06,-2.6948261972817457e-06,1.3809179068383654e-06,-3.1893901e-06,-4.66260515e-06,4.92291314e-06,0.0,0.0,0.0,1.8063541959970848e-06,4.126928773685272e-06,-4.550356816622573e-06,1.8042182285749188e-06,4.1245666339186825e-06,-4.549090006172217e-06,-2.3405069555896846e-14,4.3202392008344186e-14,9.397220093141376e-14,N,mm/s,N s,"all 217 exterior nodes vs true wall triangles, increment orientation"
0.0010268,17.605586166531282,130,441,880,640.0131444889307,,,180.4222564695371,412.45770263656766,-454.9101867674698,-2.46349164454421e-06,-2.695016733676576e-06,1.3810155439771871e-06,-3.18933981e-06,-4.66264533e-06,4.92293629e-06,0.0,0.0,0.0,1.8063541959970848e-06,4.126928773685272e-06,-4.550356816622573e-06,1.8042176182250295e-06,4.124565718393849e-06,-4.549089395822328e-06,-6.847800719682654e-14,-1.3656777091304844e-13,7.393294554043986e-14,N,mm/s,N s,"all 217 exterior nodes vs true wall triangles, increment orientation"
0.0010268999999999,17.686062606596458,130,441,880,640.0130488674416,,,180.4222106931699,412.4576416014114,-454.91012573231353,-2.4636656476349044e-06,-2.6952070900117277e-06,1.3811130888474864e-06,-3.18928957e-06,-4.66268548e-06,4.92295938e-06,0.0,0.0,0.0,1.8063541959970848e-06,4.126928773685272e-06,-4.550356816622573e-06,1.8042171604626124e-06,4.12456510804396e-06,-4.549088785472439e-06,3.904890898851702e-14,-1.1139928294602065e-14,5.3881619929967584e-14,N,mm/s,N s,"all 217 exterior nodes vs true wall triangles, increment orientation"
0.001027,17.76652203030247,130,441,880,640.0129489444407,0.0,-1.0,180.4221496580136,412.4575805662551,-454.9100646971573,-2.463839486134096e-06,-2.695397266286657e-06,1.3812105414489823e-06,-3.18923939e-06,-4.66272559e-06,4.92298242e-06,0.0,0.0,0.0,1.8063541959970848e-06,4.126928773685272e-06,-4.550356816622573e-06,1.8042165501127229e-06,4.12456449769407e-06,-4.54908817512255e-06,-5.999275596836823e-15,1.1431095362000963e-13,3.381823765252409e-14,N,mm/s,N s,"all 217 exterior nodes vs true wall triangles, increment orientation"
0.0010271,17.846975575284148,130,441,880,640.0128293543299,,,180.4220886228573,412.4574890135207,-454.91000366200103,-2.46401316004234e-06,-2.69558726250197e-06,1.3813079017819876e-06,-3.18918927e-06,-4.66276568e-06,4.92300542e-06,0.0,0.0,0.0,1.8063541959970848e-06,4.126928773685272e-06,-4.550356816622573e-06,1.8042159397628331e-06,4.124563582169236e-06,-4.5490875647726605e-06,-5.103510027742433e-14,-6.53900905658541e-14,1.3742813107669484e-14,N,mm/s,N s,"all 217 exterior nodes vs true wall triangles, increment orientation"
0.0010272,17.92740229853805,130,441,880,640.0127337328435,,,180.4220428464901,412.4574279783645,-454.9099426268448,-2.464186669359481e-06,-2.695777078657499e-06,1.3814051698464142e-06,-3.18913921e-06,-4.66280573e-06,4.92302836e-06,0.0,0.0,0.0,1.8063541959970848e-06,4.126928773685272e-06,-4.550356816622573e-06,1.804215482000416e-06,4.1245629718193476e-06,-4.549086954422771e-06,5.6528898163317074e-14,6.010680810768308e-14,-6.344640152069082e-15,N,mm/s,N s,"all 217 exterior nodes vs true wall triangles, increment orientation"
0.0010272999999999,18.00782284101569,130,441,880,640.012614142736,,,180.4219818113338,412.45733642563005,-454.90988159168853,-2.4643600140857236e-06,-2.6959667147534653e-06,1.3815023456423775e-06,-3.18908921e-06,-4.66284576e-06,4.92305124e-06,0.0,0.0,0.0,1.8063541959970848e-06,4.126928773685272e-06,-4.550356816622573e-06,1.8042148716505267e-06,4.124562056294513e-06,-4.549086344072882e-06,1.1517764069625554e-14,-1.1954826251793548e-13,-2.6444106880098555e-14,N,mm/s,N s,"all 217 exterior nodes vs true wall triangles, increment orientation"
