time_s,deltaV_norm_mm_s,missing_impulse_norm_Ns,Vcom_x_mm_s,deltaV_x_mm_s,Vcom_y_mm_s,deltaV_y_mm_s,Vcom_z_mm_s,deltaV_z_mm_s
0.001271100016310811,2.4370499109479384,2.436950578671354e-08,180.3939819332928,0.11088562011775593,410.72360229473037,-1.5526123046875,-452.8809814452334,1.87518310546875
0.0012712000170722604,10.467917089680595,1.046779566704861e-07,180.83584594696725,0.4418640136744614,404.0616149900428,-6.661987304687557,-444.81872558585826,8.062255859375114
0.0012713000178337097,20.911614281971286,2.091146479647514e-07,181.69949340791,0.863647460942758,390.762603759574,-13.299011230468807,-428.70394897452985,16.11477661132841
0.001271400018595159,30.204183933363492,3.0204010496243825e-07,182.95326232881604,1.253768920906026,371.5705566404332,-19.192047119140796,-405.4147644042169,23.289184570312955
0.0012715000193566084,38.554618266773666,3.8554424422883515e-07,184.5681152340992,1.6148529052831577,347.10675048808923,-24.463806152343977,-375.6595458983569,29.75521850586
0.0012716000201180577,45.72326255261649,4.572305241135425e-07,186.51345825168883,1.9453430175896358,318.1553344724638,-28.951416015625455,-340.3233337401529,35.33621215820398
0.001271700020879507,51.50704548282934,5.150682362442103e-07,188.76686096166276,2.253402709973926,285.6432189939474,-32.512115478516364,-300.4377441405425,39.8855895996104
0.0012718000216409564,55.74588702884938,5.574565837457306e-07,191.3279876706612,2.5611267089984437,250.61486816386815,-35.02835083007926,-257.1473388671037,43.29040527343881
0.0012719000224024057,58.32754235008626,5.832731202983733e-07,194.24508666969928,2.9170989990380747,214.19085693339775,-36.4240112304704,-211.68434143057866,45.46299743652506
0.001272000023163855,59.190951830641005,5.919072504385882e-07,197.65711975076874,3.412033081069467,177.475845336716,-36.71501159668176,-165.3816986083112,46.302642822267444
0.0012721000239253044,58.330060202578295,5.83298419974102e-07,201.75198364238466,4.0948638916159155,141.42800903300298,-36.04783630371301,-119.7069625853602,45.67473602295101
0.0012722000246867537,55.79733198445063,5.579712681054639e-07,206.37747192364816,4.6254882812635,106.89195251444673,-34.53605651855625,-76.12705993643291,43.57990264892729
0.001272300025448203,51.68499156621298,5.168480324687423e-07,211.05821228010586,4.680740356457704,74.74711608866458,-32.144836425782145,-35.92583465567009,40.20122528076283
0.0012724000262096524,46.12431275730036,4.612414473399822e-07,215.40750122054658,4.349288940440715,45.92013168314661,-28.826984405517976,-0.1831307410269731,35.742703914643116
0.0012725000269711018,39.285130370292585,3.9284985628139364e-07,219.19081115707934,3.78330993653276,21.284893035685567,-24.63523864746104,30.183183670136906,30.366314411163877
0.001272600027732551,31.37016579268356,3.137004670093648e-07,222.25950622544616,3.0686950683668215,1.5754996536131383,-19.709393382072427,54.39496231088436,24.211778640747454
0.0012727000284940004,22.61053675320883,2.2610444950737275e-07,224.50091552720932,2.241409301763156,-12.642387390339756,-14.217887043952894,71.8323974610311,17.437435150146747
0.0012728000292554498,13.260235228380001,1.3260171610143496e-07,225.84252929674372,1.3416137695344048,-20.977884292805555,-8.335496902465799,82.0575332642539,10.225135803222798
0.0012729000300168991,3.588735759343534,3.588700791656929e-08,226.24514770494767,0.40261840820394923,-23.21876335164348,-2.240879058837926,84.83158874521098,2.774055480957074
0.0012730000307783484,0.6474808471932836,6.475059469820955e-09,226.2087707518225,-0.03637695312517053,-22.800300598347633,0.4184627532958487,84.3388442994102,-0.49274444580078125
