time_s,Ktrans_J,Krot_J,Ktotal_J,Wmag_trans_J,Wmag_rot_J,Whydro_trans_J,Whydro_rot_J,Wcontact_net_J,Fwall_norm_N,omega_norm_rad_s,Vcom_norm_mm_s
0.0010037,1.7740489915834019e-09,2.3783416583734753e-06,2.3801157073650587e-06,2.5044587602379136e-14,2.237572309861983e-07,-7.025481058807382e-17,-5.365342009893737e-11,-1.6812456424215982e-07,2.057820526234269,859.9979569324533,18.836421397616796
0.0010038,9.855558720109157e-09,2.1618680452873344e-06,2.1717236040074437e-06,1.4402075466665883e-14,2.2466515255670812e-07,-5.985233262002619e-16,-5.387243505997931e-11,-3.7742435898454243e-07,3.054419277452579,821.5013796071125,44.39726509653084
0.0010039,3.150200041985025e-08,1.8836489255608542e-06,1.9151509259807046e-06,-6.450872135060088e-15,2.255217576168825e-07,-3.1210918966703673e-15,-5.4071868716323644e-11,-6.348534192622839e-07,3.9411744931818316,770.1011298014705,79.375168391899
0.001004,7.506223049977085e-08,1.569448385055039e-06,1.6445106155548097e-06,-4.0474060978146e-14,2.2631210205777646e-07,-1.0789305515685957e-14,-5.424608957324599e-11,-9.062838582168131e-07,4.688876983681998,709.2439154874589,122.52545555232071
0.0010041,1.4849806907420307e-07,1.2467832253006864e-06,1.3952812943748895e-06,-9.016017097114962e-14,2.270235874223855e-07,-2.864160895630311e-14,-5.4391991570929906e-11,-1.1562244513209312e-06,5.273218281330519,643.5252909916528,172.3359951947113
0.0010042,2.578260643583655e-07,9.417349826053317e-07,1.1995610469636972e-06,-1.57454598001037e-13,2.2764636952538543e-07,-6.351968571944892e-14,-5.450904837981458e-11,-1.3525672616058108e-06,5.675577135547265,578.8162982993922,227.08006130799222
0.0010042999999999999,4.057708140722494e-07,6.760667130453933e-07,1.0818375271176427e-06,-2.4369426077400377e-13,2.2817367142425348e-07,-1.2362453201126238e-13,-5.459916714094526e-11,-1.470817846887463e-06,5.883608904517104,522.2165931233636,284.87608763799653
0.0010044,5.908266119061049e-07,4.6500536606419555e-07,1.0558319779703004e-06,-3.495669910944378e-13,2.2860199066660396e-07,-2.1776617075462526e-13,-5.4666267857523795e-11,-1.4972514481620701e-06,5.891618026351697,481.30592793873313,343.7523037669102
0.0010045,8.068689356797259e-07,3.159504440046064e-07,1.1228193796843323e-06,-4.750931512736391e-13,2.2893119195917228e-07,-3.5440006136687815e-13,-5.471565258447578e-11,-1.4305929361958293e-06,5.700737854558286,461.98028207702174,401.7141142165203
0.0010046,1.0433806498359263e-06,2.2827594545240491e-07,1.271656595288331e-06,-6.196293179005469e-13,2.2916448634909784e-07,-5.405753196074213e-13,-5.475325456353196e-11,-1.281988646668352e-06,5.318740352049611,465.44283311324415,456.8114513416043
0.0010046999999999999,1.2862754777476077e-06,1.9416551732826647e-07,1.4804409950758742e-06,-7.818913660475914e-13,2.2930830727354572e-07,-7.809336598959271e-13,-5.478487110187832e-11,-1.0733476335683297e-06,4.759841721020601,487.1904625410011,507.20390460246546
0.0010048,1.5192192883926873e-06,2.003044656034329e-07,1.7195237539961202e-06,-9.599901214983315e-13,2.2937211672630952e-07,-1.0768905848498303e-12,-5.4815482229538006e-11,-8.343281794340398e-07,4.044067316102727,519.4732948129177,551.2210905811374
0.0010049,1.7252672282641218e-06,2.3002015777928787e-07,1.9552873860434095e-06,-1.151472312356627e-12,2.2936826837925346e-07,-1.426098645520118e-12,-5.484872488461097e-11,-5.985601251067877e-07,3.1969827817505974,553.8705939527052,587.4133056516304
0.001005,1.8887741598281358e-06,2.6624771740012875e-07,2.1550218772282645e-06,-1.3534330022488007e-12,2.2931161898601038e-07,-1.8222978150768037e-12,-5.488654601584202e-11,-3.98768348547699e-07,2.2500831683389584,582.4934518545497,614.618473220578
0.0010050999999999999,1.9972019444236304e-06,2.953500180125499e-07,2.2925519624361804e-06,-1.5627105721583984e-12,2.2921844994313156e-07,-2.2556726151875507e-12,-5.4929147352152956e-11,-2.611444090431978e-07,1.2349808046574786,600.9995416329454,632.0138321243804
0.0010052,2.0422840278917445e-06,3.0847562496818976e-07,2.3507596528599343e-06,-1.7760051788702301e-12,2.2910551444912773e-07,-2.7136405105558118e-12,-5.4975337594956057e-11,-2.0282306567269547e-07,0.18657628908199408,608.5025960703307,639.1071314026404
0.0010053,2.0482269760780293e-06,3.10118977648943e-07,2.358345953726972e-06,-1.990627399089374e-12,2.2898626439352895e-07,-3.1834063656700445e-12,-5.5023341013325586e-11,-1.9511678235856487e-07,0.0,609.4404195753266,640.0363413944744
0.0010054,2.0482262106576526e-06,3.09999153017986e-07,2.3582253636756387e-06,-2.2054183896697214e-12,2.2886645655090675e-07,-3.656446631237286e-12,-5.5071847405180086e-11,-1.951168282296282e-07,0.0,609.4161835004838,640.0362218039922
0.0010054999999999999,2.0482255986459635e-06,3.0987944221097537e-07,2.358105040856939e-06,-2.420227898300533e-12,2.2874683203185953e-07,-4.129828245849349e-12,-5.5120395648120684e-11,-1.951167897899144e-07,0.0,609.3919829007384,640.0361261823084
0.0010056,2.048224959102367e-06,3.0975995746137656e-07,2.3579849165637437e-06,-2.6350559144232268e-12,2.2862739084589185e-07,-4.603212132685004e-12,-5.5168933185558945e-11,-1.95116736147702e-07,0.0,609.3678298384763,640.0360262589801
0.0010057,2.0482241936823995e-06,3.096406899425455e-07,2.357864883624945e-06,-2.8499024175412102e-12,2.2850813298322936e-07,-5.076598279564181e-12,-5.521746003637082e-11,-1.9511677446433723e-07,0.0,609.3437385396966,640.035906668503
0.0010058,2.0482235541390458e-06,3.095215364060018e-07,2.3577450905450477e-06,-3.0647673930510837e-12,2.2838905844980384e-07,-5.5499866838296926e-12,-5.526597621724328e-11,-1.9511675624124838e-07,0.0,609.3196857797434,640.0358067451783
0.0010059,2.0482228162513417e-06,3.0940260925145115e-07,2.3576254255027927e-06,-3.279650828197294e-12,2.2827016725510842e-07,-6.0233773454929055e-12,-5.531448174464994e-11,-1.9511679330918341e-07,0.0,609.2956775321751,640.0356914563482
0.001006,2.048222176708221e-06,3.092838626000205e-07,2.3575060393082415e-06,-3.4945527083775716e-12,2.2815145939348914e-07,-6.496770261829649e-12,-5.536297663609193e-11,-1.9511673485242767e-07,0.0,609.27170929918,640.0355915330264
0.0010061,2.048221537165211e-06,3.091652750874298e-07,2.357386812252641e-06,-3.709473021184814e-12,2.2803293487078715e-07,-6.970165434749985e-12,-5.541146090796866e-11,-1.9511670058556876e-07,0.0,609.2477826105506,640.0354916097062
0.0010061999999999998,2.048220799277891e-06,3.0904686843341146e-07,2.3572676677113027e-06,-3.9244117498184945e-12,2.279145936964837e-07,-7.44356285716434e-12,-5.5459934576778936e-11,-1.951167671427839e-07,0.0,609.2238974763874,640.0353763208794
0.0010063,2.048220159735115e-06,3.08928670570338e-07,2.357148830305453e-06,-4.139368879676407e-12,2.2779643586871577e-07,-7.916962526348546e-12,-5.5508397660569295e-11,-1.9511670990098216e-07,0.0,609.200094423503,640.0352763975621
0.0010064,2.04821952019245e-06,3.0881064054217644e-07,2.3570301607346264e-06,-4.354344398352077e-12,2.2767846138553728e-07,-8.390364444213023e-12,-5.5556850177096724e-11,-1.9511666815867717e-07,0.0,609.1763141535245,640.0351764742467
