time_s,cycle_fraction,rp_x_mm,rp_y_mm,rp_z_mm,Bx_T,By_T,Bz_T,B_t_T,B_e1_T,B_e2_T,theta_B_t_deg,psi_B_rad,command_phase_rad,psi_B_unwrapped_rad,local_field_phase_rate_Hz
0.0037599811330437,0.1127994339913129,-6.744572684222507,-3.5544287275177124,-9.527639366013917,-0.0008754233475631,-0.0023651606125536,0.0096767581988679,0.0014483437821957012,0.009546214086765602,0.002602325286777895,81.67231148127378,0.2661362483498532,5.037156291258316,0.2661362483498532,-15.15832967957684
0.0037699812091886,0.1130994362756609,-6.740688011103916,-3.5576273437243584,-9.52737890861741,-0.0008750608799822,-0.0023560185817734,0.0096790208646668,0.0014484670824734289,0.00954867091251874,0.0025932271237594016,81.67159749372975,0.26518380233302763,5.039041261203446,0.26518380233302763,-15.158712189933446
0.0037799810525029,0.1133994315750897,-6.736788377219486,-3.5608126308423165,-9.52717732570878,-0.0008747129584651,-0.0023468737874059,0.009681273710947,0.0014485738718071556,0.009551121399628191,0.002584127269984052,81.67097911406913,0.26423135606733256,5.04092618726104,0.26423135606733256,-15.159043484715124
0.0037899811286479,0.1136994338594377,-6.732874020987796,-3.5639846633773926,-9.527034144176158,-0.0008743795680469,-0.0023377258360996,0.0096835168346115,0.0014486641547897473,0.009553565653498334,0.0025750253340334436,81.67045631614913,0.26327886841796566,5.042811157206189,0.26327886841796566,-15.159323576042993
0.0037999809719622,0.1139994291588664,-6.728944763594913,-3.567143418977845,-9.526949384508642,-0.0008740607254357,-0.0023285751863377,0.0096857501232386,0.0014487379268974495,0.009556003551626857,0.002565921772084477,81.6700291265488,0.2623263869559176,5.0446960832637835,0.2623263869559176,-15.159552447657802
0.0038099810481071,0.1142994314432144,-6.7250006646454805,-3.5702889050942543,-9.526922953573974,-0.0008737564169183,-0.0023194214445167,0.0096879736728895,0.001448795191301919,0.009558435198876307,0.0025568161925591786,81.66969752721461,0.26137387054515104,5.0465810532089135,0.26137387054515104,-15.159730107219174
0.0038199808914214,0.1145994267426431,-6.721041843348789,-3.5734211217266205,-9.526954732162864,-0.0008734666577443,-0.0023102650694104,0.0096901873721238,0.001448835945135268,0.009560860473376245,0.0025477090518173685,81.66946153499731,0.2604213667583537,5.048465979266509,0.2604213667583537,-15.15985654470313
0.0038299809675663,0.1148994290269911,-6.717068180495548,-3.576540076325524,-9.52704458802751,-0.0008731914354526,-0.0023011056671686,0.0096923913161595,0.0014488601901476701,0.00956327947944591,0.00253859995812679,81.6693211399341,0.2594688344586784,5.050350949211638,0.2594688344586784,-15.15993176457841
0.0038399808108806,0.1151994243264198,-6.713079735690402,-3.579645798693288,-9.527192372156296,-0.0008729307638341,-0.002291943696849,0.0096945853945397,0.001448867925127247,0.009565692095849086,0.002529489368023531,81.66927634914688,0.25851632121973084,5.052235875269234,0.25851632121973084,-15.159955762353693
0.0038499806541949,0.1154994196258485,-6.709076568537998,-3.5827382813793305,-9.527397915048512,-0.0008726846372405,-0.0022827789777788,0.0096967696508953,0.001448859150800005,0.009568098370407624,0.0025203771018112837,81.66932715846296,0.257563808082115,5.054120801326828,0.257563808082115,-15.159928539933897
0.0038599807303398,0.1157994219101965,-6.705058679038333,-3.585817569087136,-9.527661030439647,-0.0008724530513213,-0.0022736113290389,0.0096989441279812,0.001448833866418886,0.009570498350377913,0.0025112629796431567,81.66947357217238,0.25661127608633183,5.056005771271958,0.25661127608633183,-15.15985009569492
