time_s,command_phase_rad,Bx_T,By_T,Bz_T,B_t_T,B_e1_T,B_e2_T,theta_B_t_deg,psi_B_rad,psi_B_unwrapped_rad
0.0006944444444444444,4.459316238845512,0.00836248017423732,0.005464295619549979,-0.0004586923998222384,0.008660254037844385,-0.0012519000202722093,-0.004840738201890537,29.999999999999993,-1.823869068334075,-1.823869068334075
0.0007222222222222222,4.464552226601494,0.008358986189706015,0.0054716682432371004,-0.0004338162240565902,0.008660254037844385,-0.0012265369293940162,-0.004847226749475693,29.999999999999993,-1.8186330805780921,-1.8186330805780921
0.0007499999999999999,4.469788214357478,0.008355498121003915,0.005478909686582739,-0.0004089007167637049,0.008660254037844387,-0.0012011402123863193,-0.004853582407890952,30.000000000000004,-1.8133970928221086,-1.8133970928221086
0.0007777777777777777,4.4750242021134605,0.00835201606375818,0.00548601975105907,-0.00038394656101480934,0.008660254037844387,-0.0011757105655129526,-0.004859805002892731,30.000000000000004,-1.808161105066126,-1.808161105066126
0.0008055555555555555,4.480260189869444,0.008348540113431169,0.005492998241740083,-0.0003589544409406803,0.008660254037844387,-0.0011502486859405218,-0.004865894363885441,30.00000000000003,-1.8029251173101424,-1.8029251173101424
0.0008333333333333333,4.485496177625427,0.008345070365317819,0.005499844967306929,-0.0003339250417129228,0.008660254037844388,-0.0011247552717193266,-0.004871850323926175,29.999999999999993,-1.7976891295541597,-1.7976891295541597
0.000861111111111111,4.490732165381409,0.008341606914543023,0.005506559740053171,-0.00030885904952515614,0.008660254037844385,-0.0010992310217641905,-0.004877672719729282,30.000000000000018,-1.792453141798177,-1.792453141798177
0.0008888888888888888,4.495968153137393,0.008338149856059036,0.005513142375889921,-0.0002837571515742135,0.008660254037844387,-0.0010736766358353162,-0.00488336139167084,30.000000000000018,-1.7872171540421935,-1.7872171540421935
0.0009166666666666666,4.501204140893376,0.008334699284642862,0.005519592694350891,-0.000258620036041316,0.008660254037844385,-0.0010480928145191108,-0.00488891618379303,29.999999999999993,-1.7819811662862108,-1.7819811662862108
0.0009444444444444444,4.506440128649358,0.00833125529489366,0.005525910518597343,-0.0002334483920731799,0.008660254037844385,-0.0010224802592089552,-0.004894336943808423,30.000000000000004,-1.7767451785302282,-1.7767451785302282
0.0009722222222222222,4.511676116405342,0.00832781798123015,0.005532095675422937,-0.00020824290976313524,0.008660254037844385,-0.0009968396720859867,-0.004899623523104148,30.000000000000018,-1.7715091907742446,-1.7715091907742446
0.001,4.5169121041613245,0.00832438743788802,0.0055381479952584705,-0.00018300428013222098,0.008660254037844385,-0.0009711717560998622,-0.004904775776745958,30.000000000000018,-1.766273203018262,-1.766273203018262
