time_s,UR1_rad,UR2_rad,UR3_rad,UR_norm_deg,rigid_node_count,kabsch_rms_mm,R_server_vs_R_nodes_error_deg
0.0014000929659232497,0.16156286001205444,-0.4318532943725586,-0.08760247379541397,26.890833909553734,1588,1.4940141585190884e-07,1.2074182697257333e-06
0.0015000924468040466,0.20403040945529938,-0.4405099153518677,-0.08613045513629913,28.24954152066396,1588,1.5614500764301664e-07,1.7075472925031877e-06
0.0016000920441001654,0.24929387867450714,-0.437591016292572,-0.06581487506628036,29.100668738040618,1588,1.5993578717549327e-07,0.0
0.0017000915249809623,0.29494643211364746,-0.45214855670928955,-0.0512978732585907,31.070122262871642,1588,1.6986522500212702e-07,0.0
0.0018000910058617592,0.34878185391426086,-0.4571424722671509,-0.03973734378814697,33.02380210363263,1588,1.7892888784722042e-07,1.7075472925031877e-06
0.001900090486742556,0.40112635493278503,-0.48283758759498596,-0.032453835010528564,36.0138381981096,1588,1.940091629471918e-07,1.7075472925031877e-06
0.002000089967623353,0.45199429988861084,-0.5029706358909607,-0.0010156608186662197,38.74479989205916,1588,2.0720126885794604e-07,2.4148365394514667e-06
0.0021000895649194717,0.49764692783355713,-0.5151174664497375,0.051410477608442307,41.14305787112879,1588,2.1803034172161942e-07,1.7075472925031877e-06
0.002200088929384947,0.5437728762626648,-0.5341893434524536,0.10126795619726181,44.05827113800452,1588,2.3152015717564442e-07,0.0
0.0023000885266810656,0.5871604084968567,-0.5540093183517456,0.15038493275642395,47.048847145275516,1588,2.4422163201683424e-07,1.7075472925031877e-06
0.0024000878911465406,0.6286861896514893,-0.566667377948761,0.2049325555562973,49.89523586049601,1588,2.5587293135912574e-07,1.7075472925031877e-06
0.0025000874884426594,0.6680203676223755,-0.5839194655418396,0.2587145268917084,52.95278175106148,1588,2.6811172156415166e-07,0.0
0.002600087085738778,0.7050013542175293,-0.5997217893600464,0.31494826078414917,56.0177393693489,1588,2.7983297924331137e-07,1.2074182697257333e-06
0.002700086450204253,0.7418553829193115,-0.6165125966072083,0.373903751373291,59.2738949948885,1588,2.9219204910472545e-07,2.4148365394514667e-06
0.002800086047500372,0.7811144590377808,-0.6304771900177002,0.4299894869327545,62.56878154160727,1588,3.039659968535387e-07,2.4148365394514667e-06
0.002900085411965847,0.8272637128829956,-0.6296952366828918,0.4811990261077881,65.6389073540465,1588,3.1380207773330356e-07,0.0
0.0030000850092619658,0.8770855069160461,-0.6295015215873718,0.5268123149871826,68.82848217933208,1588,3.2440438037591965e-07,2.699869328381916e-06
0.0031000846065580845,0.9260544180870056,-0.6368058323860168,0.5717263221740723,72.24653470489217,1588,3.356963575364716e-07,1.2074182697257333e-06
