length_mm,B0_mT,gradient_mT,cone_deg,frequency_Hz,mu,zeta,cparallel_scale,kwobble_scale,case_id,family,duration_s,job_name,mesh_size_mm,node_count,element_count,exterior_triangles,mesh_volume_mm3,mesh_mass_mg,cad_volume_mm3,magnetic_moment_Am2,field_interval_s,direct_dt_s,status,wallclock_s,max_directed_tilt_deg,final_directed_tilt_deg,crossing_90deg,polarity_reversal,robot_phase_advance_deg,phase_rate_sign,delta_s_mm,mean_abs_Vt_mm_s,contact_count,longest_contact_us,head_support_fraction,tail_support_fraction,both_end_support_fraction,wall_sector_span_deg,wall_sector_transitions,tilt_local_extrema_count,KErot_RMS_J,KEtrans_RMS_J,KErot_KEtrans_ratio,rotation_translation_index,impact_fraction,sliding_fraction,stuck_fraction
2.3,10.0,6.0,30.0,30.0,0.03,0.3,1.0,1.0,ZETA_030,collision_damping,0.006666666666666667,SCR_ZETA030_Wobble,0.1,1478,6711,1350,1.1274538771030305,8.804362350697673,1.1402680223988795,0.0010400401426980412,0.0001,1e-07,VALID,318.2703346,41.7667237438517,41.08444562057387,False,False,-58.88993727256479,-1,1.9528468783833368,292.2297545453503,72,332.9025348648429,0.5164179104477612,0.7044776119402985,0.4925373134328358,480.01829113559415,23,14,4.1762470236840455e-07,7.93826017128256e-07,0.5260909737869303,30.155942037461116,0.01382972340553189,0.14192716145677087,0.0
2.3,10.0,6.0,30.0,30.0,0.03,0.7,1.0,1.0,ZETA_070,collision_damping,0.006666666666666667,SCR_ZETA070_Wobble,0.1,1478,6711,1350,1.1274538771030305,8.804362350697673,1.1402680223988795,0.0010400401426980412,0.0001,1e-07,VALID,330.8870077,41.48788279317658,40.89147234621063,False,False,-62.137578381042744,-1,1.8692930808598458,280.7149498099263,53,1128.4085921943188,0.755223880597015,0.817910447761194,0.7522388059701492,717.1401413489614,21,8,3.764770094193478e-07,6.940216853046532e-07,0.5424571269038755,33.24121777226096,0.02995440091198176,0.5520189596208076,0.0
2.3,10.0,6.0,30.0,30.0,0.03,0.5,0.25,1.0,CPAR_X025,hydro_translation,0.006666666666666667,SCR_CPARX025_Wobble,0.1,1478,6711,1350,1.1274538771030305,8.804362350697673,1.1402680223988795,0.0010400401426980412,0.0001,1e-07,VALID,337.0641914,41.30374811017,40.72221560985964,False,False,-62.64713876392047,-1,1.8954600932564176,284.8715420091901,86,320.7024419680238,0.6626865671641791,0.7850746268656716,0.6537313432835821,389.8713521971402,13,8,3.5662048125060086e-07,7.949464004082711e-07,0.4486094673394918,33.05115153139,0.030839383212335755,0.3513529729405412,0.0
2.3,10.0,6.0,30.0,30.0,0.03,0.5,4.0,1.0,CPAR_X4,hydro_translation,0.006666666666666667,SCR_CPARX4_Wobble,0.1,1478,6711,1350,1.1274538771030305,8.804362350697673,1.1402680223988795,0.0010400401426980412,0.0001,1e-07,VALID,317.7087325,41.2086075924813,38.76029981842905,False,False,-52.55006194239956,-1,1.9516838761154034,292.70824173810763,90,487.7037135884166,0.7104477611940299,0.7850746268656716,0.7014925373134329,538.2239694758179,14,8,3.5286169367442664e-07,8.683160637994769e-07,0.4063747158268791,26.925498840003876,0.03251934961300774,0.4260664786704266,0.0
2.3,10.0,6.0,30.0,30.0,0.03,0.5,1.0,0.25,KWOB_X025,hydro_rotation,0.006666666666666667,SCR_KWOBX025_Wobble,0.1,1478,6711,1350,1.1274538771030305,8.804362350697673,1.1402680223988795,0.0010400401426980412,0.0001,1e-07,VALID,320.0730994,41.19450918636327,38.788236296114626,False,False,-52.68649555640102,-1,1.951339630307853,292.65218531128096,91,316.80241227149963,0.7134328358208956,0.7850746268656716,0.7044776119402985,482.03775718260914,14,8,3.536940427627641e-07,8.624233605699192e-07,0.4101164914283292,27.000166828000587,0.04007919841603168,0.4241915161696766,0.0
2.3,10.0,6.0,30.0,30.0,0.03,0.5,1.0,4.0,KWOB_X4,hydro_rotation,0.006666666666666667,SCR_KWOBX4_Wobble,0.1,1478,6711,1350,1.1274538771030305,8.804362350697673,1.1402680223988795,0.0010400401426980412,0.0001,1e-07,VALID,352.0987656,41.141287060234035,39.53342999223857,False,False,-56.79032858174422,-1,1.9301817074053087,289.6216413865392,96,353.10268867760897,0.7014925373134329,0.7850746268656716,0.6925373134328359,512.1748310901432,19,8,3.523804588470804e-07,8.494421039001109e-07,0.41483752362776466,29.42227064108173,0.02389452210955781,0.3917471650566989,0.0
2.1,10.0,0.0,40.0,30.0,0.03,0.3,1.0,1.0,COMBO_A,combo,0.006666666666666667,SCR_COMBOA_Wobble,0.1,1426,6564,1256,1.0241485498891647,7.997644176216514,1.0359318033823455,0.0009448749236592399,0.0001,1e-07,VALID,315.1836339,50.37414586235281,48.94035626926644,False,False,-60.568283405795206,-1,1.620335025528691,243.2743998275531,72,25.300192646682262,0.5940298507462687,0.7253731343283583,0.582089552238806,1052.9931240092483,22,11,3.731957868019071e-07,5.310613953420844e-07,0.7027356725139325,37.38009883853044,0.024434511309773803,0.009329813403731926,0.0
2.1,10.0,2.0,40.0,30.0,0.08,0.3,1.0,1.0,COMBO_B,combo,0.006666666666666667,SCR_COMBOB_Wobble,0.1,1426,6564,1256,1.0241485498891647,7.997644176216514,1.0359318033823455,0.0009448749236592399,0.0001,1e-07,VALID,331.6070429,49.85580205429364,48.984777308189614,False,False,-60.43489357701786,-1,1.086644591696384,162.03616355601076,85,201.50153432041407,0.5611940298507463,0.6805970149253732,0.5313432835820896,540.9109434722711,17,11,3.662564943909017e-07,4.5635103177415276e-07,0.8025762382239148,55.61606254596239,0.028139437211255777,0.06947861042779144,0.0
2.2,10.0,0.0,40.0,30.0,0.03,0.3,1.0,1.0,COMBO_C,combo,0.006666666666666667,SCR_COMBOC_Wobble,0.1,1443,6557,1308,1.0758104433096656,8.401075339685427,1.0880999128906126,0.0009924575331786405,0.0001,1e-07,VALID,310.1462188,44.815527784068756,44.815527784068756,False,False,-54.343128078536225,-1,1.9301342058640802,287.76710573306576,77,44.70034036785364,0.5552238805970149,0.6865671641791045,0.5134328358208955,902.7712400593853,22,14,4.2498960845370547e-07,6.879249277278082e-07,0.6177848647779507,28.15510336712983,0.0252894942101158,0.014429711405771884,0.0
2.2,10.0,2.0,40.0,30.0,0.08,0.3,1.0,1.0,COMBO_D,combo,0.006666666666666667,SCR_COMBOD_Wobble,0.1,1443,6557,1308,1.0758104433096656,8.401075339685427,1.0880999128906126,0.0009924575331786405,0.0001,1e-07,VALID,318.6803871,45.87230574102583,44.05562622834062,False,False,-63.53071294252743,-1,1.4205354549304854,211.8011150411718,83,226.701726205647,0.5104477611940299,0.6776119402985075,0.4925373134328358,359.6009635464592,15,11,3.395676405199897e-07,5.259966518310534e-07,0.6455699657743383,44.72307447309461,0.030719385612287754,0.10817783644327114,0.0
