phase_rel_rad,cycle2_a1,cycle2_a2,cycle3_a1,cycle3_a2,difference
0.9350156092413391,0.2712694265599741,-0.5021018526884373,0.1638851976821723,-0.4338041249183925,0.12726331847877959
0.9589903684526555,0.2754285726735552,-0.4727537018760605,0.1919621766193234,-0.4341399700249809,0.09196553461894819
0.9829651276639718,0.27916947274274245,-0.44181987885956786,0.22080124440060103,-0.4343957784317518,0.058838485253808664
1.0069398868752881,0.28249976249749503,-0.4095006134843655,0.2500944869483977,-0.43446744854289804,0.04090775887595035
1.0309146460866045,0.2855624859678626,-0.37634796556302463,0.27955842110518103,-0.4342528303931674,0.05821530869000348
1.054889405297921,0.2884241698658743,-0.34280128890032324,0.3088769699817259,-0.43361969132574774,0.09309296026921332
1.0788641645092374,0.29117312165499987,-0.3092321516343077,0.3377308334562719,-0.4325222436228219,0.1317879634515482
1.1028389237205538,0.293900829279264,-0.2760645276016155,0.3658264801227971,-0.43090212879062,0.1707278008738795
1.1268136829318702,0.29671336691373007,-0.2436999610579363,0.39285430895821527,-0.4287179738247269,0.20850598501091844
1.1507884421431864,0.2997306876359119,-0.21248387941674202,0.4183825848378534,-0.42589849720014766,0.2441804082912002
1.1747632013545029,0.3030580111338947,-0.18282441123833257,0.44229826551386603,-0.4224486082923849,0.27714184861474533
1.1987379605658193,0.3068349784412904,-0.1551834148710202,0.4644920797716778,-0.41831962331548983,0.3067514071596598
1.2227127197771357,0.3112155156405625,-0.1300754292778241,0.48487608878669014,-0.41346170700314716,0.3323639226336931
1.2466874789884521,0.31623327402111645,-0.10752804218047174,0.503343065343621,-0.40790003240604467,0.35388332331550026
1.2706622381997685,0.3219391541972847,-0.08778005015877677,0.51980152014681,-0.40163315072852707,0.37101655569042963
1.294636997411085,0.3283896169808503,-0.07097071812333625,0.5341753135659248,-0.39467466363465337,0.3835778894287288
1.3186117566224012,0.33566338143538094,-0.057202835151695136,0.5464258371310492,-0.3870636464128961,0.3914447183661649
1.3425865158337176,0.34381773840601226,-0.046564212442373985,0.5565272614859643,-0.3788177426471134,0.3945095050089571
1.366561275045034,0.3528668504698642,-0.03912326659699283,0.5644682618065132,-0.36993814880249226,0.39270045017583083
1.3905360342563504,0.36280158176039073,-0.034903989834228176,0.5702526955990204,-0.3604328919248581,0.3860116976585282
1.4145107934676668,0.3735831158913484,-0.03388680336464998,0.5738785874362327,-0.3503002148696633,0.37448060417280415
1.4384855526789833,0.3851962989638257,-0.036240823222247406,0.5753785642056989,-0.33954297882025913,0.35799649663499605
1.4624603118902995,0.39750917266076696,-0.04169464689420837,0.574797027278886,-0.32817993074386914,0.3369047361755486
1.4864350711016159,0.4103644910405625,-0.04989080487949361,0.572198944379542,-0.31619922878218476,0.311625684000953
1.5104098303129323,0.42364166284483384,-0.06059869941086474,0.5676641730694798,-0.30363911853450276,0.28250863487547045
1.5343845895242487,0.43721729150336913,-0.0735924263185306,0.5612707076534369,-0.29048652894182964,0.24986456693830775
1.5583593487355651,0.45092416542570446,-0.088587676800902,0.5532498754939781,-0.2767344331211266,0.21417225043127872
1.5823341079468816,0.4645866455157777,-0.10523213572896238,0.5437276810756859,-0.26243106237796054,0.1759966080613253
1.606308867158198,0.4780432372885192,-0.12310013391430943,0.5328493478016813,-0.24768003352181236,0.13610239210166894
1.6302836263695142,0.4911355187576648,-0.14171076077303638,0.5207791641856636,-0.232489301573293,0.09549601658752459
1.6542583855808306,0.5037113325792713,-0.16058736771838936,0.5077594011331035,-0.21693368414962094,0.05649154126402469
1.678233144792147,0.5156549702247164,-0.17933100337981656,0.49407203566437713,-0.20105155993980858,0.030620346854856168
