time_s,B_model_x_T,B_model_y_T,B_model_z_T,B_tele_x_T,B_tele_y_T,B_tele_z_T,B_abs_error_T,F_abs_error_N,T_abs_error_Nmm,B_model_norm_T,B_tele_norm_T,T_model_norm_Nmm,T_tele_norm_Nmm
0.0018010020360083,-0.001221992271559654,-0.00405825933672036,0.009057442577470227,-0.0012219922715596,-0.0040582593367203,0.0090574425774702,8.470027191583558e-17,1.1403530045093186e-21,1.213345759822585e-16,0.01,0.009999999999999946,0.010758938520728427,0.010758938520728342
0.0019011034441257,-0.0011913466855418323,-0.003978249306986939,0.0090969349522961,-0.0011913466855418,-0.0039782493069868,0.0090969349522961,1.4248924677735012e-16,0.0,1.4986545080053337e-16,0.01,0.009999999999999941,0.010717125384874421,0.01071712538487437
0.0020011151394011,-0.0011620708506452219,-0.0038974363667749357,0.009135621550010754,-0.0011620708506452,-0.0038974363667748,0.0091356215500107,1.476396757851421e-16,4.235164736271502e-22,1.6637074388091888e-16,0.01,0.009999999999999896,0.01061743352593984,0.01061743352593976
0.0021011611559782,-0.0011341377577084282,-0.003815749764542192,0.00917353722840521,-0.0011341377577084,-0.0038157497645421,0.0091735372284052,9.67263905925614e-17,2.1595187633528426e-21,6.905338025197313e-17,0.010000000000000002,0.009999999999999955,0.010454367873512328,0.010454367873512258
0.0022012445860278,-0.0011075579378339202,-0.003733215131802846,0.009210668824467598,-0.0011075579378339,-0.0037332151318028,0.0092106688244676,5.062608875628141e-17,9.470116246213047e-22,1.1306518546423802e-16,0.01,0.009999999999999981,0.010221637775373398,0.010221637775373296
0.0023012987635142,-0.0010823587159467336,-0.0036499166989954796,0.009246978301067224,-0.0010823587159467,-0.0036499166989953,0.0092469783010672,1.8427010304760426e-16,0.0,2.0062603859697882e-16,0.01,0.009999999999999908,0.010023762615514213,0.010023762615514131
0.0024013079778331,-0.0010585514781494012,-0.0035658980282603594,0.009282447954077448,-0.0010585514781493,-0.0035658980282603,0.0092824479540774,1.2705831824885375e-16,1.5846535419674775e-21,1.6770613595069912e-16,0.01,0.009999999999999922,0.01017482037289419,0.010174820372894071
0.0025013802147066,-0.0010361193635981148,-0.0034810980904639056,0.00931710323807489,-0.0010361193635981,-0.0034810980904638,0.0093171032380749,1.0734630902731955e-16,0.0,1.1125414741221272e-16,0.01,0.009999999999999972,0.010248920044729137,0.010248920044729076
0.0026014181554271,-0.00101509276055812,-0.003395629185928263,0.009350897770756275,-0.0010150927605581,-0.0033956291859282,0.0093508977707562,9.95814759055961e-17,9.470116246213047e-22,1.8899034057316573e-16,0.01,0.009999999999999908,0.010253864364765374,0.010253864364765232
0.0027014386551154,-0.0009954745169093982,-0.0033095078391418586,0.00938382589079969,-0.0009954745169093,-0.0033095078391418,0.0093838258907997,1.1482576320619517e-16,0.0,1.350419832497019e-16,0.01,0.009999999999999981,0.010192784367924654,0.01019278436792456
0.0028015212234794,-0.0009772569591496687,-0.003222695790284934,0.009415901479894176,-0.0009772569591496,-0.0032226957902849,0.0094159014798941,1.0828069908122927e-16,8.470329472543003e-22,9.498007078303618e-17,0.01,0.009999999999999912,0.010065003478713978,0.01006500347871389
0.0029015981567806,-0.0009604600874015225,-0.0031352821121461046,0.009447090689612615,-0.0009604600874015,-0.003135282112146,0.0094470906896126,1.0805618153046012e-16,1.0373992580494066e-21,5.9545504618504e-17,0.010000000000000002,0.009999999999999952,0.009864735022251141,0.009864735022251086
