event,start_s,end_s,duration_us,peak_force_N,contact_impulse_Ns,bridge_fraction,restitution_status
71,0.006829786114394665,0.006831086240708828,1.4016404747962952,0.16855332556905525,1.3218225821014675e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
72,0.006842286325991154,0.006843786220997572,1.601874828338623,0.03172445781333253,2.929087570172591e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
73,0.006854186300188303,0.006855786312371492,1.701992005109787,0.01842307832618106,1.730593428894463e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
74,0.006861086003482342,0.006893486250191927,32.53808245062828,0.06436791261041112,2.4608415070751412e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
75,0.006915885955095291,0.006917386315762997,1.601874828338623,0.03972352267711317,3.627391440730263e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
76,0.006926086265593767,0.006927486043423414,1.501757651567459,0.05114758182923171,4.0179962487743046e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
77,0.006937786005437374,0.007212285418063402,274.9217674136162,0.2717474121055489,1.687216839562565e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
78,0.0072922855615615845,0.00729358522221446,1.4016404747962952,0.16142548737336562,1.1641741018036329e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
79,0.0073370854370296,0.007338385097682476,1.4016404747962952,0.08544107277419585,6.448271954766307e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
80,0.007362185046076775,0.007363485172390938,1.4016404747962952,0.047320721577091926,3.6208694862520136e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
81,0.007376485038548708,0.007379584945738316,3.203749656677246,0.20850563970117975,1.647048815637219e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
82,0.007433485239744186,0.0074393851682543755,6.007030606269836,0.10542973352572785,1.2760874582165747e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
83,0.007455285172909498,0.007487785071134567,32.638199627399445,0.21015717998070924,2.3389230283286007e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
84,0.007537684869021177,0.007539084646850824,1.501757651567459,0.09999706359828892,8.575340896819516e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
85,0.0075704846531152725,0.007571884896606207,1.501757651567459,0.059540489527144684,5.204553887265014e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
86,0.00759048480540514,0.007596284616738558,5.9069134294986725,0.1100424221428983,1.2842008975958343e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
87,0.007629884872585535,0.0076327845454216,3.003515303134918,0.1069271357408819,8.574677426205019e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
88,0.007681884337216616,0.007683384697884321,1.601874828338623,0.09306833859881847,8.096795394593528e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
89,0.007692784536629915,0.0076940846629440784,1.4016404747962952,0.0794319257655854,5.83460075920547e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
90,0.007717184256762266,0.007725084666162729,8.009374141693115,0.05569179648137037,2.673159101548479e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
91,0.00773918442428112,0.007743284571915865,4.2049214243888855,0.03243226882520503,1.261853500527744e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
92,0.007749284617602825,0.00778038427233696,31.23655915260315,0.08556593728631415,1.5671655658532427e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
93,0.007817684672772884,0.007819084450602531,1.501757651567459,0.06861580726416161,5.344832178514527e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
94,0.007838284596800804,0.007846184074878693,8.009374141693115,0.08716069488925814,5.0946404364981535e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
95,0.007867584004998207,0.007868983782827854,1.501757651567459,0.042965717549096255,3.3560267646758445e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
96,0.00787438452243805,0.00787588395178318,1.601874828338623,0.04016052564111077,3.501538115858451e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
