time_s,Tmag_t_Nmm,Tmag_e1_Nmm,Tmag_e2_Nmm,Tmag_norm_Nmm,Thydro_t_Nmm,Thydro_e1_Nmm,Thydro_e2_Nmm,Thydro_norm_Nmm,Tcontact_inferred_t_Nmm,Tcontact_inferred_e1_Nmm,Tcontact_inferred_e2_Nmm,Tcontact_inferred_norm_Nmm,omega_spin_rad_s,omega_wobble_rad_s,HEAD_gap_um,TAIL_gap_um,contact_active,opposing_bridge
0.0212799571454525,6.216687232065712e-05,-0.002495437410953519,-0.0014387571893480318,0.0028811620644977926,-6.680702738414076e-08,-5.7293263168389955e-08,1.5594178209511895e-07,1.7906293953632417e-07,-6.21000731100436e-05,0.0024954948085990467,0.0014386005378970751,0.0028811321154127625,21.776378605287942,59.244620618648604,-4.060717151075366,-2.730037617036052,1,1
0.02128995768725872,6.153292921815366e-05,-0.0024927220396096556,-0.0014422164901213487,0.0028805273601394295,-6.568719577101279e-08,-5.80624551540677e-08,1.6067517815843218e-07,1.8303707073437718e-07,-6.146724797216818e-05,0.0024927802080281576,0.001442055100822929,0.0028804954959033707,19.496075078097128,60.6652676757839,-4.155844454764007,-2.7634121480865863,1,1
0.021299956366419792,6.082530456013388e-05,-0.0024900037488272053,-0.0014455256001511519,0.0028798198984555817,-6.45827815983056e-08,-5.8842068386180744e-08,1.6543468961263223e-07,1.870881108412995e-07,-6.0760725920397985e-05,0.002490062698370583,0.0014453594470264452,0.0028797861098941975,17.223979135868888,62.0978580422273,-4.254474171547185,-2.800905629783913,1,1
0.021309956908226013,6.0043377453153695e-05,-0.002487281777596912,-0.0014486847451531458,0.002879038613700947,-6.349330558612207e-08,-5.963171955844844e-08,1.7021948555531507e-07,1.9121196378486947e-07,-5.998027651768266e-05,0.0024873508740470276,0.0014485215521966468,0.002879014882103223,14.95987849099863,63.54195213487857,-4.356543433811211,-2.842476732409541,1,1
0.021319957450032234,5.9422760210645385e-05,-0.0024859529671876633,-0.0014529068148713415,0.0028800054569739597,-6.31702695668651e-08,-1.0583938763963905e-07,1.2916218288066442e-07,1.785366304700029e-07,-5.935952501689766e-05,0.0024860561182735836,0.0014527760819762184,0.0028800272430617602,19.501318540360373,59.15612769496756,-4.204744912342159,-2.8287885914385056,0,1
0.021329957991838455,5.8843388907452235e-05,-0.0024845209991504204,-0.0014571578475429188,0.0028809054361942235,-6.34302123562182e-08,-8.898365072934521e-08,1.3907323708802348e-07,1.768695768379023e-07,-5.8779894390897126e-05,0.0024846072960255728,0.0014570171989719501,0.0028809074281462396,19.192375445562583,58.60839903363794,-4.021448680145609,-2.852095372990609,0,1
0.021339956670999527,5.824758704445349e-05,-0.0024826904416003744,-0.0014611628127757363,0.002881343675379434,-6.16692355853132e-08,-9.249036225060492e-08,1.4040221842909147e-07,1.7908194958380167e-07,-5.818705622712883e-05,0.00248280073377013,0.0014610300310432661,0.0028813701547583505,16.801662368686376,59.430677458310804,-3.894889623160059,-2.9369679150689874,1,1
0.021349957212805748,5.759422735317939e-05,-0.002481490741782352,-0.0014654011178194648,0.0028824492766885723,-5.8737367569947426e-08,-1.021020916923143e-07,1.3866564233863732e-07,1.8194250696904162e-07,-5.7535427025437265e-05,0.0024815901603492743,0.0014652608679230198,0.002882462395309236,13.364094024711427,60.48367716727696,-3.763147276291202,-2.840502434476578,0,1
0.02135995775461197,5.691891892838099e-05,-0.0024798821266431813,-0.0014693764881198842,0.0028830751619088615,-5.898415276263244e-08,-8.527858004880616e-08,1.4865947395120172e-07,1.8124901568757337e-07,-5.685987254597502e-05,0.002479964723453842,0.0014692262401013127,0.0028830684728746343,13.054446641287825,60.25942721139065,-3.68776793723319,-2.804106877909033,0,1
0.02136995643377304,5.6220692077384e-05,-0.0024779055605679006,-0.001473105774851454,0.002883265051501802,-5.633428837594201e-08,-9.489541807177913e-08,1.4718276396655e-07,1.8396048061112123e-07,-5.6164777784921565e-05,0.0024780059788687405,0.001472960713027362,0.0028832761532144174,9.80280040581085,61.233037134901956,-3.6640552070138623,-2.8094024584819466,0,1
