time_s,RM_t_Nmm,RM_e1_Nmm,RM_e2_Nmm,RM_norm_Nmm,Tmag_baseline_t_Nmm,Tmag_baseline_e1_Nmm,Tmag_baseline_e2_Nmm,Tmag_baseline_norm_Nmm,required_transverse_Nmm,available_transverse_Nmm,omega_spin_rad_s,omega_wobble_rad_s,tilt_deg,HEAD_gap_um,TAIL_gap_um,contact_active,opposing_bridge,com_x_mm,com_y_mm,com_z_mm,axis_x,axis_y,axis_z
0.01322999969124794,290.3530507812848,-3952.307851785273,6346.3108713561005,7482.025389242817,8.1079112570368e-05,-0.0016426344816005865,0.0024727945892512454,0.0029697701835779584,7476.389438169747,0.002968663187492556,-38.256396382011985,90.47486597297922,24.502225197379143,-129.43919333260766,-165.8299850213828,1,1,-7.367971159571456,-3.681651144905824,-9.54139066792837,0.803824046015533,-0.031132063926625944,0.5940519317727087
0.013240000233054161,288.5512695042,-3962.4791173789395,6334.073268823345,7476.963739755538,7.947029456765648e-05,-0.0016452031482369525,0.0024716263112470158,0.0029701760131574657,7471.393774289147,0.00296911266566584,-38.25639600158456,90.47486613383919,24.500612654274633,-129.4473134137607,-165.82651305999195,1,1,-7.36796434229021,-3.681508956163067,-9.541398531084868,0.8037748567532441,-0.03203529094175832,0.5940704670201838
0.013249999843537807,287.2668508336243,-3973.1835323268874,6322.148696070933,7472.501171654161,7.785130301878724e-05,-0.0016477416627145003,0.0024704398826438435,0.0029705532525413844,7466.977401652221,0.002969532926371161,-38.25639575989192,90.47486623603649,24.49912285558202,-129.4545836906652,-165.82551440187166,1,1,-7.367956332916068,-3.681403215194929,-9.541403222156676,0.8037248040538321,-0.03293846623125889,0.5940887953757091
0.013260000385344028,285.9580874304555,-3983.887299602752,6310.247463885904,7468.088985756763,7.622154903731952e-05,-0.0016502498944213273,0.002469235367063609,0.002970901838925851,7462.612214996475,0.0029699239067685484,-38.2563954598689,90.47486636289824,24.497755686421208,-129.46262040878764,-165.82542221618303,1,1,-7.367950849288749,-3.6813021769401315,-9.541408098561677,0.8036738889217545,-0.03384159533626023,0.5941069152017003
0.013269999995827675,284.6633964953276,-3994.670071925636,6298.737988581,7464.082159357307,7.458104959336453e-05,-0.0016527267698317571,0.0024680132674997734,0.002971221566499521,7458.651971524867,0.0029702853843146825,-38.25639500243772,90.47486655631846,24.496511086914605,-129.47360076229785,-165.82404567693442,1,1,-7.367944344931888,-3.6812093743708614,-9.54141457125357,0.8036221113175048,-0.034744690300870046,0.5941248258552178
0.013279999606311321,283.3693723895388,-4005.470146213364,6287.324910609793,7460.197304695726,7.292937028215621e-05,-0.0016551719223447164,0.002466773749666123,0.0029715123283624314,7454.813587460182,0.0029706172463917608,-38.256394687574,90.47486668945544,24.49538929256332,-129.48590256984372,-165.8230196974513,1,1,-7.367938265258121,-3.681120933185208,-9.541421399710687,0.8035694704221726,-0.03564773093345913,0.5941425296044082
0.013290000148117542,281.23727617189496,-4015.513905700126,6276.3539043014725,7456.276863450015,7.12660749334691e-05,-0.0016575849750630086,0.0024655169691292626,0.0029717740035297775,7450.971095025898,0.0029709193652165955,-38.256394212562505,90.4748668903093,24.49439010526293,-129.5008004015532,-165.821174438051,1,1,-7.367930747622299,-3.6809985671777907,-9.541430336682113,0.8035159671481021,-0.03655073569348949,0.5941600241166637
0.013299999758601189,279.0229698815741,-4025.539052114305,6265.441158826292,7452.420505616508,6.95911939767121e-05,-0.0016599648769195488,0.002464243428110204,0.0029720063929725934,7447.195282441026,0.0029711915228727453,-38.194650869203514,90.48649593833831,24.493515375599166,-129.51542022600282,-165.82136147665216,1,1,-7.367922939413833,-3.680872545729268,-9.541437926029774,0.8034615846458256,-0.03745367266146703,0.594177334137366
0.01331000030040741,276.61175188522145,-4034.0673071377487,6252.396786517532,7445.98406363144,6.790414011898283e-05,-0.0016623114754562923,0.0024629531559730035,0.0029722093907052294,7440.844348229061,0.0029714336085383186,-38.13290346381832,90.5074682570858,24.491708081377414,-129.51687002939005,-165.80588009180153,1,1,-7.3679150566995615,-3.6807417405423406,-9.541445862760755,0.8034172389514733,-0.03835765152197028,0.5941796283324686
0.013319999910891056,271.627784077154,-4040.8171878546705,6242.044524271661,7440.773148116681,6.620495353172276e-05,-0.0016646237356480003,0.002461646653717967,0.0029723828025534837,7435.813566022992,0.002971645407689748,-38.13290300486056,90.5074684504554,24.490023347057907,-129.51422298726158,-165.796354783343,1,1,-7.367906853610324,-3.6805678810112807,-9.541449245324346,0.8033720307000881,-0.03926160008452549,0.5941817121450471
