t_s,rp_x_aba_mm,rp_y_aba_mm,rp_z_aba_mm,ur1,ur2,ur3,fx_aba_N,fy_aba_N,fz_aba_N,tx_aba_Nmm,ty_aba_Nmm,tz_aba_Nmm,driver_arc_mm,robot_arc_mm,force_tangent_N,force_normal_N,rp_x_mag_mm,rp_y_mag_mm,rp_z_mag_mm,tx_mag_Nmm,ty_mag_Nmm,tz_mag_Nmm,drive_scale,endpoint_reached,h_head_mm,h_tail_mm,vn_head_close_mm_s,vn_tail_close_mm_s,Flub_head_mN,Flub_tail_mN,Flub_x_N,Flub_y_N,Flub_z_N,Mlub_x_Nmm,Mlub_y_Nmm,Mlub_z_Nmm,lub_power_W,active_head,active_tail,wall_tri_head,wall_tri_tail,commanded_frequency_Hz,instantaneous_phase_rad,rocking_phase_rad,precession_phase_rad,precession_frequency_Hz,cone_angle_deg,B_aba_T,Bx_aba_T,By_aba_T,Bz_aba_T
0.0342666,-2.475987021854289,-3.987681902343873,-8.490187619407184,0.038340581776836455,-0.015903552165071402,-0.1854351354131346,8.316280401205377e-05,-5.267059414201646e-06,1.76751339055854e-05,5.197984850171622e-06,-2.1382136653199633e-06,-2.5080649842535188e-05,19.105560225999998,58.91292990645699,8.518335661736024e-05,1.808137892547419e-19,3.4842945135071344,5.481706483722374,-0.03228849264557026,-2.8430124191479525e-06,1.1994597876378023e-05,-2.255386669450703e-05,1.0,False,,,,,,,,,,,,,,,,,,20.0,4.30606795294,4.30606795294,,,,0.010000000000000002,0.009434099217006612,-0.002508551644986344,0.0021690875058677506
0.034286699999999996,-2.470010365232432,-3.9880600328090874,-8.488917395587201,0.03824848564430861,-0.01586538160331099,-0.1849901479219492,8.317281487538263e-05,-5.267693445395833e-06,1.767726157975355e-05,6.658452646149144e-06,-2.7434794594904145e-06,-3.213269748336186e-05,19.105680825999997,58.919051742408676,8.51936107081298e-05,1.709262764484988e-19,3.4902509081313338,5.4831200744063215,-0.03228830232461962,-3.6423525993991793e-06,1.5363534871331313e-05,-2.8897525543581457e-05,1.0,False,,,,,,,,,,,,,,,,,,20.0,4.308593793433486,4.308593793433486,,,,0.010000000000000004,0.00943355085890598,-0.002510562051349103,0.0021691464631877857
0.0343068,-2.464030115017489,-3.9884384057955344,-8.487646406714404,0.038156998475367535,-0.015827461993145112,-0.1845481020041591,8.318275931546762e-05,-5.268323269719221e-06,1.767937513655585e-05,8.109587674267664e-06,-3.344893195716561e-06,-3.913969912816136e-05,19.105801426,58.92517726045361,8.520379676181308e-05,1.6435457877845279e-19,3.4962108884152236,5.4845345023638625,-0.03228811915534125,-4.436586777734716e-06,1.871093953343097e-05,-3.520067059191202e-05,1.0,False,,,,,,,,,,,,,,,,,,20.0,4.311119633926972,4.311119633926972,,,,0.010000000000000004,0.009433005326529883,-0.0025125605000214427,0.0021692049795699153
0.0343269,-2.458046270500203,-3.988817020238839,-8.48637465273326,0.038066252767078326,-0.01578984825164644,-0.1841096379592777,8.31926272363814e-05,-5.268948247753149e-06,1.768147243023892e-05,9.549944279111939e-06,-3.941855749091389e-06,-4.609467427961563e-05,19.105922026,58.93130646122994,8.52139044371886e-05,1.5820058651795034e-19,3.502174454754811,5.485949768690196,-0.03228794260600463,-5.224923729233369e-06,2.203347710501065e-05,-4.145702254276484e-05,1.0,False,,,,,,,,,,,,,,,,,,20.0,4.313645474420459,4.313645474420459,,,,0.01,0.009432462630592374,-0.002514546980087371,0.00216926305629628
0.034346999999999996,-2.452058830978829,-3.989195875082094,-8.485102133589157,0.03797638003127621,-0.015752594889150397,-0.18367539132689845,8.320240871336463e-05,-5.269567750919743e-06,1.7683551351428824e-05,1.0978087588685754e-05,-4.533772447871067e-06,-5.2990694490360313e-05,19.106042625999997,58.93743934536874,8.522392356836153e-05,1.4800747642659064e-19,3.508141607540844,5.487365874472108,-0.032287772148690226,-6.006578128743317e-06,2.5327837706781516e-05,-4.7660348913608185e-05,1.0,False,,,,,,,,,,,,,,,,,,20.0,4.3161713149139445,4.3161713149139445,,,,0.01,0.0094319227817535,-0.002516521480700946,0.002169320694643844
0.034367,-2.44609761080637,-3.989573082645463,-8.483835185870653,0.03788795010306689,-0.01571593811909865,-0.1832481155388211,8.321204606845671e-05,-5.270178126224762e-06,1.7685599641451884e-05,1.238559367225171e-05,-5.117151757173077e-06,-5.97870833551478e-05,19.106162626,58.94354537418414,8.52337950760074e-05,1.4155036479214467e-19,3.514082633107486,5.488775769220449,-0.03228760806725175,-6.776939367136411e-06,2.8574589525866716e-05,-5.377405912777867e-05,1.0,False,,,,,,,,,,,,,,,,,,20.0,4.318684589036817,4.318684589036817,,,,0.01,0.00943138845512598,-0.0025184742570486963,0.0021693776123808944
0.0343871,-2.440102997099297,-3.9899524139701725,-8.482561140048155,0.03780020730104323,-0.015679564687837655,-0.18282415939401292,8.322162615305968e-05,-5.270784874342453e-06,1.768763575940384e-05,1.3785134365851032e-05,-5.697245882538671e-06,-6.654502908947933e-05,19.106283226,58.94968560857686,8.524360792170031e-05,1.294857858796028e-19,3.5200569420879346,5.4901935529449055,-0.0322874482043518,-7.542943048301255e-06,3.1802963210655934e-05,-5.985319521831787e-05,1.0,False,,,,,,,,,,,,,,,,,,20.0,4.321210429530303,4.321210429530303,,,,0.010000000000000002,0.009430854317951255,-0.00252042482623236,0.0021694343799460274
0.0344072,-2.434104786338257,-3.990331982584956,-8.481286328905108,0.03771372415921329,-0.015643711923454092,-0.1824062893630172,8.323109116215986e-05,-5.2713843342317365e-06,1.768964741960758e-05,1.516824299089097e-05,-6.270545619462384e-06,-7.322364892824656e-05,19.106403825999998,58.95582952817371,8.525330289597568e-05,1.183784694621731e-19,3.526034838649929,5.491612179318404,-0.03228729288057155,-8.299955171998799e-06,3.499342832744871e-05,-6.586098099936027e-05,1.0,False,,,,,,,,,,,,,,,,,,20.0,4.323736270023789,4.323736270023789,,,,0.009999999999999998,0.009430323059476674,-0.0025223633838986834,0.0021694907129254245
0.0344273,-2.4281029778583223,-3.9907117874736273,-8.480010752391042,0.03762862695803821,-0.015608432174380025,-0.18199511570947025,8.324043192151202e-05,-5.271975924848065e-06,1.7691632672200857e-05,1.6533541901617193e-05,-6.8364799494831515e-06,-7.981629067137011e-05,19.106524426,58.96197713357149,8.526287060168769e-05,1.1180514652256163e-19,3.5320163231595854,5.493031649383029,-0.032287141588639365,-9.047221725147814e-06,3.81428070182568e-05,-7.179143245731271e-05,1.0,False,,,,,,,,,,,,,,,,,,20.0,4.326262110517275,4.326262110517275,,,,0.01,0.009429794690144091,-0.00252428991948137,0.0021695466125748594
0.034447399999999996,-2.4220975710053603,-3.9910918276328795,-8.478734410456612,0.037545040350797775,-0.015573777116183025,-0.18159124083477393,8.324963945873526e-05,-5.272559077931808e-06,1.7693589610224944e-05,1.7879671244003587e-05,-7.394485211921163e-06,-8.631638800915239e-05,19.106645026,58.96812842535702,8.527230184845927e-05,1.0199080912136463e-19,3.5380013959760594,5.494451964166978,-0.032286993827782294,-9.783998430156474e-06,4.124796246976156e-05,-7.763864283397381e-05,1.0,False,,,,,,,,,,,,,,,,,,20.0,4.328787951010761,4.328787951010761,,,,0.01,0.009429269220340132,-0.002526204422484071,0.002169602080144675
0.0344675,-2.4160885651366373,-3.9914721020733355,-8.477457303053644,0.03746308723944095,-0.015539797700091354,-0.18119525867812025,8.32587050078796e-05,-5.273133238297524e-06,1.7695516370595245e-05,1.9205290309644197e-05,-7.944005665055973e-06,-9.271746705976635e-05,19.106765625999998,58.974283404106615,8.528158765735988e-05,9.591409222298353e-20,3.5439900574512535,5.495873124683497,-0.03228684910425375,-1.0509551485929242e-05,4.430580203636844e-05,-8.339678850736248e-05,1.0,False,,,,,,,,,,,,,,,,,,20.0,4.331313791504248,4.331313791504248,,,,0.010000000000000002,0.009428746660395991,-0.002528106882480368,0.0021696571168797318
0.0344876,-2.410075959621392,-3.9918526098205893,-8.47617943013516,0.03738288865218535,-0.01550654410224191,-0.18080775412496472,8.326762001349579e-05,-5.273697864091655e-06,1.7697411134966248e-05,2.050907887000998e-05,-8.4844940391765e-06,-9.901315281194605e-05,19.106886226,58.980442070385564,8.529071926507407e-05,8.819892191506814e-20,3.549982307929543,5.497295131929854,-0.03228670693184963,-1.1223158298128868e-05,4.7313280317966484e-05,-8.906013478727481e-05,1.0,False,,,,,,,,,,,,,,,,,,20.0,4.333839631997734,4.333839631997734,,,,0.010000000000000002,0.009428227020587173,-0.0025299972891137438,0.002169711724019359
0.034507699999999995,-2.4040597538414,-3.9922333499162366,-8.474900791655411,0.03730456362298752,-0.015474065673701767,-0.18042930242454233,8.327637613422595e-05,-5.274252427020006e-06,1.7699272130494684e-05,2.1789738489715727e-05,-9.015412080951902e-06,-0.00010519717546634977,19.107006826,58.98660442474766,8.529968812757938e-05,7.590727593857835e-20,3.555978147747516,5.498717986886315,-0.03228656683242114,-1.192410819795329e-05,5.026740218926526e-05,-9.462304161970122e-05,1.0,False,,,,,,,,,,,,,,,,,,20.0,4.336365472491219,4.336365472491219,,,,0.010000000000000002,0.009427710311133281,-0.0025318756320975655,0.002169765902797303
0.0345277,-2.3980699053921137,-3.9926124254670268,-8.473627754659432,0.03722860373034276,-0.015442566260445949,-0.18006227888806445,8.328492294051394e-05,-5.274793733161073e-06,1.7701088639057613e-05,2.303980626570189e-05,-9.533665804190235e-06,-0.00011123349818720123,19.107126826,58.992739781773054,8.53084425900656e-05,6.795187764113786e-20,3.561947720440224,5.500134605310321,-0.03228642902219367,-1.260831646702418e-05,5.315095286751096e-05,-0.00010005309160906602,1.0,False,,,,,,,,,,,,,,,,,,20.0,4.338878746614093,4.338878746614093,,,,0.010000000000000004,0.00942719909096714,-0.002533732646195886,0.0021698193880757845
0.0345478,-2.392046515199879,-3.992993626308864,-8.472347588734207,0.03715436359794083,-0.015411778228081574,-0.17970356528052273,8.329333802838183e-05,-5.275326697005924e-06,1.7702877152644407e-05,2.4270536994866078e-05,-1.0043921243414221e-05,-0.00011717646813159854,19.107247425999997,58.99890949555926,8.53170621338548e-05,5.614136824057767e-20,3.567950722053604,5.501559154325529,-0.032286291664400835,-1.3281943278866841e-05,5.5989893970972656e-05,-0.00010539917342946672,1.0,False,,,,,,,,,,,,,,,,,,20.0,4.3414045871075775,4.3414045871075775,,,,0.009999999999999998,0.009426688257952452,-0.002535586891444612,0.002169872715924972
0.0345679,-2.386019522971491,-3.9933750567343798,-8.471066657118234,0.037082340432212715,-0.015381907751376683,-0.17935556410665468,8.330157055860715e-05,-5.275848098687066e-06,1.7704626866063038e-05,2.5474393057740497e-05,-1.0543053491178986e-05,-0.0001229896877367187,19.107368026,59.00508289901393,8.532549468451705e-05,2.4974036453943932e-20,3.573957313965882,5.502984553875143,-0.032286155000632324,-1.394086302673243e-05,5.876683835333795e-05,-0.00011062854521404601,1.0,False,,,,,,,,,,,,,,,,,,20.0,4.343930427601064,4.343930427601064,,,,0.01,0.009426180385563872,-0.0025374290426529427,0.002169925619073688
0.034588,-2.379988928143929,-3.9937567158590332,-8.46978495977086,0.037012644138837765,-0.015353000403694044,-0.17901880650718294,8.330961307205967e-05,-5.276357465785622e-06,1.7706336193975856e-05,2.6650175722693345e-05,-1.10305655544871e-05,-0.00012866736856066718,19.107488626,59.011259992640454,8.533373260169245e-05,1.1906805864954178e-19,3.5799674964803043,5.504410804861694,-0.03228601858982429,-1.4584419602584325e-05,6.147902089440208e-05,-0.00011573599988573245,1.0,False,,,,,,,,,,,,,,,,,,20.0,4.346456268094551,4.346456268094551,,,,0.010000000000000002,0.00942567548379534,-0.0025392590898132296,0.0021699780987328894
