t_s,freq_Hz,phase_rad,B_mT,robot_arc_mm,driver_arc_mm,delta_s_mm,robot_arc_velocity_mm_s,rp_speed_mm_s,ur1,ur2,ur3,theta_norm_rad,Ft_mN,torque_mag_Nmm
0.0130195537001817,16.392109487659063,4.854333628862633,9.999999999999899,13.999960625932426,18.97807794820109,4.978117322268664,0.0,330.1900073244626,-0.376966769970037,-1.1594160917619831,-0.9498975420425496,1.545527405087581,-0.005533838027469603,0.0006203971119031021
0.0130224527810045,16.394646183379,4.85463224181414,10.0,13.999960625932426,18.978095342686025,4.978134716753599,-1.4901161193847656e-08,330.1531920264416,-0.37678431914058,-1.1610801420154222,-0.9507088197840798,1.5472300343995462,-0.005540909378535327,0.000641868107486508
0.0130253518748755,16.397182890516135,4.8549309023170455,9.999999999999899,13.999960625932426,18.97811273724925,4.978152111316826,-7.450580596923828e-09,330.11734182964926,-0.3766019379312241,-1.1627435604690193,-0.951519274649164,1.54893206342131,-0.005547957572219246,0.0006633261793241641
0.0130282509482651,16.399719579732047,4.855229606916997,10.0,13.999960625932426,18.97813013168959,4.9781695057571635,0.0,330.07906553274853,-0.3764196324837225,-1.1644063038829795,-0.952328885065071,1.5506334465536604,-0.005554982424932465,0.0006847706315183741
0.0130311500355849,16.40225628113686,4.855528359159418,10.0,13.999960625932426,18.978147526213508,4.978186900281083,0.0,330.04163346246736,-0.3762373819391603,-1.1660683784909838,-0.9531376821242706,1.55233420112109,-0.005561984165653209,0.0007062016178648336
0.0130340491145368,16.404792975219785,4.855827156746617,10.0,13.999960625932426,18.97816492068722,4.978204294754795,-1.4901161193847656e-08,330.00461238425527,-0.3760552091622242,-1.1677297398864763,-0.953945621943212,1.554034270979248,-0.005568962453186755,0.0007276182879662132
0.0130369482020197,16.407329676767322,4.856126001420304,10.0,13.999960625932426,18.97818231521212,4.978221689279694,-7.450580596923828e-09,329.9656353503899,-0.3758731228971658,-1.16939036979429,-0.954752688180126,1.5557336330719571,-0.005575917163508438,0.0007490202411054876
0.0130398473041867,16.409866391163447,4.856424893815309,10.0,13.999960625932426,18.97819970982512,4.978239083892694,-7.450580596923828e-09,329.92730394477843,-0.3756910922752293,-1.1710502667763234,-0.9555589223387414,1.5574323029246022,-0.005582848595451605,0.0007704076502999472
0.0130427463774348,16.412403080255466,4.856723829435892,10.0,13.999960625932426,18.97821710426461,4.978256478332183,7.450580596923828e-09,329.88900767781314,-0.3755091678799023,-1.1727093589340265,-0.9563642350477366,1.559130182432421,-0.005589756069484478,0.0007917791011670169
0.0130456454730876,16.41493978895167,4.857022813574105,10.0,13.999960625932426,18.978234498838525,4.978273872906099,0.0,329.8496272679073,-0.3753273236706979,-1.1743676644998473,-0.9571686681284068,1.5608273032476536,-0.005596639903352135,0.0008131349640720715
0.0130485445651817,16.41747649453406,4.8573218435527865,10.0,13.999960625932426,18.97825189339109,4.978291267458664,0.0,329.81047870164986,-0.3751455593983787,-1.1760251495223404,-0.9579722118432276,1.5625236323682183,-0.005603500011712287,0.0008344747543126232
