frame,time_s,actual_min_gap_mm,near5_nodes,near20_nodes,penetrating_nodes,opposing_wall_clusters,first_opposing_bridge_s,classification
97,0.0048500085249543,0.0014600734865567709,1,4,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
98,0.004900075495243,-0.000644651856480552,1,4,1,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
99,0.0049500511959195,0.000911469158464308,1,4,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
100,0.0050000296905636,0.0009870544026716673,1,6,0,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
101,0.0050500929355621,-0.0020593229167388716,4,8,3,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
102,0.0051000565290451,0.000915264641821254,2,8,0,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
103,0.0051500364206731,0.0011213106057932209,2,8,0,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
104,0.0052000349387526,-0.001102138340029181,2,6,1,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
105,0.0052500055171549,0.002075229189652086,2,5,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
106,0.0053000166080892,0.002592415633213561,1,5,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
107,0.0053500402718782,0.0003165428800451776,2,5,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
108,0.0054000713862478,0.0015635559629248214,2,5,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
109,0.005450002849102,0.0029630864253117413,1,5,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
110,0.0055000293068587,0.0014655260687106394,2,5,0,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
111,0.0055500301532447,-9.319954947058927e-05,2,5,1,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
112,0.0056000216864049,0.0014528866414740965,2,6,0,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
113,0.0056500933133065,0.0018759418660577215,2,5,0,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
114,0.0057000792585313,0.0034183337729027413,1,4,0,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
115,0.0057500936090946,0.0014332044298002544,2,4,0,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
116,0.0058000292629003,-0.0003210829337386589,2,5,1,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
117,0.0058500482700765,0.0018972831568986877,2,4,0,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
118,0.0059000621549785,0.0011411433565340218,2,6,0,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
119,0.0059500727802515,-0.0009928192655622656,2,6,1,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
120,0.0060000219382345,-0.0013974815662826671,3,6,1,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
121,0.0060500619001686,0.0028734696885343454,1,5,0,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
122,0.0061000040732324,0.0020121107212496855,2,5,0,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
123,0.0061500240117311,-0.0014151687597385235,2,6,2,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
124,0.0062000728212296,0.0010990181738992752,2,6,0,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
125,0.0062500489875674,0.00133384937333449,2,5,0,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
126,0.0063000484369695,-0.0007483845316132578,2,6,2,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
127,0.0063500790856778,0.0009040198222239162,2,5,0,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
128,0.0064000128768384,0.0005774873741821379,3,7,0,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
129,0.0064500705339014,-0.000804058488867476,3,7,2,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
130,0.0065000266768038,0.0007738577183030755,2,7,0,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
131,0.0065501043573021,-0.0007052384027221913,2,5,1,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
132,0.0066000875085592,0.0009886373879302028,1,5,0,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
133,0.0066500538960099,0.0004545112413301764,1,6,0,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
134,0.0067001045681536,-0.0002872795910105357,1,9,1,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
135,0.0067500388249754,0.00019710600416901385,1,9,0,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
136,0.0068000922910869,-0.001039314649895264,6,9,2,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
137,0.00685002701357,0.0005109588278519702,6,10,0,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
138,0.0069000264629721,-0.000709690193481342,5,11,1,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
139,0.0069500086829066,0.0014291529146779308,3,9,0,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
140,0.0070000174455344,-0.0013681053744861247,3,9,1,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
141,0.0070500564761459,0.0012389517782630856,3,9,0,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
142,0.0071000130847096,0.0005333202886371535,5,9,0,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
143,0.0071500833146274,-0.00031830913030243927,5,9,1,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
144,0.0072000287473201,-0.00034106307388873536,4,8,1,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
145,0.0072500668466091,-0.0006690267487481381,4,8,1,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
146,0.0073000458069145,-2.6631981946914798e-05,3,7,1,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
147,0.0073500303551554,-0.0006421498706563797,3,7,2,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
148,0.0074000693857669,-0.00034205009364917044,2,6,2,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
149,0.0074501005001366,-0.0003841649547119553,2,6,1,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
150,0.0075000310316681,-0.000574799882091781,2,5,2,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
151,0.0075500789098441,-0.0008592696105261923,2,5,2,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
152,0.0076000089757144,-0.0008435891755423485,2,5,2,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
153,0.0076500424183905,-0.0008297465665134955,2,5,2,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
154,0.0077000549063086,-0.0008506737136776372,2,5,2,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
155,0.0077500874176621,-0.0007939947084557863,2,5,2,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
156,0.0078000430949032,-0.0007655296754729894,3,6,2,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
157,0.0078500118106603,-0.0007632636425368476,3,6,2,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
158,0.0079000853002071,-0.0007218638683241131,3,5,2,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
159,0.0079500526189804,-0.0006989434895791247,3,5,1,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
160,0.0080000245943665,-0.0006983349920454497,3,5,2,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
161,0.0080500990152359,-0.0005686882242413114,3,5,2,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
162,0.0081000914797186,-0.00044937287970327254,3,5,2,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
163,0.0081500997766852,-0.00042971705837180227,2,5,2,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
164,0.008200011216104,-0.0004970852660747241,2,5,2,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
165,0.0082500269636511,-0.00045637015741032343,2,5,2,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
166,0.0083000427111983,-0.00042998366250646564,3,5,2,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
167,0.0083330003544688,-0.00037315348207386687,3,5,2,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
