node,x_mm,y_mm,z_mm
58,-7.371723786367021,-3.278264548693493,-9.533268772675777
59,-7.429849883884254,-3.2711022998318864,-9.547417927734815
60,-7.487975923898606,-3.263940058055737,-9.5615670687964
61,-7.54610202141584,-3.256777809194131,-9.575716223855437
62,-7.604228061430192,-3.2496155674179814,-9.589865364917022
63,-7.6623541589474256,-3.242453318556375,-9.60401451997606
64,-7.720480198961777,-3.2352910767802254,-9.618163661037645
65,-7.778606296479011,-3.228128827918619,-9.632312816096682
66,-7.836732336493363,-3.2209665861424694,-9.646461957158268
67,-7.8948584340105965,-3.2138043372808633,-9.660611112217305
68,-7.967434259180417,-3.210110411809453,-9.617154913770301
69,-7.982608483312879,-3.2221274743556094,-9.560900725035372
70,-7.998183767162938,-3.2424372053518242,-9.507196661644349
71,-8.013828144162398,-3.2706066947546417,-9.457187336938585
72,-8.029208193205154,-3.306035601671619,-9.411938586778335
73,-8.043996103608094,-3.347968780321158,-9.37241483721322
74,-8.05787669632818,-3.3955125147200373,-9.339458478580914
75,-8.07055414120354,-3.447653498675136,-9.313771878031078
76,-8.081758236162047,-3.503280427629305,-9.295902513640138
77,-8.091250179887016,-3.561207718493457,-9.28623126663161
78,-8.098827672559379,-3.6202007416222917,-9.284964239364761
79,-8.104329212864757,-3.6790021705774087,-9.292128440964522
80,-8.107637543004952,-3.7363587522431776,-9.307571185812632
81,-8.108682157920988,-3.791048032978576,-9.330963314093845
82,-8.107440781562854,-3.8419044059339096,-9.361806312190367
83,-8.103939888182731,-3.8878439532738924,-9.3994427461984
84,-8.098254074520481,-3.9278875511603704,-9.443070536705903
85,-8.090504534541113,-3.9611817193541228,-9.491759778708257
86,-8.080856442054307,-3.987016914289645,-9.544472753945845
87,-8.0695154167412,-4.0048424354390875,-9.600085994352911
88,-8.056723180116386,-4.014278400455991,-9.657414189558455
89,-8.042752375324978,-4.015123687992065,-9.715235488284707
90,-8.027900764886429,-4.007360282267248,-9.772317533781727
91,-8.01248488635,-3.991153656927005,-9.827443721315484
92,-7.996833300587374,-3.966849190035445,-9.87943912011789
93,-7.98127959771283,-3.9349649578495765,-9.927195557978951
94,-7.966155268460743,-3.896180453815747,-9.969695195916076
95,-7.951782677082243,-3.8513223211915406,-10.006032174101367
96,-7.938468132464334,-3.801346637556603,-10.035432108860732
97,-7.926495427846793,-3.7473185483671254,-10.057268322723893
98,-7.916119728864183,-3.690389569755334,-10.071075463701767
99,-7.9075621811397925,-3.631773041027513,-10.076559231959335
100,-7.901005172609874,-3.5727182746749166,-10.073602757479033
101,-7.896588452550434,-3.514483913218103,-10.062269056809274
102,-7.894406162479071,-3.458311130296474,-10.042799664899624
103,-7.894504806734911,-3.4053971437074098,-10.015609564555128
104,-7.896882280984392,-3.3568697335951256,-9.98127827863193
105,-7.901487922495036,-3.3137631703083,-9.940537478280197
