nose_axial_x_mm,old_L1800_envelope_mm,current_FreeCAD_mm,HeadClearance_candidate_mm,current_minus_old_um,candidate_minus_old_um
0.2975,0.40230138884825223,0.390713418690363,0.3733325858751062,-11.587970157889204,-28.968802973146023
0.3025,0.40159167037292937,0.39214774329425695,0.375291999457229,-9.44392707867242,-26.299670915700347
0.3075,0.4008819518976065,0.39351448211853535,0.377187470305672,-7.367469779071156,-23.69448159193449
0.3125,0.4001722334222836,0.39481432518419035,0.37901980140325875,-5.357908238093234,-21.152432019024836
0.3175,0.3994625149469607,0.3960479200496602,0.3807897562525546,-3.4145948973005047,-18.6727586944061
0.3225,0.39875279647163786,0.39721587356129917,0.38249806071899867,-1.5369229103386894,-16.254735752639192
0.3275,0.39804307799631494,0.3983187534613792,0.384145404741485,0.2756754650642401,-13.897673254829934
0.3325,0.3973333595209921,0.39935708986422835,0.3857324439208561,2.023730343236274,-11.600915600135986
0.3375,0.39662364104566916,0.40033137661000984,0.38725980099575485,3.707735564340675,-9.363840049914307
0.3425,0.3959139225703463,0.4012420725046585,0.3887280672143801,5.328149934312187,-7.18585535596622
0.34750000000000003,0.39520420409502344,0.40208960245360426,0.39013780360987865,6.885398358580819,-5.066400485144785
0.35250000000000004,0.3944944856197005,0.40287435849611614,0.39148954218638354,8.379872876415618,-3.0049434333169756
0.3575,0.39378476714437766,0.40359670074637805,0.3927837870220555,9.811933602000389,-1.000980122322137
0.3625,0.3930750486690548,0.4042569582467547,0.394021015294901,11.181909577699933,0.9459666258462285
0.3675,0.3923653301937319,0.4048554297381118,0.39520167823661073,12.490099544379907,2.8363480428788557
0.3725,0.391655611718409,0.4053923843515106,0.39632620201918595,13.73677263310158,4.670590300776933
0.3775,0.3909458932430861,0.40586806222509925,0.39739498857869054,14.922168982013151,6.449095335604449
0.3825,0.39023617476776323,0.4062826750495626,0.39840841638007235,16.046500281799382,8.172241612309117
0.3875,0.4056607414666913,0.4066364065450669,0.39936684112664567,0.9756650783755982,-6.293900340045622
0.3925,0.4056607414666913,0.40692941287223827,0.40027059641750007,1.2686714055469839,-5.3901450491912195
0.3975,0.4056607414666913,0.40716182297934095,0.40111999435580814,1.5010815126496602,-4.540747110883148
0.4025,0.4056607414666913,0.40733373888746943,0.4019153261107324,1.672997420778144,-3.745415355958903
0.40750000000000003,0.4056607414666913,0.4074452359152353,0.4026568624353861,1.784494448544005,-3.0038790313051678
0.41250000000000003,0.4056607414666913,0.40749636284410556,0.40334485414307336,1.835621377414276,-2.3158873236179267
0.4175,0.4056607414666913,0.4075,0.4039795325438244,1.8392585333086853,-1.6812089228668836
0.4225,0.4056607414666913,0.4075,0.4045611098430495,1.8392585333086853,-1.0996316236417947
