time_s,V1,V2,V3,dU1_dt,dU2_dt,dU3_dt,V_vs_dU_abs_mm_s,VR1_direct,VR2_direct,VR3_direct
0.001600099960342,226.06201171875,-22.92154693603516,84.39860534667969,226.06212220243265,-22.92164478110351,84.39872739067641,0.0001915072809800711,502.0576477050781,-158.65892028808594,766.99462890625
0.0016499999910593,226.03561401367188,-22.94359016418457,84.41001892089844,226.03540216047236,-22.94363153703489,84.41001014853975,0.00021603343529598494,521.1760864257812,-220.75120544433597,741.5810546875
0.0017001000232994,226.00863647460935,-22.96595001220703,84.42176818847656,226.00831613961623,-22.96595721876588,84.42173515984791,0.00032211385039761556,540.5172729492188,-284.037841796875,719.2244262695312
0.0017501000547781,225.98146057128903,-22.98826789855957,84.43368530273438,225.98159469713255,-22.988257206115122,84.43374976525502,0.00014919613545436706,559.857666015625,-348.0349426269531,700.1363525390625
0.0018000999698415,225.95420837402344,-23.01036262512207,84.44568634033203,225.9544746324052,-23.01031088512491,84.44574517849958,0.00027754726287579167,579.0849609375,-412.7560424804688,684.3096923828125
0.0018501000013202,225.9270782470703,-23.032001495361328,84.4576644897461,225.92694241253935,-23.03184721639923,84.45754813431108,0.000236202466553394,598.006103515625,-478.0827331542969,671.7552490234375
0.0019000000320374,225.9003448486328,-23.05291175842285,84.46949005126953,225.9004353264179,-23.052737978886398,84.46948818039448,0.00019593125594516441,616.3502197265625,-543.7554321289062,662.4661865234375
0.0019500999478623,225.87384033203125,-23.073183059692383,84.48120880126953,208.77184297886697,16.198236774246197,201.91101078439812,124.99792447492035,633.9514770507812,-610.030517578125,656.3372192382812
0.0020000000949949,155.5135955810547,138.41900634765625,567.5700073242188,173.6521534373569,96.77133002562414,442.9740354485749,132.61859760896058,667.9609375,6.70233964920044,365.4766845703125
0.0020500998944044,155.50015258789062,138.39109802246094,567.558349609375,155.50030905753465,138.39126679012145,567.5585875252659,0.0003310124527696769,699.0038452148438,-68.96784973144531,344.4115295410156
0.0021001000422984,155.48728942871094,138.3637237548828,567.5465087890625,171.76151281104967,112.54133046129459,484.371823872212,88.59838911133974,727.841552734375,-145.67079162597656,325.615966796875
0.0021500000730156,240.6962890625,3.021989345550537,131.72628784179688,214.28822474484014,44.96862375976821,266.8145930201806,143.8949484716327,1031.90673828125,499.324951171875,209.60650634765625
0.0022001001052558,240.67269897460935,3.002798795700073,131.73492431640625,240.6730603524261,3.002767371524669,131.734940014478,0.0003630810304768711,1071.8157958984375,406.9175109863281,172.81028747558594
0.0022501000203192,240.6495819091797,2.983680248260498,131.7432403564453,240.64968355774818,2.9837201959369395,131.74323662084782,0.00010928038715819848,1106.5096435546875,312.1154479980469,137.38113403320312
0.0023000000510364,240.6271209716797,2.9648473262786865,131.75112915039062,240.627205263399,2.9648890420621683,131.75112635330055,9.409104233464186e-05,1135.9005126953125,215.18313598632807,103.48185729980467
0.0023499999660998,240.6051788330078,2.94619083404541,131.75865173339844,240.6055217556359,2.946311484256512,131.75863061056054,0.000364140874618507,1159.9730224609375,115.99105072021484,71.1220703125
0.00240009999834,240.5840606689453,2.9281108379364014,131.765625,240.5841213302897,2.9282645640644205,131.7654599919009,0.00023353627962754568,1178.5452880859375,14.802023887634276,40.43242645263672
0.0024500000290572,240.5641632080078,2.911013603210449,131.77183532714844,240.56455519340034,2.9111889394521313,131.77178726076556,0.0004320945761787128,1191.3590087890625,-87.47821807861328,11.6870756149292
0.0024999999441206,240.5455017089844,2.8950109481811523,131.77725219726562,240.54597293239613,2.895248454481589,131.77709187156836,0.0005515116278972051,1198.3306884765625,-191.1391143798828,-15.221454620361328
0.0025500999763607,240.52825927734372,2.88032865524292,131.78175354003906,240.52867026769445,2.880630686027871,131.78164127909633,0.0005222434132791953,1199.2362060546875,-295.83349609375,-40.23579025268555
0.0026000998914241,240.5126495361328,2.867243528366089,131.78521728515625,270.6744217014111,84.21187005201,49.09129961741053,119.8539310313232,1193.8780517578125,-400.7525329589844,-63.23543930053711
0.0026499999221414,353.2919311523437,307.15008544921875,-177.56283569335938,326.97108666660324,236.11984810237232,-105.35087036263144,104.6549062821143,1120.561279296875,69.05968475341797,487.9936828613281
0.0027000999543815,353.2660827636719,307.1214904785156,-177.54513549804688,353.2655270480668,307.120984355307,-177.54483952454405,0.0008078247646739715,1125.603515625,-16.28890609741211,448.1927795410156
0.0027501001022756,353.24029541015625,307.0928649902344,-177.5275115966797,353.2403239600885,307.09308468581503,-177.5276518524795,0.000262207811040447,1126.2939453125,-102.61343383789062,411.07720947265625
0.0027999999001622,353.2147521972656,307.0644836425781,-177.51010131835938,353.2153946767735,307.06493582584017,-177.51045794675377,0.0008628055587341132,1122.7095947265625,-189.72091674804688,376.8174133300781
0.0028500999324023,353.1893920898437,307.0363464355469,-177.49290466308594,353.1890133631596,307.03583603507764,-177.49266401237156,0.0006795993721240107,1114.84521484375,-277.9421691894531,345.366455078125
