time_s,s_COM_mm,Vt_direct_mm_s,Vt_from_s_mm_s,projection_residual_mm
0.0019000000320374,13.65089538628727,-239.85512345409816,-239.85519830766134,0.36742685509529477
0.0019500999478623,13.638879192362266,-239.83333417810468,-245.54193925013533,0.36834262847961535
0.0020000000949949,13.626343448668063,-263.3174391447491,-257.2520603502053,0.3705720074975895
0.0020500998944044,13.613151585258484,-263.3039039425612,-263.3040950197319,0.37565459200452445
0.0021001000422984,13.599986721117373,-263.2908544852288,-263.1519963245664,0.3826022065737783
0.0021500000730156,13.586862624917329,-262.50273824770926,-262.75085673856665,0.38829977503651775
0.0022001001052558,13.573711721876636,-262.483043892559,-262.4834014947701,0.38968326780724427
0.0022501000203192,13.560588048358454,-262.46373588817687,-262.4638311137387,0.3911012281515552
0.0023000000510364,13.547491597366324,-262.44495376215775,-262.4450321572367,0.39255301720466573
0.0023499999660998,13.534369805622081,-262.42658499255174,-262.4269054571341,0.39404402869532396
0.00240009999834,13.521222679838145,-262.40885777563904,-262.40886997731286,0.39557404351654957
0.0024500000290572,13.508128898654054,-262.3920824352046,-262.39244083542144,0.3971333334986974
0.0024999999441206,13.495009690789633,-262.3762589961441,-262.3766658063687,0.3987306727240702
0.0025500999763607,13.481865009824057,-262.3615228039766,-262.36187653130037,0.40036577408802165
0.0026000998914241,13.468747279406934,-262.34803514905593,-267.9122018223279,0.4020316031223729
0.0026499999221414,13.455101704423303,-283.11329562799034,-437.9279676360602,0.39184098330682776
0.0027000999543815,13.424888534842447,-264.8512974825304,-433.7804246429587,0.37104330015616477
0.0027501001022756,13.411646423349577,-264.8337571216231,-264.8337271113123,0.3498747291276376
0.0027999999001622,13.398431658315403,-264.81637465846376,-264.8168600338686,0.3287597831470489
0.0028500999324023,13.385164786008438,-264.79909119213954,-264.79883917298866,0.3075734755943226
0.0029001000802963,13.3719252450545,-264.782099454117,-264.7817027964047,0.2864451697028785
0.0029500001110136,13.35871304493918,-264.7654130368984,-308.73045177193126,0.2653780383066553
0.003000000026077,13.341074299627511,-381.5360046790589,-367.13793215653277,0.2639457654143903
0.0030501000583171,13.321959678546751,-381.52289660041055,-381.5229088391934,0.26899984793488385
0.0031000999733805,13.302883875315713,-381.5093424659015,-381.5096390481922,0.2741067466319555
0.0031500000040978,13.283846884879337,-381.4954273382126,-381.49538722622674,0.27926268713462515
0.0032001000363379,13.264734315457835,-381.4812160740961,-381.48121354565956,0.28449566901139706
0.0032500999514013,13.245660634115389,-381.4668541655975,-381.4669818262628,0.2897715145629149
0.0032999999821186,13.2266257832008,-381.45236544812616,-381.4520990906167,0.29508705533605595
0.0033501000143587,13.207515403238917,-381.43792749528546,-381.4380109072663,0.3004717700845672
0.0034000999294221,13.188443857118525,-381.42370336835177,-381.42379295348655,0.3058909971085297
0.0034501000773161,13.169372999933742,-381.40981457158966,-381.4098421954841,0.31135311675644944
0.0035000999923795,13.150302848883529,-381.3963098784677,-381.3966620232968,0.3168558554078577
0.0035500999074429,13.131233398520482,-381.38321522542435,-381.3827741756395,0.32239715803743935
0.0036001000553369,13.112164547458304,-381.37078687269855,-381.3701911336975,0.32797499406749675
0.0036500000860542,13.093134447168598,-381.3590678632492,-380.76598726135853,0.3335762250571855
0.0037000998854637,13.074088253021182,-379.8003771196282,-379.97667569578334,0.3182655288630048
0.0037501000333577,13.055098764443095,-379.78071772406423,-379.77963687056035,0.2983245739601421
