time_s,Jmag_x_Nmm_s,Jmag_y_Nmm_s,Jmag_z_Nmm_s,Jmag_norm_Nmm_s,Jhydro_norm_Nmm_s
0.0011500000255182,1.326294768321127e-07,-6.396759349892373e-06,-3.5504908688690287e-06,7.3172471714766205e-06,8.842574884845656e-10
0.0012001000577583,1.5139831957099265e-07,-6.877085120928664e-06,-3.7952262939720517e-06,7.856269078520933e-06,9.141051913475534e-10
0.0012499999720603,1.747066658151115e-07,-7.35397981503022e-06,-4.034903883537151e-06,8.389993497514485e-06,9.576792743487995e-10
0.0013001000043004,2.0485218639021482e-07,-7.833200850112857e-06,-4.272123659144662e-06,8.924799187404791e-06,9.472031259088731e-10
0.0013501000357791,2.45448342322279e-07,-8.315753894943833e-06,-4.506833143971004e-06,9.461688682133747e-06,8.885073433862819e-10
0.0013999999500811,2.981208095780094e-07,-8.802457203745512e-06,-4.739212718561787e-06,1.0001613171516508e-05,8.517782055966174e-10
0.0014500999823212,3.632976091266869e-07,-9.295030432132439e-06,-4.970050391580038e-06,1.0546609729287901e-05,8.368347794956895e-10
0.0015000000130385,4.404290955478796e-07,-9.788343301458314e-06,-5.196945183804345e-06,1.1091162320463808e-05,8.42606599386811e-10
0.0015501000452786,5.300571032656537e-07,-1.0285221857332065e-05,-5.421215724597586e-06,1.1638570750736008e-05,8.669812728914099e-10
0.001600099960342,6.315573257833415e-07,-1.078162524295881e-05,-5.641058647641189e-06,1.2184574272476024e-05,9.072524604513289e-10
0.0016499999910593,7.446844242594329e-07,-1.1276515431474349e-05,-5.856086198503796e-06,1.2728240284199555e-05,9.607890005249866e-10
0.0017001000232994,8.699250594656588e-07,-1.1771829234471836e-05,-6.067187495084615e-06,1.3271906315038665e-05,1.0258293081459108e-09
0.0017501000547781,1.0062756173256649e-06,-1.2263543886239752e-05,-6.272708427945022e-06,1.3811371050325346e-05,1.10045740711067e-09
0.0018000999698415,1.1536173836801597e-06,-1.2751551856622439e-05,-6.472701844663592e-06,1.4346734018234662e-05,1.1837772555249159e-09
0.0018501000013202,1.3115180336711215e-06,-1.3234693674283938e-05,-6.666790895912127e-06,1.487693843015399e-05,1.2752248075194605e-09
0.0019000000320374,1.479112235795588e-06,-1.3710771772876343e-05,-6.854215718328968e-06,1.5399782749356264e-05,1.3743657046818164e-09
0.0019500999478623,1.6568193735595373e-06,-1.418127000985313e-05,-7.035674411154409e-06,1.591710350373883e-05,1.48182111939546e-09
0.0020000000949949,1.8394421604262149e-06,-1.4643559545748452e-05,-7.210786742252226e-06,1.642598030784387e-05,1.5441630520209676e-09
0.0020500998944044,2.0219069726203046e-06,-1.5104987685810583e-05,-7.3834104429587116e-06,1.6934093142640137e-05,1.5626079088530144e-09
0.0021001000422984,2.199676300961697e-06,-1.556423189463707e-05,-7.553567900993656e-06,1.7439618067319367e-05,1.5901991946052975e-09
0.0021500000730156,2.3695360304922646e-06,-1.6022604987635516e-05,-7.722195655837238e-06,1.7943546955288275e-05,1.5779691345147643e-09
0.0022001001052558,2.5259367718473255e-06,-1.6486816227290846e-05,-7.89267633634078e-06,1.8452365854764126e-05,1.5293245062398781e-09
0.0022501000203192,2.663792329746371e-06,-1.6955875721960414e-05,-8.065117893431144e-06,1.8964272664922467e-05,1.4957188296994599e-09
0.0023000000510364,2.782584784859552e-06,-1.742858849504351e-05,-8.238998982075667e-06,1.9477668732195304e-05,1.4777601535276252e-09
0.0023499999660998,2.882419880496944e-06,-1.790548130611531e-05,-8.414413844952728e-06,1.999292288599296e-05,1.47580404140468e-09
0.00240009999834,2.9628440339948523e-06,-1.8385181778501723e-05,-8.590776521336128e-06,2.050840791085136e-05,1.4900398713285118e-09
0.0024500000290572,3.0231274233159505e-06,-1.8863384563635533e-05,-8.766442562312823e-06,2.1019445563847255e-05,1.5200752615171038e-09
0.0024999999441206,3.0634162839905483e-06,-1.934147988216711e-05,-8.941880622842113e-06,2.1527531034339558e-05,1.5654656733583592e-09
0.0025500999763607,3.0833496503538163e-06,-1.9817915689332627e-05,-9.116497813868719e-06,2.203105443972454e-05,1.625478430575053e-09
0.0026000998914241,3.082649157411121e-06,-2.0289167748181175e-05,-9.289001189739109e-06,2.25263977778183e-05,1.69889701138574e-09
0.0026499999221414,3.0639857084134423e-06,-2.0756763752295968e-05,-9.45965558661064e-06,2.301556720368376e-05,1.754238311011856e-09
0.0027000999543815,3.0318493920433613e-06,-2.1227473244478146e-05,-9.63038420691017e-06,2.3506212605474622e-05,1.7899104888120892e-09
0.0027501001022756,2.9886242213811836e-06,-2.1699673870024096e-05,-9.80031058512195e-06,2.3996954147701457e-05,1.8343775276979328e-09
0.0027999999001622,2.9347022286893545e-06,-2.217234668773337e-05,-9.969012985370231e-06,2.448686698445915e-05,1.8862755050835125e-09
0.0028500999324023,2.8698957841435266e-06,-2.264718855426694e-05,-1.0137062605754636e-05,2.497781995085546e-05,1.944832836856419e-09
0.0029001000802963,2.7947244242857925e-06,-2.312021496700464e-05,-1.03030317413136e-05,2.5465806246626486e-05,2.008836853279989e-09
0.0029500001110136,2.709410446622852e-06,-2.359028421315372e-05,-1.0466531840041065e-05,2.5949772696195858e-05,2.077592949823785e-09
0.003000000026077,2.6169029440383265e-06,-2.406205175520994e-05,-1.0628785358434853e-05,2.6434855662261472e-05,2.128301898011748e-09
0.0030501000583171,2.521459931358926e-06,-2.4539421181719428e-05,-1.0790593224202662e-05,2.6925412796268827e-05,2.1621445526400246e-09
0.0031000999733805,2.424778366756654e-06,-2.5020542995675957e-05,-1.0951157164459167e-05,2.7419609135927625e-05,2.2011752480543634e-09
0.0031500000040978,2.3272595795169516e-06,-2.5504388646995048e-05,-1.1110093795187131e-05,2.7916378016234104e-05,2.244433168657805e-09
0.0032001000363379,2.228607103535208e-06,-2.5992845096617656e-05,-1.1267981660526505e-05,2.841763706821258e-05,2.2914845781151356e-09
0.0032500999514013,2.129660253850719e-06,-2.6481995330829857e-05,-1.142352797316227e-05,2.8919345097227682e-05,2.341574146430282e-09
0.0032999999821186,2.0306342153946265e-06,-2.69708442560126e-05,-1.1576426725121038e-05,2.9420461772734223e-05,2.3944077815855702e-09
0.0033501000143587,1.9311133912530824e-06,-2.746132745674887e-05,-1.1727284783729415e-05,2.9922949604197744e-05,2.450223542392316e-09
0.0034000999294221,1.8318447216928042e-06,-2.7949471215646712e-05,-1.1874895470661384e-05,3.0422717478190406e-05,2.5087738377519633e-09
0.0034501000773161,1.7327559566136557e-06,-2.8435169788463804e-05,-1.2019271863507255e-05,3.09196413341559e-05,2.570388172136339e-09
0.0035000999923795,1.6339557093325323e-06,-2.891725720717683e-05,-1.2160119531225572e-05,3.141251474587436e-05,2.6354029410364835e-09
0.0035500999074429,1.535536888767181e-06,-2.939448285218137e-05,-1.2297140616086144e-05,3.190004957701077e-05,2.704245509392266e-09
0.0036001000553369,1.4375829929880721e-06,-2.9865489350779488e-05,-1.2430028966929412e-05,3.238085420648992e-05,2.7774063660608336e-09
0.0036500000860542,1.3403684342064162e-06,-3.0327874808986887e-05,-1.2558214363812487e-05,3.28524782318848e-05,2.8552496408826767e-09
0.0037000998854637,1.2423464728582044e-06,-3.078919921905134e-05,-1.2683823904338067e-05,3.332262898009868e-05,2.9128249812042345e-09
0.0037501000333577,1.1430495354910253e-06,-3.12529629378152e-05,-1.2807796046291005e-05,3.379487970383123e-05,2.9492255909011105e-09
0.0038000000640749,1.0425928900999404e-06,-3.171934471873226e-05,-1.2930158621179491e-05,3.426941539170339e-05,2.9898012603618497e-09
0.0038501000963151,9.406820035201919e-07,-3.219007917557142e-05,-1.3051330781978559e-05,3.474799728246111e-05,3.0343580842258225e-09
0.0039001000113785,8.382133847006618e-07,-3.266122958283114e-05,-1.3170277363944427e-05,3.5226619556578544e-05,3.082323631736776e-09
0.0039500999264419,7.352418166399801e-07,-3.313261175492427e-05,-1.3286958380091012e-05,3.570509494772074e-05,3.1335943985387584e-09
0.0040000001899898,6.322021710146041e-07,-3.360215312101389e-05,-1.3400881615635122e-05,3.618132117584108e-05,3.187988389576631e-09
0.0040500001050531,5.304637364300423e-07,-3.407230469387926e-05,-1.3512480840376871e-05,3.665774784939421e-05,3.222085398004766e-09
0.0041001001372933,4.343952559772907e-07,-3.454635871500469e-05,-1.3622061229083604e-05,3.7137584087189876e-05,3.2371133092387923e-09
0.0041499999351799,3.4771538912164663e-07,-3.502327918190742e-05,-1.3729054884043306e-05,3.761964830583528e-05,3.256923890543711e-09
0.0042000999674201,2.7036187013512097e-07,-3.550590499563599e-05,-1.3834026708115066e-05,3.8106727490835426e-05,3.2816150871401532e-09
0.0042500998824834,2.030670690500078e-07,-3.5990003293194465e-05,-1.3936020891721033e-05,3.859448472998656e-05,3.3110872656932742e-09
0.0043000001460313,1.4595435311705934e-07,-3.647420780962757e-05,-1.403475865812606e-05,3.908149931367699e-05,3.3454359444156623e-09
0.0043501001782715,9.884133592324365e-08,-3.696003941442213e-05,-1.413054460471519e-05,3.956926299479395e-05,3.3850893755793058e-09
0.0044001000933349,6.211748409449254e-08,-3.7443163896171165e-05,-1.4222533774606897e-05,4.005339995689754e-05,3.4301031639911427e-09
0.0044499998912215,3.5745524192296015e-08,-3.7922111911693346e-05,-1.4310500721742512e-05,4.053243491936411e-05,3.4807778769775603e-09
0.0045000999234616,1.9568827789930333e-08,-3.839819782043352e-05,-1.439472792073718e-05,4.100768428853569e-05,3.537811496204738e-09
0.0045500001870095,1.3753516332009478e-08,-3.8870124192562876e-05,-1.4474996052857084e-05,4.147785257983712e-05,3.5779000549986316e-09
0.0046000001020729,1.8319919611079686e-08,-3.934404844813978e-05,-1.4552363320684572e-05,4.1949085355061446e-05,3.60125810915602e-09
0.0046501001343131,3.333859910553499e-08,-3.981926566754278e-05,-1.4626689316118942e-05,4.2420691532727393e-05,3.6311459315897403e-09
0.0046999999321997,5.8633794845966805e-08,-4.02914797279809e-05,-1.469731281516916e-05,4.288843411199725e-05,3.667446881623069e-09
0.004749999847263,9.421516597592589e-08,-4.076206153493011e-05,-1.4764464704300807e-05,4.335370751250085e-05,3.7104854984912886e-09
0.0048000998795032,1.3997404603793833e-07,-4.1229487907134956e-05,-1.4827939765651193e-05,4.381504380360622e-05,3.760463034166576e-09
0.0048500001430511,1.9537674551972464e-07,-4.168943091148729e-05,-1.4887207144450666e-05,4.4268225154823466e-05,3.817244887364566e-09
0.0049000000581145,2.566240993336469e-07,-4.214886458717648e-05,-1.4943615980518584e-05,4.472028958414412e-05,3.836140594651574e-09
0.0049501000903546,3.186552003660375e-07,-4.26136492770373e-05,-1.499841321784198e-05,4.517717393658216e-05,3.81673405326978e-09
0.0049999998882412,3.798694894965315e-07,-4.30812842432976e-05,-1.5051396461151125e-05,4.563645350278224e-05,3.8041139973602256e-09
0.0050500999204814,4.3919524455839733e-07,-4.355586870280499e-05,-1.5103136897912468e-05,4.6102183625896884e-05,3.7881170489220015e-09
0.0051000998355448,4.942866137081149e-07,-4.403537696398814e-05,-1.5153564366159202e-05,4.657240874827453e-05,3.7691407613472875e-09
0.0051500000990927,5.445411199010115e-07,-4.4519069636944227e-05,-1.5202624236828055e-05,4.70464012444793e-05,3.756935943707797e-09
0.0052001001313328,5.901277138344509e-07,-4.5008627446785324e-05,-1.525044857108894e-05,4.7525792754898697e-05,3.751195111957932e-09
0.0052501000463962,6.303888510288939e-07,-4.550001793630432e-05,-1.5296643848399946e-05,4.800662803543182e-05,3.751766377212015e-09
0.0052999998442828,6.625715444362467e-07,-4.599312251627231e-05,-1.5341471327520952e-05,4.848883440897997e-05,3.748216798580535e-09
0.005350099876523,6.83861856505569e-07,-4.649084674770896e-05,-1.5385484368918173e-05,4.897529609531697e-05,3.74086314638049e-09
0.0054000997915863,6.935735843121855e-07,-4.69891010875273e-05,-1.5428372315193594e-05,4.9462019142236267e-05,3.739950899573351e-09
0.0054500000551342,6.917588993051926e-07,-4.748657074019784e-05,-1.547004715276677e-05,4.9947725573317237e-05,3.745261494805343e-09
0.0055001000873744,6.783701549823441e-07,-4.7984922997552236e-05,-1.5510678643801134e-05,5.0434057670778945e-05,3.756716350835184e-09
0.0055501000024378,6.534667113778595e-07,-4.84798392129867e-05,-1.5549959973024595e-05,5.091682515654908e-05,3.77418942889726e-09
0.0055999998003244,6.17149712146629e-07,-4.896997067460929e-05,-1.5587854306785892e-05,5.1394747820461964e-05,3.7976199835687205e-09
0.0056500998325645,5.692203568263262e-07,-4.945683688009464e-05,-1.5624555728209752e-05,5.1869349983423225e-05,3.827189577444152e-09
0.0057001002132892,5.087661381595152e-07,-4.9937524833084876e-05,-1.5660045023157443e-05,5.2337866211430746e-05,3.848538997852771e-09
0.0057500000111758,4.345846882748648e-07,-5.0413241599175555e-05,-1.5694618162280555e-05,5.2801560882685225e-05,3.861588353035589e-09
0.005800100043416,3.515924862895979e-07,-5.08912749207601e-05,-1.5728174736302036e-05,5.326744747847836e-05,3.857503417459778e-09
0.0058499998413026,2.6729512781518045e-07,-5.137214256109616e-05,-1.5759922472726176e-05,5.373586915970822e-05,3.835483125425757e-09
0.0059000002220273,1.82726519016626e-07,-5.185849060472403e-05,-1.5789852016732324e-05,5.420937062437922e-05,3.818027870979214e-09
