time_s,Krot_J,Wmag_J,Whydro_J,Wnonmag_resolved_J,Fhydro_power_W,Thydro_power_W
0.001600099960342,1.4076523122685276e-06,1.6614927567379689e-06,-1.086032111226998e-09,-2.538404444694413e-07,-0.00024558943844554197,-0.0012906783224399658
0.0016499999910593,1.3995638322323562e-06,1.6510931958869095e-06,-1.1503335055851836e-09,-2.5152936365455333e-07,-0.00024821373835182673,-0.0012865302858061484
0.0017001000232994,1.4471455837211217e-06,1.6883851967562421e-06,-1.2158021531983901e-09,-2.4123961303512045e-07,-0.00025167509917042543,-0.0013269868991510946
0.0017501000547781,1.5500835200522375e-06,1.7728422673666915e-06,-1.284268723337179e-09,-2.2275874731445397e-07,-0.00025597093914826524,-0.0014116741822106493
0.0018000999698415,1.7072902600201202e-06,1.9038036881460337e-06,-1.3580558185064368e-09,-1.965134281259135e-07,-0.0002611668495270175,-0.0015398146383481682
0.0018501000013202,1.917278258058961e-06,2.080120948527182e-06,-1.4393083784211987e-09,-1.6284269046822077e-07,-0.0002673624265017454,-0.001710285712063633
0.0019000000320374,2.179003843877708e-06,2.2998448506720514e-06,-1.5299270397024414e-09,-1.2084100679434333e-07,-0.0002746760970545606,-0.0019217225243564331
0.0019500999478623,1.6475521452553398e-06,2.5311172862090562e-06,-1.6227458683570032e-09,-8.835651409537164e-07,-0.0002833172476648335,-0.0017836261624144263
0.0020000000949949,7.84790733033726e-07,2.7046213116053772e-06,-1.6832884507013427e-09,-1.919830578571651e-06,-0.002554359733653604,-0.0006429230893727186
0.0020500998944044,6.802628575918992e-07,2.817987242412114e-06,-1.7166985235739952e-09,-2.137724384820215e-06,-0.0025475228823053403,-0.0006908176946798913
0.0021001000422984,8.321404193326445e-07,2.9121453034130134e-06,-1.7536504715866417e-09,-2.080004884080369e-06,-0.0025329742436827653,-0.0007872558538617715
0.0021500000730156,1.5691043474450706e-06,2.9536115854284983e-06,-1.8170377135735159e-09,-1.3845072379834276e-06,-0.00031810689340936154,-0.0017533134033441335
0.0022001001052558,2.376551221818373e-06,2.919369736155222e-06,-1.9146908404433644e-09,-5.428185143368491e-07,-0.00031351036864965244,-0.0021450125059750275
0.0022501000203192,2.3309597558520724e-06,2.87410334012442e-06,-2.0211026427523754e-09,-5.431435842723474e-07,-0.00031066727597068965,-0.00211146681700306
0.0023000000510364,2.3238711057452416e-06,2.861698622794859e-06,-2.126395902398809e-09,-5.378275170496174e-07,-0.0003095187857882182,-0.0021087013124782713
0.0023499999660998,2.355116351406461e-06,2.8820065484326955e-06,-2.2325272461314246e-09,-5.268901970262346e-07,-0.0003100445750490264,-0.0021365596483869874
0.00240009999834,2.4242034951039797e-06,2.9346906777238235e-06,-2.341025659117461e-09,-5.104871826198438e-07,-0.00031227365424780183,-0.002194711535865002
0.0024500000290572,2.530488052896494e-06,3.0187323695794446e-06,-2.452727727432002e-09,-4.882443166829505e-07,-0.0003162388496579548,-0.002282322514378089
0.0024999999441206,2.672391796722468e-06,3.133628547051032e-06,-2.569747344606736e-09,-4.612367503285637e-07,-0.00032203953224746055,-0.0023984701240235095
0.0025500999763607,2.8485429327772648e-06,3.278114190800309e-06,-2.693507114337232e-09,-4.295712580230442e-07,-0.00032979274080611543,-0.002542036466367042
0.0026000998914241,2.3510422843352104e-06,3.4002672147477765e-06,-2.8162424636914895e-09,-1.049224930412566e-06,-0.0003395915791886163,-0.0023673858475960086
0.0026499999221414,1.818995544206642e-06,3.411549666848848e-06,-2.919368558955339e-09,-1.592554122642206e-06,-0.002909738807999624,-0.0017659220394509166
0.0027000999543815,1.7622980172851576e-06,3.324234600852691e-06,-3.007463794404678e-09,-1.5619365835675335e-06,-0.0029064607206912953,-0.0017508515636936862
0.0027501001022756,1.6620249284479618e-06,3.2307417898058452e-06,-3.093057636885472e-09,-1.5687168613578835e-06,-0.002906050219404862,-0.001672892008508604
0.0027999999001622,1.6028358758295768e-06,3.1728543292123367e-06,-3.1754066936003307e-09,-1.57001845338276e-06,-0.0029084693946022254,-0.0016276847554294494
