time_s,H_x_kgm2_s,H_y_kgm2_s,H_z_kgm2_s,Krot_J
0.0026000998914241,4.086710577966804e-09,-4.998271673950407e-10,-2.6155923135319634e-09,2.3510318691639935e-06
0.0026499999221414,3.500383790143421e-09,1.132795080626368e-09,-8.266111271190273e-10,1.8190040962699785e-06
0.0027000999543815,3.1844146277177135e-09,1.544928666011682e-09,-6.420311069620136e-11,1.76230277204255e-06
0.0027501001022756,3.14539891432099e-09,9.818003629698224e-10,-2.730673884657838e-10,1.6620267004552595e-06
0.0027999999001622,3.0911378121833185e-09,4.1547438586440483e-10,-4.785950661979637e-10,1.6028375869378996e-06
0.0028500999324023,3.022014526000882e-09,-1.501763286573706e-10,-6.791599095892037e-10,1.5853724637692265e-06
0.0029001000802963,2.9380944362723578e-09,-7.162499408638272e-10,-8.753795890089015e-10,1.6096799337052159e-06
0.0029500001110136,2.6157146691646193e-09,2.3931958981228567e-10,1.6392019549241413e-10,1.3605857016566784e-06
0.003000000026077,2.109987693080882e-09,1.574021993128091e-09,1.7159466713862553e-09,1.494287262098077e-06
0.0030501000583171,1.9066438449377745e-09,1.4756966754207948e-09,1.95900302585614e-09,1.4660583442014044e-06
0.0031000999733805,1.8073604077191121e-09,9.196396492178567e-10,1.7626916631958965e-09,1.306566086378448e-06
0.0031500000040978,1.704479025030487e-09,3.585071965078587e-10,1.5705955102431212e-09,1.194021721469117e-06
0.0032001000363379,1.5985009673629217e-09,-2.0502959263330337e-10,1.384069072428804e-09,1.129656890100636e-06
0.0032500999514013,1.489676448060019e-09,-7.713272406119515e-10,1.2026383709203802e-09,1.1137269258549796e-06
0.0032999999821186,1.377995275356658e-09,-1.339341667267537e-09,1.027093683922037e-09,1.1465221330970624e-06
0.0033501000143587,1.264120009669826e-09,-1.9062736535725494e-09,8.579837151097624e-10,1.2276195145416102e-06
0.0034000999294221,1.1475688370819636e-09,-2.4730844066659103e-09,6.952257380595008e-10,1.3566754791057707e-06
0.0034501000773161,1.0287778463148109e-09,-3.036843514783621e-09,5.39478786718788e-10,1.5323164303661982e-06
0.0035000999923795,9.07611139518408e-10,-3.5967265134968405e-09,3.9083370731585616e-10,1.753132675585412e-06
0.0035500999074429,7.840186878449063e-10,-4.151194934106135e-09,2.4949592645038506e-10,2.0171149234940952e-06
0.0036001000553369,6.582037026369228e-10,-4.6980687594438786e-09,1.1559225804476894e-10,2.321479831923882e-06
0.0036500000860542,1.162235226978579e-09,-2.36627276108112e-09,6.735738137887138e-10,1.3011723761105987e-06
0.0037000998854637,1.6448804227013591e-09,6.02793873155174e-10,1.6026804257694395e-09,1.166668453612035e-06
0.0037501000333577,1.6407305341891225e-09,7.33804749880823e-10,1.666703310932406e-09,1.1848087763207626e-06
