frame,time_s,min_signed_gap_mm,signed_node,signed_wall_element,min_unsigned_distance_mm,nearest_node,nearest_wall_element,CPRESS_max_MPa,CPRESS_active_values,CNORMF_max_N,CSHEARF_max_N,discrepancy_flag,contact_surface_name,geometric_wall_source
61,0.0030501000583171,0.0605005465176448,60,400,0.0605982284114037,60,400,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
62,0.0031000999733805,0.0798745086010562,56,411,0.0826861802982003,60,400,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
63,0.0031500000040978,0.0922461817596908,56,411,0.0925964159782033,56,411,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
64,0.0032001000363379,0.104056736536945,56,411,0.1044866880871624,56,411,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
65,0.0032500999514013,0.1151108413077029,56,411,0.1172624358371304,56,411,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
66,0.0032999999821186,0.1252832787273173,56,411,0.128986007759374,56,411,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
67,0.0033501000143587,0.1319535916582949,61,412,0.1388817783072603,56,411,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
68,0.0034000999294221,0.1334794040319692,61,412,0.1466583472293592,56,411,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
69,0.0034501000773161,0.1178790219940121,53,453,0.143885309074198,155,453,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
70,0.0035000999923795,0.0969572071560429,53,453,0.1194552741608568,52,453,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
71,0.0035500999074429,0.0729514160700043,53,453,0.088827211257257,52,453,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
