time_s,exact_gap_mm,nearest_node,nearest_wall_element,CPRESS_max_MPa,CNORMF_max_N,CSHEARF_max_N
0.0026000998914241,0.0081944059439659,55,441,0.0,0.0,0.0
0.0026499999221414,0.0164314828144178,55,441,0.0,0.0,0.0
0.0027000999543815,0.0475748000689593,54,441,0.0,0.0,0.0
0.0027501001022756,0.0705514275401358,54,453,0.0,0.0,0.0
0.0027999999001622,0.0809244840035252,58,400,0.0,0.0,0.0
0.0028500999324023,0.0630535975026869,57,400,0.0,0.0,0.0
0.0029001000802963,0.0426806166036892,57,400,0.0,0.0,0.0
0.0029500001110136,0.0184415972380136,57,400,0.0,0.0,0.0
0.003000000026077,0.0320931541342722,60,400,0.0,0.0,0.0
0.0030501000583171,0.0605681539337169,60,400,0.0,0.0,0.0
0.0031000999733805,0.0799995385388339,60,400,0.0,0.0,0.0
0.0031500000040978,0.0923724641302643,56,411,0.0,0.0,0.0
0.0032001000363379,0.1042211038824539,56,411,0.0,0.0,0.0
0.0032500999514013,0.115313389408897,56,411,0.0,0.0,0.0
0.0032999999821186,0.1255233117790153,56,411,0.0,0.0,0.0
0.0033501000143587,0.1322796840024246,56,411,0.0,0.0,0.0
0.0034000999294221,0.1338453733941279,56,411,0.0,0.0,0.0
0.0034501000773161,0.1179608305823385,155,453,0.0,0.0,0.0
0.0035000999923795,0.0970427424792226,52,453,0.0,0.0,0.0
0.0035500999074429,0.0730398053180012,52,453,0.0,0.0,0.0
0.0036001000553369,0.046099047164686,52,453,0.0,0.0,0.0
0.0036500000860542,0.0073693658141231,52,453,0.0,0.0,0.0
0.0037000998854637,0.0312735877754939,51,454,0.0,0.0,0.0
0.0037501000333577,0.0630972958659719,51,454,0.0,0.0,0.0
0.0038000000640749,0.0822325765185611,62,412,0.0,0.0,0.0
0.0038501000963151,0.0704561291971498,62,412,0.0,0.0,0.0
0.0039001000113785,0.055954181124181,62,412,0.0,0.0,0.0
0.0039500999264419,0.0395773973987617,62,412,0.0,0.0,0.0
0.0040000001899898,0.0184809738088577,64,412,0.0,0.0,0.0
0.0040500001050531,0.0053023242760629,62,412,0.0,0.0,0.0
0.0041001001372933,0.0283813650843012,66,412,0.0,0.0,0.0
0.0041499999351799,0.0488123727793931,66,412,0.0,0.0,0.0
0.0042000999674201,0.0666124598998993,66,412,0.0,0.0,0.0
0.0042500998824834,0.0772857978927945,66,412,0.0,0.0,0.0
0.0043000001460313,0.0706486956617245,14,413,0.0,0.0,0.0
0.0043501001782715,0.060034627127571,14,413,0.0,0.0,0.0
0.0044001000933349,0.0462195823023824,14,413,0.0,0.0,0.0
0.0044499998912215,0.0293955168417413,14,413,0.0,0.0,0.0
0.0045000999234616,0.00245030775324,65,413,0.0,0.0,0.0
0.0045500001870095,0.016384283647118,14,425,0.0,0.0,0.0
0.0046000001020729,0.0354827534399497,14,425,0.0,0.0,0.0
0.0046501001343131,0.0508021227518119,14,425,0.0,0.0,0.0
0.0046999999321997,0.0626989410912604,16,428,0.0,0.0,0.0
0.004749999847263,0.053494599651286,68,428,0.0,0.0,0.0
0.0048000998795032,0.0404993540954074,34,467,0.0,0.0,0.0
0.0048500001430511,0.0077634667763586,33,467,0.0,0.0,0.0
