time_s,Wmag_J,Whydro_J,Wnonmag_resolved_J,Krot_J,Fhydro_power_W,Thydro_power_W
0.0006501000025309,3.641260895760684e-07,-3.5696124165434664e-11,5.5439099009688984e-08,4.1956520021019286e-07,-2.0910723605166182e-10,-0.0003342060172785888
0.0006999999750405,5.234755397543803e-07,-5.605317296159594e-11,8.102250204664435e-08,6.044980534254601e-07,-2.963733369068831e-10,-0.0004817082116218329
0.0007500000065192,7.281697475826592e-07,-8.487704411582396e-11,1.136392137067318e-07,8.418089729138264e-07,-4.0457741024464896e-10,-0.0006712459086773508
0.0008000999805517,9.831631423492127e-07,-1.2442195615185657e-10,1.538492397500874e-07,1.1370123937237357e-06,-5.333867285659461e-10,-0.0009073941125881174
0.0008501000120304,1.290485560403379e-06,-1.769245038013425e-10,2.035682647752608e-07,1.4940538368030754e-06,-6.798292327672617e-10,-0.0011927064712225952
0.0009000999853014,1.6512788727579725e-06,-2.449322908654724e-10,2.613059899525044e-07,1.9125848743349123e-06,-8.39370151989476e-10,-0.0015276064655674938
0.0009500000160187,2.0623934023407346e-06,-3.3070207932957804e-10,3.2872607925789715e-07,2.391119493223067e-06,-1.0045111054835546e-09,-0.0019100582905934539
0.0010000000474974,2.395311198032598e-06,-4.0641720301687066e-10,-1.6358505519931302e-06,7.594606576639033e-07,-1.1666397638985206e-09,-0.0011185447501685282
0.0010500999633222,2.5125114450553777e-06,-4.452149191351958e-10,-2.090734358437356e-06,4.217770982424573e-07,-0.0047413911439932906,-0.0004302688747485706
0.0011000999948009,2.5283529176087096e-06,-4.675088358202779e-10,-2.053839173287022e-06,4.745137559461232e-07,-0.004744063214466947,-0.0004614872312282557
0.0011500000255182,2.578111095215611e-06,-4.917549512988394e-10,-2.043989538663576e-06,5.341215681764703e-07,-0.004740785826284485,-0.0005103003660950291
0.0012001000577583,2.673393672174383e-06,-5.19602855476227e-10,-2.027152769035832e-06,6.462409147629867e-07,-0.0047314311073957775,-0.0006013917000469172
0.0012499999720603,2.740117508123394e-06,-5.485877219182727e-10,-2.0877941758470968e-06,6.523233439007325e-07,-0.0047157123882754556,-0.0005603283889546823
0.0013001000043004,2.6502087262509565e-06,-6.066076298349865e-10,-1.045246690299603e-06,1.604962047575789e-06,-0.0002520571067370188,-0.0017558341092512421
0.0013501000357791,2.4197004338562814e-06,-6.998235816924899e-10,-1.453042150318758e-07,2.274396230448841e-06,-0.0002475036362452926,-0.001972801617596785
0.0013999999500811,2.1768323078212137e-06,-7.927214536731108e-10,-1.8331938669549814e-07,1.993512932750151e-06,-0.00024463212759909394,-0.0017505663793257126
0.0014500999823212,1.9777993685439063e-06,-8.759052452347774e-10,-2.1210876563489395e-07,1.765690614533448e-06,-0.00024318670286199365,-0.0015701417257316143
0.0015000000130385,1.8255021211568452e-06,-9.508300247700747e-10,-2.3456932445642534e-07,1.5909328083248554e-06,-0.00024297074139132711,-0.0014328536014564834
0.0015501000452786,1.7196486391282801e-06,-1.0202776461399844e-09,-2.480464831519767e-07,1.471602167600739e-06,-0.0002438134427644361,-0.001339504749016741
0.001600099960342,1.661492756738456e-06,-1.086032111226998e-09,-2.5384045609436393e-07,1.4076523122685276e-06,-0.00024558848734989084,-0.0012906783224399658
0.0016499999910593,1.6510931958873965e-06,-1.1503335055851836e-09,-2.5152937527947597e-07,1.3995638322323562e-06,-0.0002482128216290753,-0.0012865302858061484
0.0017001000232994,1.6883851967567292e-06,-1.2158021531983901e-09,-2.412396246600431e-07,1.4471455837211217e-06,-0.00025167419750844153,-0.0013269868991510946
0.0017501000547781,1.7728422673671785e-06,-1.284268723337179e-09,-2.227587589393766e-07,1.5500835200522375e-06,-0.0002559700378577736,-0.0014116741822106493
0.0018000999698415,1.9038036881465207e-06,-1.3580558185064368e-09,-1.9651343975083614e-07,1.7072902600201202e-06,-0.00026116592468334205,-0.0015398146383481682
0.0018501000013202,2.080120948527669e-06,-1.4393083784211987e-09,-1.6284270209314319e-07,1.917278258058961e-06,-0.0002673614651986727,-0.001710285712063633
0.0019000000320374,2.2998448506725385e-06,-1.5299270397024414e-09,-1.2084101841926575e-07,2.179003843877708e-06,-0.000274674644474477,-0.0019217225243564331
0.0019500999478623,2.531117219991156e-06,-1.622745845330713e-09,-8.83566787294204e-07,1.6475504443213877e-06,-0.0002833153639705968,-0.0017836252431997009
0.0020000000949949,2.7046205015493077e-06,-1.6832882762541077e-09,-1.9198361535221276e-06,7.847843596516155e-07,-0.002554414082937276,-0.0006429179396295976
0.0020500998944044,2.8179845636840722e-06,-1.7166981378365652e-09,-2.1377252843316745e-06,6.802592909768331e-07,-0.0025475780276864174,-0.0006908144096509159
0.0021001000422984,2.9121404162744307e-06,-1.7536499400975144e-09,-2.0799994262999626e-06,8.321410015989037e-07,-0.002533030008722869,-0.0007872533088401087
0.0021500000730156,2.953604493498762e-06,-1.817037557417017e-09,-1.384486320561302e-06,1.5691181845618954e-06,-0.0003181052433683083,-0.0017533309917484494
0.0022001001052558,2.9193600127261645e-06,-1.914691732958907e-09,-5.427784599587304e-07,2.3765815643918695e-06,-0.0003135091898463242,-0.002145036780699131
0.0022501000203192,2.8740907014460147e-06,-2.021104679565911e-09,-5.431036849879544e-07,2.3309870280824957e-06,-0.0003106665304993979,-0.002111488314276426
0.0023000000510364,2.86168304251359e-06,-2.126398914360372e-09,-5.377908467628965e-07,2.323892207375129e-06,-0.0003095184247385489,-0.0021087188992701352
0.0023499999660998,2.881988015263044e-06,-2.232531096805045e-09,-5.268515924571925e-07,2.3551364344302867e-06,-0.0003100450310006657,-0.0021365756101343844
0.00240009999834,2.934669178470116e-06,-2.3410302598829387e-09,-5.104475561798987e-07,2.4242216339146525e-06,-0.00031227449542816895,-0.0021947255178850662
0.0024500000290572,3.018707964219444e-06,-2.4527329177714715e-09,-4.882085890587726e-07,2.5304993867851066e-06,-0.00031623993705546654,-0.00228233216256358
0.0024999999441206,3.133601298295625e-06,-2.569752970312806e-09,-4.611999452917919e-07,2.6724013646282684e-06,-0.00032204080344218827,-0.0023984778905316436
0.0025500999763607,3.2780840866150345e-06,-2.693513057135684e-09,-4.295356355406705e-07,2.8485484626987994e-06,-0.0003297941385398742,-0.002542041358229268
0.0026000998914241,3.400233270336945e-06,-2.816248373268083e-09,-1.0492014127973867e-06,2.3510318691639935e-06,-0.0003395930354235675,-0.002367379626857194
0.0026499999221414,3.411511538517987e-06,-2.9193745040715143e-09,-1.592507453872444e-06,1.8190040962699785e-06,-0.0029096594406844197,-0.0017659296846209934
0.0027000999543815,3.3241946304885255e-06,-3.007469959932618e-09,-1.561891870070411e-06,1.76230277204255e-06,-0.002906383902280259,-0.0017508527173907729
0.0027501001022756,3.230701770326199e-06,-3.0930638210202823e-09,-1.568675081495375e-06,1.6620267004552595e-06,-0.0029059746609452434,-0.0016728915990841357
