time_s,s_robot_mm,Vt_mm_s,Vmag_mm_s,phase_deg,pulse_weight,pulse_Ft_mN,pulse_Fn_away_mN,delta_s_driver_minus_robot_mm,gap_mm,CPRESS_MPa,UR1_rad,UR2_rad,UR3_rad,axis_tangent_angle_deg
0.001400061068125,13.810712160267078,-12.398177412232393,447.04272635742547,263.1206595357502,0.3730003906156933,0.14920015624627733,1.1190011718470798,5.108400366476323,0.0870754257973598,0.1847042292356491,0.1179955378174781,-0.2815105617046356,-0.052225936204195,18.10317823465912
0.001500082318671,13.808923697245897,-24.125047588555738,430.8074971908466,264.2008890416475,0.16225880084075744,0.06490352033630298,0.48677640252227233,5.1090004939795985,0.0331511330555607,0.0548981763422489,0.1540477126836776,-0.3168474435806274,-0.0304712764918804,19.502303745417294
0.0016000786563381,13.798797964187374,-195.8794579019221,252.02745247645902,265.280849488452,0.02937651621770998,0.011750606487083993,0.08812954865312994,5.109600472005601,0.0251936476575185,0.0640504509210586,0.1890959590673446,-0.3345402181148529,0.0076235486194491,19.764393995433046
0.0017000758089125,13.779345831941404,-193.1041651492253,245.80618215159217,266.36081873625557,0.0,0.0,0.0,5.110200454921047,0.0706266218386342,0.0128654614090919,0.225149467587471,-0.3299911618232727,0.0651606693863868,18.770466969798285
0.001800087862648,13.760258896332024,-186.5849645541775,237.2364834727169,267.4409489165989,0.0,0.0,0.0,5.110800527243461,0.0993628419361876,0.0981942117214202,0.2619937658309936,-0.3362618088722229,0.1182930395007133,18.75845848394248
0.0019000760512426,13.741993673921284,-178.61947029329022,229.61529923887525,268.5208213534206,0.0,0.0,0.0,5.211400456375026,0.1083585804913499,0.0220526810735464,0.2987109124660492,-0.3525384962558746,0.1675998717546463,19.601142408803828
0.002000059466809,13.724686402942552,-170.39550044283416,221.1120836703506,269.60064224153786,0.0,0.0,0.0,5.212000356868424,0.0850045108057273,0.0789750888943672,0.3349951505661011,-0.378571480512619,0.213704839348793,21.17195178681841
0.0021000439301133,13.708027065569322,-165.6061398234953,214.99881409174733,270.6804744452238,0.0,0.0,0.0,5.212600263648254,0.0373193729213702,0.0155632812529802,0.3696082234382629,-0.4134328663349151,0.2563986480236053,23.316303011269778
0.0022000237368047,13.692038315290896,-151.51143552462045,321.21357714302474,271.760256357491,0.0,0.0,0.0,5.2132001424883985,0.0084707084234171,0.0217333137989044,0.3998464047908783,-0.4385399222373962,0.2944736778736114,24.9729387433331
0.0023000226356089,13.676792894488203,-154.9163409174318,316.99747072135494,272.8402444645766,0.0,0.0,0.0,5.213800135881227,0.0527083872253632,0.017684394493699,0.422409176826477,-0.4232973754405975,0.323242574930191,24.49080971994868
