rho,time_s,B_norm_T,cone_angle_deg,transverse_phase_deg
0.4,0.013933333333333334,0.009584838444128798,25.37307304135994,17.637878040657238
0.4,0.013966666666666667,0.009578120900187316,25.288210507042397,17.852103667908043
0.4,0.014,0.009571380160250277,25.202666362216338,18.06798530721377
0.4,0.014033333333333333,0.009564617240843759,25.116445394297617,18.28555327845197
0.4,0.014066666666666667,0.009557833163965867,25.02955252615538,18.504838450879777
0.4,0.0141,0.009551028956960363,24.941992819314013,18.725872255045424
0.4,0.014133333333333333,0.009544205652388414,24.853771477220903,18.948686694908954
0.4,0.014166666666666666,0.009537364287898451,24.764893848581245,19.173314360172306
0.4,0.0142,0.009530505906094156,24.675365430761683,19.39978843881759
0.4,0.014233333333333334,0.009523631554400563,24.58519187326408,19.628142729853412
0.4,0.014266666666666667,0.009516742284928242,24.494378981270334,19.858411656266885
0.4,0.0143,0.009509839154335587,24.402932719260516,20.090630278180488
0.4,0.014333333333333333,0.009502923223689204,24.310859214705186,20.324834306209983
0.4,0.014366666666666666,0.009495995558322368,24.21816476183367,20.5610601150214
0.4,0.0144,0.009489057227691569,24.12485582547952,20.799344757082487
0.4,0.014433333333333333,0.009482109305231154,24.030939045005443,21.039725976604153
0.4,0.014466666666666666,0.009475152868206011,23.936421238308082,21.28224222366727
0.4,0.0145,0.009468188997562367,23.8413094059054,21.52693266852732
0.4,0.014533333333333334,0.009461218777776632,23.745610735107334,21.773837216091245
0.4,0.014566666666666667,0.009454243296702337,23.649332604271986,22.02299652055703
0.4,0.0146,0.009447263645415153,23.55248258714877,22.274452000207592
0.4,0.014633333333333333,0.00944028091805596,23.45506845730956,22.528245852348295
0.4,0.014666666666666666,0.009433296211672042,23.35709819267052,22.784421068376673
0.4,0.0147,0.009426310626056332,23.25857998010524,23.04302144897069
0.4,0.014733333333333333,0.009419325263584775,23.159522220151434,23.304091619381936
0.4,0.014766666666666668,0.009412341229051772,23.059933531812494,23.567677044816865
0.4,0.0148,0.009405359629503746,22.959822757455488,23.83382404588892
0.4,0.014833333333333334,0.009398381574070804,22.859198967807195,24.102579814121896
0.4,0.014866666666666667,0.009391408173796542,22.758071467049856,24.37399242748253
0.4,0.0149,0.009384440541465972,22.65644979801794,24.64811086591912
0.4,0.014933333333333333,0.009377479791431598,22.55434374749706,24.924985026880506
0.4,0.014966666666666666,0.00937052703943766,22.45176335162753,25.204665740786755
0.4,0.015,0.009363583402442532,22.348718901412177,25.487204786420754
0.4,0.015033333333333333,0.009356649998439335,22.24522094833131,25.77265490620758
0.4,0.015066666666666667,0.009349727946274734,22.141280310065,26.061069821344518
0.4,0.0151,0.00934281836546598,22.03690807632391,26.352504246742722
0.4,0.015133333333333334,0.009335922376016163,21.932115614789694,26.64701390573732
0.4,0.015166666666666667,0.009329041098227771,21.826914577165947,26.94465554451923
0.4,0.0152,0.009322175652514506,21.72131690533977,27.24548694623865
0.4,0.015233333333333333,0.009315327159211417,21.6153348376551,27.54956694472591
0.4,0.015266666666666666,0.009308496738383366,21.508980915297673,27.856955437771
0.4,0.0153,0.00930168550963187,21.402267988791625,28.167713399898442
0.4,0.015333333333333332,0.009294894591900306,21.295209224608026,28.481902894569796
0.4,0.015366666666666667,0.009288125103277554,21.18781811188415,28.799587085740352
0.4,0.0154,0.009281378160800092,21.08010846925391,29.120830248691803
0.4,0.015433333333333334,0.009274654880252541,20.97209445178678,29.445697780056445
0.4,0.015466666666666667,0.009267956375966767,20.8637905580356,29.774256206942276
0.4,0.0155,0.009261283760619505,20.755211637189916,30.106573195062538
0.4,0.015533333333333333,0.009254638145028578,20.646372896333947,30.44271755576616
0.4,0.015566666666666666,0.009248020637947735,20.537289907805004,30.782759251858227
0.4,0.0156,0.00924143234586018,20.427978616650957,31.126769402092485
0.4,0.015633333333333332,0.009234874372770756,20.31845534818104,31.474820284209642
0.4,0.015666666666666666,0.009228347819996943,20.208736815607406,31.826985336387267
0.4,0.0157,0.009221853785958606,20.09884012777087,32.18333915695864
0.4,0.015733333333333332,0.009215393365966591,19.988782796946296,32.54395750224821
0.4,0.015766666666666665,0.009208967652010227,19.878582746719907,32.90891728236221
0.4,0.0158,0.00920257773254375,19.768258319932276,33.27829655476362
0.4,0.015833333333333335,0.009196224692271724,19.657828286677624,33.65217451544918
0.4,0.015866666666666668,0.009189909611933503,19.547311852350795,34.03063148753805
0.4,0.0159,0.009183633568086793,19.43672866573114,34.4137489070672
