rho,time_s,B_norm_T,cone_angle_deg,transverse_phase_deg,tau_x_Nmm,tau_y_Nmm,tau_z_Nmm,tau_norm_Nmm,safe_torque_Nmm,danger_torque_Nmm,F_t_N
0.9,0.003000000026077,0.009767537510900613,27.546428442702368,-78.47388211640397,-0.00179745321311812,-0.01048950745651904,0.0022320656845254317,0.010873946935393475,0.00330353110406075,0.00471753837278956,3.961011944409815e-06
0.8,0.0,0.009605361570418684,25.629988334354362,-116.79527222234455,-0.001319257603431994,-0.011136729237192802,0.00019493026090825795,0.011216290676216262,0.0054118291055604666,0.004839669369377515,7.37731580285307e-06
0.8,0.000100101402495,0.009599340500512974,25.554978043968283,-115.53852815478184,-0.0013361674121487271,-0.01112758202705413,0.0002670132688136649,0.01121069673159652,0.005344229007913469,0.0048426497703444125,7.375853618540788e-06
0.8,0.0002000974782276,0.00959357041221659,25.482812549869738,-114.27479181867,-0.0013550545691761921,-0.011117496096313365,0.00033749083074287745,0.011204855750870856,0.005277384237991689,0.0048430656795720485,7.369002689407721e-06
0.8,0.0003000949509441,0.009588053416856252,25.413552106392903,-113.0029795437972,-0.001381325348321403,-0.011105892187849662,0.0004050431478281741,0.011198792834839743,0.005211739054893806,0.004835911440956321,7.344262292736935e-06
0.8,0.0004000964399892,0.009582797674432948,25.347332694987948,-111.7233328829604,-0.0014228051006074877,-0.011092056235409237,0.0004675031738090446,0.011192704994831104,0.00514822007842531,0.004813926194539884,7.283543885568643e-06
0.8,0.0005000106757506,0.009577815548054591,25.28434384818776,-110.43732780964194,-0.0014878815296414123,-0.011075184454621481,0.0005222417011045604,0.011186877962349906,0.005088063723428998,0.004769212128337922,7.166757207561939e-06
0.8,0.0006000370485708,0.009573104706333735,25.224589197035538,-109.14271690836661,-0.0015876312392776224,-0.011053594168799545,0.0005657894438755853,0.011181352096023563,0.005032584211281734,0.004691011143067004,6.967614706309886e-06
0.8,0.0007000611512921,0.009568678102383075,25.16826536247937,-107.84131364357835,-0.001732216014636147,-0.011024318886597332,0.000594176231285804,0.011175384764229532,0.004982937189858518,0.004568468175558503,6.660491561846914e-06
0.8,0.0008000059169717,0.00956454548176357,25.115528393891772,-106.53449521316645,-0.0019296443137255216,-0.010982164168743529,0.0006034026324910798,0.011166716247116903,0.004939324278005644,0.004391264975508177,6.222031881749316e-06
0.8,0.0009000400896184,0.009560706169212174,25.066400448416385,-105.22044204508364,-0.0021845171655562523,-0.010918923854566446,0.0005898215284250675,0.011150914887300674,0.004900357471669512,0.004150324589517053,5.632575449899576e-06
0.8,0.001000058487989,0.00955717034686454,25.021041165912578,-103.90093742300353,-0.0024961042483773845,-0.010823390931963741,0.0005503626544841036,0.011121116254060712,0.004863010937640367,0.0038394239206863945,4.880209894544344e-06
0.8,0.0011000139638781,0.009553944683619786,24.979564191341943,-102.5770373580357,-0.0028587781954433457,-0.01068177062430966,0.0004827854671260673,0.011068239166569144,0.004822583305863086,0.0034551415513664986,3.960807927647424e-06
