time_s,cycle,s_mm,delta_s_mm,com_x,com_y,com_z,center_x,center_y,center_z,axis_x,axis_y,axis_z,t_x,t_y,t_z,e1_x,e1_y,e1_z,e2_x,e2_y,e2_z,q1,q2,robot_phase_rad,B_phase_rad,phase_lag_rad,phase_valid,tilt_deg,Bx_T,By_T,Bz_T,contact_active
0.07979000359773636,3,15.360440181361291,1.5388661750757855,-8.84713111823206,-3.628848762403119,-9.730759199036273,-8.905826295527147,-3.3621035080032255,-9.963410736194467,0.8349546899457801,0.22147616132931602,0.503784652108792,0.973846963201553,0.2267548392216214,0.014294584733034854,-0.14015079194988206,0.5500056502909205,0.8233173994055285,0.17882910215883252,-0.8037885465330035,0.5674012025748867,0.4195682487323275,0.25714221318500985,19.399387412381785,13.085292585612871,0.030909519589327174,1,29.478516482192873,0.008268705802974199,0.002358581503188772,0.005105446141119967,0
0.07980000227689743,3,15.360206598741243,1.5386325924557376,-8.846967205458927,-3.628552911023486,-9.730278532279643,-8.905598821801956,-3.3620505420137725,-9.963407397227911,0.8350949903766912,0.22016210569573302,0.5041279641751437,0.973846963201553,0.2267548392216214,0.014294584733034854,-0.14015079194988206,0.5500056502909205,0.8233173994055285,0.17882910215883252,-0.8037885465330035,0.5674012025748867,0.4191085022902104,0.2584183215321898,19.402085088774708,13.087177292231218,0.03172248936390407,1,29.49672477607687,0.008270824446491803,0.0023494329622533476,0.005106232548940737,0
0.0798100009560585,3,15.35997313559171,1.538399129306205,-8.846803411895085,-3.6282570745450142,-9.729797865523013,-8.905371464422764,-3.361997603114835,-9.96340405996914,0.8352310963897429,0.21885356772124656,0.5044721315585926,0.973846963201553,0.2267548392216214,0.014294584733034854,-0.14015079194988206,0.5500056502909205,0.8233173994055285,0.17882910215883252,-0.8037885465330035,0.5674012025748867,0.41865308264020556,0.2596897300721539,19.404766979725213,13.089061998849912,0.032519673695714714,1,29.515250969971458,0.008272943668762946,0.0023402830513137097,0.005107001260386233,0
0.07981999963521957,3,15.359739559097761,1.5381655528122558,-8.846639499121952,-3.6279612492424134,-9.729317213667544,-8.905143996663456,-3.3619446385145038,-9.963400721090155,0.8353630214691922,0.21755065823267397,0.5048171287351415,0.973846963201553,0.2267548392216213,0.01429458473303491,-0.14015079194988206,0.5500056502909205,0.8233173994055285,0.17882910215883252,-0.8037885465330035,0.5674012025748866,0.4182020278335087,0.2609563376526066,19.407432839051715,13.09094670546896,0.03330082640316843,1,29.534090116479526,0.008275063462262264,0.0023311318028613626,0.005107752272726494,0
0.07982999831438065,3,15.359505985137995,1.5379319788524892,-8.84647558634882,-3.6276654351156834,-9.728836561812075,-8.904916531372056,-3.3618916744888114,-9.963397382247395,0.8354909021764675,0.2162534974783818,0.5051627234948356,0.973846963201553,0.2267548392216213,0.01429458473303491,-0.14015079194988206,0.5500056502909205,0.8233173994055285,0.17882910215883252,-0.8037885465330035,0.5674012025748866,0.41775519368571207,0.2622179402842383,19.41008244294198,13.0928314120884,0.034065723673995164,1,29.553223442556686,0.008277183819462432,0.002321979249392412,0.005108485583294281,0
0.07983999699354172,3,15.359272529804016,1.537698523518511,-8.846311792784977,-3.6273696321648243,-9.728355909956607,-8.904689181604018,-3.3618387373620893,-9.963394045100342,0.8356146913835657,0.21496214509123232,0.50550901448117,0.973846963201553,0.2267548392216213,0.01429458473303491,-0.14015079194988206,0.5500056502909205,0.8233173994055285,0.17882910215883252,-0.8037885465330035,0.5674012025748866,0.41731270081516,0.2634745375774164,19.412715636928827,13.09471611871147,0.03481421103777091,1,29.572654025495158,0.00827930473226223,0.002312825424692446,0.0051092012080589085,0
0.07985000312328339,3,15.359038962815077,1.537464956529572,-8.846147880011845,-3.6270738478404168,-9.727875273002299,-8.904461723101136,-3.361785774917064,-9.963390706357227,0.8357344678570433,0.21367674469181308,0.5058558569529608,0.973846963201553,0.2267548392216213,0.01429458473303491,-0.14015079194988206,0.5500056502909205,0.8233173994055285,0.17882910215883252,-0.8037885465330035,0.5674012025748866,0.4168744980068565,0.26472594605098837,19.415332139764146,13.09660222972946,0.0355446028551005,1,29.5923688965627,0.00828142777761529,0.0023036635311068122,0.005109899545039192,0
0.07986000180244446,3,15.358805397515592,1.5372313912300868,-8.845983967238713,-3.6267780709665898,-9.727394636047991,-8.904234266243522,-3.3617328128551325,-9.963387367638264,0.8358502315324348,0.21239737102900408,0.5062032667092765,0.973846963201553,0.2267548392216213,0.01429458473303491,-0.14015079194988206,0.5500056502909205,0.8233173994055285,0.17882910215883252,-0.8037885465330035,0.5674012025748866,0.416440639389791,0.26597211457554293,19.417931786325724,13.098486936349675,0.0362595427964629,1,29.612365557341132,0.00828354978116721,0.0022945072567026516,0.0051105797197793686,0
0.07987000048160553,3,15.358571835808025,1.5369978295225195,-8.84582005446558,-3.626482308993924,-9.726914013994845,-8.904006812883889,-3.3616798516076845,-9.963384028970644,0.8359620760047033,0.2111241182734927,0.506551097289451,0.973846963201553,0.2267548392216213,0.01429458473303491,-0.14015079194988206,0.5500056502909205,0.8233173994055285,0.17882910215883252,-0.8037885465330035,0.5674012025748866,0.41601104305735054,0.2672129010933051,19.42051440693067,13.100371642970298,0.036957456780786414,1,29.632630697349978,0.008285672318283184,0.002285349807343387,0.005111242182704682,0
0.0798799991607666,3,15.358338277479367,1.5367642711938618,-8.845656141692448,-3.6261865619224194,-9.726433391941699,-8.903779362814795,-3.361626891126421,-9.963380690351325,0.8360700184522856,0.2098570906207371,0.506899325074905,0.9738469632015531,0.22675483922162126,0.014294584733034965,-0.14015079194988206,0.5500056502909205,0.8233173994055285,0.17882910215883246,-0.8037885465330035,0.5674012025748867,0.41558574446446717,0.26844821152395315,19.42307978953611,13.10225634959137,0.037638132765154465,1,29.653159184131635,0.008287795381426193,0.0022761912155471525,0.005111886931462286,0
