event,cycle,start_s,end_s,duration_us,peak_force_N,sector_deg,true_separation_after
28,2,0.03825350105762482,0.03825490176677704,1.5087425708770752,0.7163214522973037,345.81011298934953,1
29,2,0.03928840160369873,0.03928989917039871,1.6093254089355469,0.3818257221797449,107.86432360668034,1
30,2,0.0398872010409832,0.03988850116729736,1.4081597328186035,0.5960313427475252,14.595384113633678,1
31,2,0.041244201362133026,0.04124569892883301,1.6093254089355469,0.5322842510823153,139.0784937737399,1
32,2,0.04303659871220589,0.04303859919309616,2.1122395992279053,0.4893722503922916,166.53744224290463,1
33,2,0.04573430120944977,0.04573599994182587,1.8104910850524902,0.23243146712376592,195.44838772639446,1
34,2,0.0486144982278347,0.0486162006855011,1.8104910850524902,0.29850208874200024,224.39632312596876,1
35,2,0.04919569939374924,0.049197401851415634,1.8104910850524902,0.45023792568313586,255.6150268662959,1
36,2,0.054225098341703415,0.054226700216531754,1.7099082469940186,0.46255142751456524,318.75596536682133,1
37,2,0.055314801633358,0.055316101759672165,1.4081597328186035,0.31938902956322957,104.72248291503487,1
38,2,0.056018199771642685,0.056019701063632965,1.6093254089355469,0.6464042405832425,347.49718584883914,1
39,2,0.05688939988613129,0.05689070001244545,1.4081597328186035,0.21236514127605483,107.24043976204841,1
40,2,0.057616401463747025,0.05761779844760895,1.5087425708770752,0.5852340557857107,138.43910181150915,1
41,2,0.058080900460481644,0.058082401752471924,1.6093254089355469,0.4792257911318767,14.650599470576656,1
42,2,0.060522500425577164,0.060524001717567444,1.6093254089355469,0.42669565115899516,167.03087397033158,1
43,3,0.0775332972407341,0.0775350034236908,1.8104910850524902,0.3618122153348768,192.96737685022796,1
44,3,0.07890839874744415,0.07891009747982025,1.8104910850524902,0.25293935534649875,224.24906392008472,1
45,3,0.08155909925699234,0.08156059682369232,1.6093254089355469,0.03814092648789042,13.724594477935398,1
46,3,0.08315339684486389,0.08315499871969223,1.7099082469940186,0.6512597550409719,287.3968582181071,1
47,3,0.0839281976222992,0.08392950147390366,1.4081597328186035,0.2715254963250012,44.4404322673711,1
48,3,0.08473529666662216,0.08473660051822662,1.4081597328186035,0.07396920663123079,45.43797283208653,1
49,3,0.08494070172309875,0.08494199812412262,1.4081597328186035,0.505207742248544,75.86061076290653,1
50,3,0.0856688991189003,0.08567020297050476,1.4081597328186035,0.2749636582508718,76.16069620330074,1
51,3,0.0857866033911705,0.08578810095787048,1.6093254089355469,0.5920869070722315,316.383316360023,1
52,3,0.0861859992146492,0.08618730306625366,1.4081597328186035,0.1891446754414067,74.86900891665194,1
53,3,0.08644209802150726,0.08644349873065948,1.5087425708770752,0.19055350607435037,75.56523019940973,1
54,3,0.08687759935855865,0.08687900006771088,1.5087425708770752,0.07842936320786781,76.30877674409065,1
55,3,0.08722379803657532,0.08722549676895142,1.8104910850524902,0.2635964742789342,316.3912108357696,1
56,3,0.08736170083284378,0.08736319839954376,1.6093254089355469,0.5556939071694038,106.7694289788704,1
57,3,0.08816269785165787,0.08816439658403397,1.8104910850524902,0.12077800506372174,316.81506465386843,1
58,3,0.08982840180397034,0.08982989937067032,1.6093254089355469,0.2548942996760236,137.46963373470737,1
59,3,0.09079769998788834,0.09079919755458832,1.6093254089355469,0.18512366141296743,166.48609776223853,1
60,3,0.09151899814605713,0.09152039885520935,1.5087425708770752,0.17888424939561295,166.63364333371754,1
61,3,0.09185849875211716,0.09185989946126938,1.5087425708770752,0.11613881394394043,166.74888609582393,1
62,3,0.0919497013092041,0.09195119887590408,1.6093254089355469,0.5409818738720298,195.58553768126626,1
63,3,0.09269390255212784,0.09269560128450394,1.8104910850524902,0.33529091543455736,195.84123530591847,1
64,3,0.09289640188217163,0.09289780259132385,1.5087425708770752,0.08546649960084916,196.02209766426483,1
65,3,0.09302479773759842,0.09302619844675064,1.5087425708770752,0.05290648611632055,195.95996710226342,1
66,3,0.09310860186815262,0.09311000257730484,1.5087425708770752,0.03396203244044996,195.85826796247983,1
67,3,0.09316810220479965,0.09316950291395187,1.5087425708770752,0.02358818689657151,195.75666805711057,1
68,3,0.09321139752864838,0.09321270138025284,1.4081597328186035,0.01719639116115561,195.62935095630874,1
69,3,0.09324529767036438,0.09324649721384048,1.3075768947601318,0.013688009066521064,195.53083182044062,1
70,3,0.0932736024260521,0.09327469766139984,1.2069940567016602,0.012003743924709794,195.49032108897532,1
71,3,0.093299001455307,0.09330020099878311,1.3075768947601318,0.0108692329174918,195.43541437094365,1
72,3,0.09332309663295746,0.0933241993188858,1.2069940567016602,0.010057977068328745,195.3754541448178,1
73,3,0.09334609657526016,0.09334719926118851,1.2069940567016602,0.009566238023128523,195.3554245612024,1
74,3,0.09336809813976288,0.09336920082569122,1.2069940567016602,0.00928955535808375,195.3607776104415,1
75,3,0.09339059889316559,0.09339170157909393,1.2069940567016602,0.009004257219851004,195.318820110092,1
76,3,0.0934130996465683,0.09341409802436829,1.1064112186431885,0.008549947003544126,195.26554838905744,1
77,3,0.09343499690294266,0.093436099588871,1.2069940567016602,0.008526791442297347,195.3170515292937,1
78,3,0.09345760196447372,0.09345860034227371,1.1064112186431885,0.008220995158043379,195.26743124207144,1
79,3,0.09347979724407196,0.0934808999300003,1.2069940567016602,0.008040778623947396,195.26853293751742,1
80,3,0.0935031995177269,0.09350430220365524,1.2069940567016602,0.008251588873082359,195.3061470975473,1
81,3,0.09352879971265793,0.09352990239858627,1.2069940567016602,0.008011843432803518,195.25541193312114,1
