time_s,normalized_phase,alpha_B_deg,B_T,B_c_T,B_n_rock_T,B_b_rock_T,T_rock_Nmm,Bx_T,By_T,Bz_T
0.1052,0.526,-1.6263716519488343,0.01,0.009995971576040343,-0.00028381728452224117,-1.3010426069826053e-18,-0.00030868613611885823,0.009736811430913378,-0.0009003466730733685,0.0020937714839782103
0.10540000000000001,0.527,-1.6883344471273365,0.010000000000000002,0.009995658795172424,-0.0002946273077842758,-8.673617379884035e-19,-0.000320443363370647,0.009735666027614708,-0.000911078633451577,0.00209445523285099
0.1056,0.5279999999999999,-1.7502305897527584,0.010000000000000002,0.009995334679248328,-0.0003054253588289515,-1.3010426069826053e-18,-0.0003321875693664418,0.009734510488482982,-0.0009217979857793187,0.0020951358006172436
0.1058,0.529,-1.8120576362713756,0.009999999999999997,0.00999499927981641,-0.000316210999918431,0.0,-0.00034391827801261057,0.00973334489786022,-0.0009325042978840075,0.0020958131676574224
0.10600000000000001,0.53,-1.8738131458572473,0.01,0.00999465265021786,-0.00032698379393035346,0.0,-0.00035563501388492926,0.00973216934179092,-0.0009431971383160453,0.0020964873147666036
0.1062,0.531,-1.935494680508597,0.010000000000000002,0.009994294845578008,-0.00033774330437912693,-8.673617379884035e-19,-0.0003673373022517368,0.009730983908011918,-0.0009538760763694596,0.0020971582231541675
0.10640000000000001,0.532,-1.997099805144071,0.01,0.009993925922797377,-0.00034848909543714864,0.0,-0.000379024669097016,0.009729788685942006,-0.0009645406821024577,0.0020978258744434094
0.1066,0.5329999999999999,-2.058626087698814,0.01,0.009993545940542478,-0.0003592207319559407,0.0,-0.0003906966411433811,0.009728583766671295,-0.0009751905263578765,0.002098490250671087
0.1068,0.534,-2.120071099220548,0.01,0.00999315495923625,-0.0003699377794872291,0.0,-0.0004023527458750066,0.009727369242950253,-0.0009858251807835566,0.002099151334286903
0.10700000000000001,0.535,-2.181432413965429,0.01,0.009992753041048272,-0.0003806398043039278,-8.673617379884035e-19,-0.000413992511560444,0.009726145209178513,-0.0009964442178526079,0.0020998091081529248
0.1072,0.536,-2.242707609493813,0.01,0.009992340249884666,-0.0003913263734210494,-4.336808689942018e-19,-0.000425615467275369,0.00972491176139339,-0.00100704721088358,0.0021004635555429405
0.10740000000000001,0.537,-2.303894266765908,0.009999999999999998,0.009991916651377733,-0.0004019970546165351,0.0,-0.00043722114292523855,0.009723668997258154,-0.001017633734060542,0.0021011146601417462
0.1076,0.5379999999999999,-2.3649899702372443,0.010000000000000002,0.009991482312875312,-0.0004126514164519918,-4.336808689942018e-19,-0.00044880906926783853,0.009722417016050013,-0.0010282033624530451,0.0021017624060443766
0.1078,0.539,-2.4259923079540755,0.01,0.009991037303429835,-0.0004232890282933538,-4.336808689942018e-19,-0.0004603787779357617,0.009721155918647832,-0.0010387556720359973,0.0021024067777552667
0.108,0.5399999999999999,-2.4868988716485454,0.01,0.009990581693787151,-0.0004339094603314404,-8.673617379884035e-19,-0.00047192980145876383,0.00971988580751963,-0.0010492902397094188,0.0021030477601873534
0.1082,0.541,-2.5477072568338177,0.01,0.009990115556375039,-0.0004445122836024398,-4.336808689942018e-19,-0.0004834616732860436,0.009718606786709764,-0.001059806643318103,0.002103685338661113
0.10840000000000001,0.542,-2.608415062898971,0.01,0.009989638965291483,-0.00045509707000828667,-8.673617379884035e-19,-0.000494973927808404,0.0097173189618259,-0.0010703044616711586,0.0021043194989035377
0.1086,0.5429999999999999,-2.669019893203755,0.010000000000000002,0.009989151996292644,-0.0004656633923369448,-4.336808689942018e-19,-0.0005064661003803157,0.009716022440025696,-0.0010807832745614392,0.002104950227047047
0.10880000000000001,0.544,-2.72951935517325,0.01,0.009988654726780585,-0.0004762108242826042,-4.336808689942018e-19,-0.0005179377273418801,0.009714717330003253,-0.0010912426627848716,0.002105577509628335
0.109,0.5449999999999999,-2.789911060392293,0.01,0.009988147235790744,-0.00048673894046576675,-8.673617379884035e-19,-0.0005293883460406766,0.009713403741975319,-0.0011016822081596563,0.0021062013335871686
0.1092,0.546,-2.850192624699764,0.01,0.009987629603979118,-0.000497247316453234,-4.336808689942018e-19,-0.0005408174948535006,0.009712081787667217,-0.0011121014935453557,0.002106821686265106
0.10940000000000001,0.547,-2.9103616682827176,0.01,0.0099871019136092,-0.0005077355287779934,-8.673617379884035e-19,-0.0005522247132079968,0.009710751580298566,-0.0011225001028618655,0.0021074385554041676
0.1096,0.5479999999999999,-2.9704158157703455,0.01,0.00998656424853866,-0.0005182031549590025,-8.673617379884035e-19,-0.0005636095416041694,0.009709413234568722,-0.0011328776211082647,0.0021080519291454426
0.10980000000000001,0.549,-3.030352696327742,0.010000000000000002,0.009986016694205775,-0.00052864977352086,-8.673617379884035e-19,-0.000574971521635782,0.009708066866642006,-0.0011432336343815434,0.0021086617960276305
0.11,0.5499999999999999,-3.090169943749472,0.01,0.009985459337615571,-0.0005390749640133649,-4.336808689942018e-19,-0.0005863101960116316,0.009706712594132668,-0.0011535677298951995,0.0021092681449855293
0.1102,0.551,-3.1498651965530478,0.010000000000000002,0.009984892267325792,-0.0005494783070309843,-8.673617379884035e-19,-0.0005976251085767171,0.00970535053608965,-0.0011638794959977295,0.0021098709653484616
0.11040000000000001,0.552,-3.2094360980720973,0.01,0.009984315573432524,-0.0005598593842321826,-8.673617379884035e-19,-0.0006089158043332661,0.00970398081298107,-0.0011741685221909669,0.0021104702468386386
0.1106,0.5529999999999999,-3.2688802965494257,0.01,0.00998372934755564,-0.000570217778358655,0.0,-0.0006201818294616529,0.009702603546678519,-0.0011844343991483115,0.0021110659795694716
0.11080000000000001,0.554,-3.3281954452298668,0.01,0.009983133682823987,-0.000580553073254441,4.336808689942018e-19,-0.0006314227313411866,0.009701218860441096,-0.0011946767187328206,0.0021116581540438144
0.111,0.5549999999999999,-3.3873792024529146,0.01,0.009982528673860324,-0.0005908648538849164,-4.336808689942018e-19,-0.0006426380585707671,0.009699826878899242,-0.001204895074015169,0.002112246761152161
0.11120000000000001,0.556,-3.4464292317451712,0.010000000000000002,0.009981914416766019,-0.0006011527063556694,-4.336808689942018e-19,-0.0006538273609894144,0.009698427728038325,-0.0012150890592914747,0.0021128317921707764
