theta_rock_deg,HEAD_gap_um,TAIL_gap_um,BODY_gap_um,overall_gap_um
7.405817042808529,151.1230979668422,117.36302896397454,136.5051230395332,117.36302896397454
7.424377987778364,150.80886138659832,117.01434773095588,136.20414850121986,117.01434773095588
7.4429389327481985,150.49467867264767,116.66572348232873,135.90322893345763,116.66572348232873
7.461499877718033,150.18054985796314,116.31715625467987,135.60236436782458,116.31715625467987
7.4800608226878715,149.86647497550797,115.96864608458924,135.30155483589544,115.96864608458924
7.498621767657706,149.55245405824425,115.6201930086307,135.00080036923902,115.6201930086307
7.517182712627541,149.23848713912534,115.27179706337132,134.70010099941544,115.27179706337132
7.535743657597376,148.92457425110007,114.92345828537387,134.39945675798282,114.92345828537387
7.554304602567214,148.610715427112,114.57517671119311,134.09886767649004,114.57517671119311
7.572865547537049,148.2969107000981,114.22695237737979,133.79833378648408,114.22695237737979
7.5914264925068835,147.9831601029903,113.8787853204768,133.49785511950284,113.8787853204768
7.609987437476718,147.66946366871514,113.53067557702335,133.19743170707855,113.53067557702335
7.628548382446553,147.35582143019099,113.1826231835501,132.89706358074017,113.1826231835501
7.647109327416391,147.04223342033563,112.83462817658352,132.59675077200893,112.83462817658352
7.665670272386226,146.72869967205514,112.48669059264283,132.2964933124008,112.48669059264283
7.684231217356061,146.41522021825438,112.13881046824181,131.99629123342504,112.13881046824181
7.7027921623258955,146.10179509183075,111.7909878398885,131.69614456658672,111.7909878398885
7.721353107295734,145.78842432567518,111.44322274408435,131.39605334338367,111.44322274408435
7.7399140522655685,145.4751079526747,111.09551521732475,131.09601759530932,111.09551521732475
7.758474997235403,145.16184600571057,110.74786529609982,130.79603735384893,110.74786529609982
7.777035942205238,144.84863851765573,110.40027301689315,130.49611265048455,110.40027301689315
7.795596887175073,144.53548552138096,110.05273841618136,130.19624351669168,110.05273841618136
7.814157832144911,144.2223870497481,109.70526153043659,129.8964299839386,109.70526153043659
7.832718777114746,143.90934313561576,109.35784239612478,129.59667208368808,109.35784239612478
7.8512797220845805,143.59635381183443,109.01048104970413,129.29696984739957,109.01048104970413
7.869840667054415,143.28341911125253,108.66317752762866,128.9973233065247,108.66317752762866
7.8884016120242535,142.97053906670843,108.31593186634458,128.6977324925077,108.31593186634458
7.906962556994088,142.65771371103807,107.96874410229395,128.39819743678927,107.96874410229395
7.925523501963923,142.3449430770699,107.62161427191175,128.0987181708042,107.62161427191175
7.944084446933758,142.03222719762698,107.27454241162692,127.79929472598128,107.27454241162692
7.962645391903592,141.7195661055275,106.9275285578618,127.49992713374192,106.9275285578618
7.981206336873431,141.40695983358177,106.5805727470337,127.20061542550343,106.5805727470337
7.9997672818432655,141.09440841459707,106.23367501555336,126.90135963267556,106.23367501555336
8.0183282268131,140.7819118813729,105.88683539982513,126.60215978666433,105.88683539982513
8.036889171782935,140.4694702667033,105.54005393624722,126.30301591886838,105.54005393624722
8.055450116752773,140.15708360337874,105.19333066121294,126.00392806068095,105.19333066121294
8.074011061722608,139.84475192417943,104.84666561110778,125.70489624348957,104.84666561110778
8.092572006692443,139.53247526188494,104.5000588223125,125.40592049867516,104.5000588223125
8.111132951662277,139.22025364926537,104.15351033120047,125.10700085761329,104.15351033120047
8.129693896632112,138.90808711908664,103.80702017414056,124.80813735167362,103.80702017414056
8.14825484160195,138.59597570410875,103.46058838749362,124.50933001221965,103.46058838749362
8.166815786571785,138.2839194370844,103.11421500761564,124.21057887061005,103.11421500761564
8.18537673154162,137.97191835076384,102.76790007085701,123.91188395819552,102.76790007085701
8.203937676511455,137.65997247788786,102.42164361356043,123.61324530632345,102.42164361356043
8.222498621481293,137.34808185119385,102.07544567206361,123.31466294633331,102.07544567206361
8.241059566451128,137.03624650341362,101.7293062826975,123.01613690955936,101.7293062826975
8.259620511420962,136.72446646727033,101.38322548178624,122.71766722733024,101.38322548178624
8.278181456390797,136.4127417754839,101.03720330565069,122.41925393096732,101.03720330565069
8.296742401360632,136.10107246076873,100.69123979060157,122.12089705178842,100.69123979060157
8.31530334633047,135.78945855583,100.34533497294673,121.82259662110384,100.34533497294673
8.333864291300305,135.4779000933729,99.9994888889858,121.52435267021666,99.9994888889858
8.35242523627014,135.1663971060907,99.65370157501374,121.22616523042818,99.65370157501374
8.370986181239974,134.85494962667522,99.30797306731876,120.92803433302868,99.30797306731876
8.389547126209813,134.54355768780934,98.96230340218138,120.62996000930681,98.96230340218138
8.408108071179647,134.23222132217217,98.61669261587902,120.3319422905429,98.61669261587902
8.426669016149482,133.9209405624372,98.2711407446798,120.03398120801101,98.2711407446798
8.445229961119317,133.60971544127042,97.92564782484803,119.73607679298193,97.92564782484803
8.463790906089152,133.29854599133373,97.58021389264037,119.43822907671742,97.58021389264037
8.48235185105899,132.9874322452802,97.23483898430885,119.14043809047593,97.23483898430885
8.500912796028825,132.6763742357616,96.88952313609678,118.84270386550655,96.88952313609678
8.51947374099866,132.36537199542053,96.54426638424319,118.5450264330561,96.54426638424319
8.538034685968494,132.05442555689416,96.1990687649814,118.24740582436377,96.1990687649814
8.556595630938332,131.74353495281431,95.85393031453692,117.9498420706625,95.85393031453692
8.575156575908167,131.43270021580676,95.50885106912921,117.65233520317952,95.50885106912921
8.593717520878002,131.1219213784919,95.16383106497295,117.3548852531363,95.16383106497295
8.612278465847837,130.81119847348467,94.8188703382753,117.05749225174844,94.8188703382753
8.630839410817671,130.50053153339192,94.47396892523774,116.76015623022539,94.47396892523774
8.64940035578751,130.18992059081702,94.12912686205455,116.4628772197699,94.12912686205455
8.667961300757344,129.879365678356,93.78434418491611,116.16565525157985,93.78434418491611
8.68652224572718,129.5688668285999,93.4396209300038,115.8684903568471,93.4396209300038
8.705083190697014,129.25842407413347,93.09495713349403,115.57138256675702,93.09495713349403
8.723644135666852,128.94803744753546,92.7503528315583,115.27433191248892,92.7503528315583
8.742205080636687,128.63770698137844,92.40580806035969,114.97733842521552,92.40580806035969
8.760766025606522,128.32743270823076,92.06132285605572,114.6804021361062,92.06132285605572
8.779326970576356,128.01721466065197,91.7168972547977,114.38352307631993,91.7168972547977
8.797887915546191,127.70705287119898,91.37253129273137,114.08670127701492,91.37253129273137
8.81644886051603,127.39694737242124,91.02822500599528,113.78993676933791,91.02822500599528
8.835009805485864,127.08689819686047,90.68397843072174,113.49322958443464,90.68397843072174
8.853570750455699,126.77690537705621,90.33979160303807,113.19657975344177,90.33979160303807
8.872131695425534,126.46696894553877,89.99566455906394,112.89998730748974,89.99566455906394
8.890692640395372,126.15708893483357,89.65159733491245,112.6034522777054,89.65159733491245
8.909253585365207,125.84726537746282,89.30758996669252,112.30697469520712,89.30758996669252
8.927814530335041,125.53749830593797,88.96364249050448,112.01055459110898,88.96364249050448
8.946375475304876,125.22778775276888,88.61975494244334,111.71419199651844,88.61975494244334
8.96493642027471,124.91813375045547,88.27592735859857,111.41788694253485,88.27592735859857
8.98349736524455,124.60853633149583,87.93215977505187,111.12163946025677,87.93215977505187
9.002058310214384,124.29899552837931,87.58845222787926,110.8254495807699,87.58845222787926
9.020619255184219,123.98951137359082,87.2448047531511,110.52931733516036,87.2448047531511
9.039180200154053,123.68008389960782,86.90121738693057,110.23324275450308,86.90121738693057
9.057741145123892,123.37071313890257,86.55769016527559,109.93722586987009,86.55769016527559
9.076302090093726,123.06139912394242,86.21422312423577,109.64126671232688,86.21422312423577
9.094863035063561,122.75214188718675,85.87081629985616,109.34536531293149,85.87081629985616
9.113423980033396,122.44294146109091,85.52746972817604,109.04952170273619,85.52746972817604
9.13198492500323,122.13379787810253,85.18418344522594,108.75373591279003,85.18418344522594
9.150545869973069,121.82471117066518,84.84095748703257,108.45800797413152,84.84095748703257
9.169106814942904,121.51568137121515,84.49779188961382,108.16233791779662,84.49779188961382
9.187667759912738,121.20670851218185,84.15468668898373,107.8667257748136,84.15468668898373
9.206228704882573,120.89779262599221,83.81164192114943,107.57117157620554,83.81164192114943
9.224789649852411,120.58893374506351,83.46865762211009,107.27567535298765,83.46865762211009
9.243350594822246,120.2801319018083,83.12573382785993,106.98023713617121,83.12573382785993
9.26191153979208,119.97138712863298,82.78287057438638,106.68485695676,82.78287057438638
9.280472484761916,119.66269945793995,82.440067897671,106.38953484575265,82.440067897671
9.29903342973175,119.35406892212241,82.09732583368879,106.09427083414013,82.09732583368879
9.317594374701589,119.04549555356935,81.75464441840774,105.79906495291036,81.75464441840774
9.336155319671423,118.73697938466343,81.41202368779044,105.50391723304264,81.41202368779044
9.354716264641258,118.42852044778196,81.06946367779177,105.20882770550999,81.06946367779177
9.373277209611093,118.12011877529515,80.726964424362,104.91379640127951,80.726964424362
9.391838154580931,117.8117743995677,80.38452596344436,104.61882335131423,80.38452596344436
9.410399099550766,117.50348735295835,80.04214833097467,104.3239085865687,80.04214833097467
