normalized_phase,theta_rock_deg,theta_cross_deg,q_rock,q_cross
0.14250000000000002,7.804304073383297,0.0,0.135789997278542,0.0
0.145,7.901550123756903,0.0,0.1374713439859864,0.0
0.1475,7.996846584870905,0.0,0.1391185988935615,0.0
0.15,8.090169943749475,0.0,0.1407313746270537,0.0
0.1525,8.181497174250234,0.0,0.1423092926588536,0.0
0.155,8.270805742745619,0.0,0.1438519833582719,0.0
0.1575,8.358073613682702,0.0,0.14535908603901418,0.0
0.16,8.443279255020151,0.0,0.1468302490039002,0.0
0.1625,8.526401643540922,0.0,0.1482651295869148,0.0
0.165,8.607420270039437,0.0,0.14966339419267893,0.0
0.1675,8.686315144381913,0.0,0.1510247183334311,0.0
0.17,8.763066800438637,0.0,0.15234878666361068,0.0
0.17250000000000001,8.837656300886934,0.0,0.15363529301213422,0.0
0.17500000000000002,8.910065241883679,0.0,0.15488394041245868,0.0
0.1775,8.980275757606154,0.0,0.15609444113052326,0.0
0.18,9.048270524660197,0.0,0.15726651669066463,0.0
0.1825,9.114032766354452,0.0,0.15839989789959616,0.0
0.185,9.177546256839811,0.0,0.15949432486854728,0.0
0.1875,9.238795325112868,0.0,0.16054954703365126,0.0
0.19,9.297764858882513,0.0,0.16156532317467587,0.0
0.1925,9.354440308298672,0.0,0.16254142143218528,0.0
0.195,9.408807689542254,0.0,0.16347761932322258,0.0
0.1975,9.460853588275453,0.0,0.16437370375560104,0.0
0.2,9.510565162951535,0.0,0.16522947104088845,0.0
0.2025,9.557930147983301,0.0,0.1660447269061701,0.0
0.20500000000000002,9.60293685676943,0.0,0.16681928650466993,0.0
0.20750000000000002,9.645574184577981,0.0,0.16755297442531125,0.0
0.21,9.68583161128631,0.0,0.16824562470129192,0.0
0.2125,9.723699203976766,0.0,0.16889708081774937,0.0
0.215,9.759167619387473,0.0,0.16950719571858563,0.0
0.2175,9.792228106217657,0.0,0.17007583181252087,0.0
0.22,9.822872507286887,0.0,0.17060286097843977,0.0
0.2225,9.85109326154774,0.0,0.17108816457009274,0.0
0.225,9.876883405951379,0.0,0.17153163342020863,0.0
0.2275,9.900236577165575,0.0,0.17193316784407434,0.0
0.23,9.921147013144779,0.0,0.17229267764263043,0.0
0.2325,9.939609554551797,0.0,0.17261008210512946,0.0
0.23500000000000001,9.9556196460308,0.0,0.17288531001139942,0.0
0.23750000000000002,9.969173337331279,0.0,0.17311829963375017,0.0
0.24,9.980267284282716,0.0,0.1733089987385563,0.0
0.2425,9.9888987496197,0.0,0.1734573645875466,0.0
0.245,9.995065603657316,0.0,0.17356336393882432,0.0
0.2475,9.998766324816605,0.0,0.17362697304763977,0.0
0.25,10.0,0.0,0.17364817766693033,0.0
0.2525,9.998766324816605,0.0,0.17362697304763977,0.0
0.255,9.995065603657316,0.0,0.17356336393882432,0.0
0.2575,9.9888987496197,0.0,0.1734573645875466,0.0
0.26,9.980267284282716,0.0,0.1733089987385563,0.0
0.2625,9.969173337331279,0.0,0.17311829963375017,0.0
0.265,9.9556196460308,0.0,0.17288531001139942,0.0
0.2675,9.939609554551797,0.0,0.17261008210512946,0.0
0.27,9.921147013144777,0.0,0.1722926776426304,0.0
0.2725,9.900236577165575,0.0,0.17193316784407434,0.0
0.275,9.876883405951377,0.0,0.1715316334202086,0.0
0.2775,9.851093261547739,0.0,0.1710881645700927,0.0
0.28,9.822872507286887,0.0,0.17060286097843977,0.0
0.28250000000000003,9.792228106217657,0.0,0.17007583181252087,0.0
0.28500000000000003,9.759167619387474,0.0,0.16950719571858566,0.0
0.28750000000000003,9.723699203976766,0.0,0.16889708081774937,0.0
0.29,9.685831611286313,0.0,0.16824562470129195,0.0
0.2925,9.645574184577981,0.0,0.16755297442531125,0.0
0.295,9.60293685676943,0.0,0.16681928650466993,0.0
0.2975,9.557930147983303,0.0,0.16604472690617011,0.0
0.3,9.510565162951536,0.0,0.16522947104088848,0.0
0.3025,9.460853588275453,0.0,0.16437370375560104,0.0
0.305,9.408807689542254,0.0,0.16347761932322258,0.0
0.3075,9.354440308298674,0.0,0.16254142143218528,0.0
0.31,9.297764858882514,0.0,0.16156532317467592,0.0
0.3125,9.238795325112868,0.0,0.16054954703365126,0.0
0.315,9.177546256839813,0.0,0.1594943248685473,0.0
0.3175,9.114032766354454,0.0,0.15839989789959621,0.0
0.32,9.048270524660195,0.0,0.1572665166906646,0.0
0.3225,8.980275757606156,0.0,0.15609444113052331,0.0
0.325,8.910065241883679,0.0,0.15488394041245868,0.0
0.3275,8.837656300886934,0.0,0.15363529301213422,0.0
0.33,8.763066800438635,0.0,0.15234878666361065,0.0
0.3325,8.686315144381911,0.0,0.15102471833343106,0.0
0.335,8.607420270039437,0.0,0.14966339419267893,0.0
0.3375,8.526401643540924,0.0,0.14826512958691482,0.0
0.34,8.44327925502015,0.0,0.14683024900390018,0.0
0.3425,8.358073613682702,0.0,0.14535908603901418,0.0
0.34500000000000003,8.270805742745617,0.0,0.14385198335827187,0.0
0.34750000000000003,8.181497174250234,0.0,0.1423092926588536,0.0
0.35000000000000003,8.090169943749475,0.0,0.1407313746270537,0.0
0.3525,7.996846584870906,0.0,0.1391185988935615,0.0
0.355,7.9015501237569055,0.0,0.13747134398598645,0.0
0.3575,7.8043040733833,0.0,0.13578999727854202,0.0
0.36,7.705132427757892,0.0,0.13407495493880603,0.0
0.3625,7.6040596560003095,0.0,0.13232662187147537,0.0
0.365,7.501110696304596,0.0,0.13054541165903708,0.0
0.3675,7.396310949786099,0.0,0.12873174649928026,0.0
0.37,7.289686274214114,0.0,0.12688605713957582,0.0
0.3725,7.181262977631889,0.0,0.12500878280785493,0.0
0.375,7.0710678118654755,0.0,0.12310037114021893,0.0
0.3775,6.959127965923145,0.0,0.12116127810511977,0.0
0.38,6.845471059286888,0.0,0.11919196792405072,0.0
0.3825,6.730125135097733,0.0,0.1171929129886936,0.0
0.385,6.613118653236518,0.0,0.11516459377447143,0.0
0.3875,6.494480483301838,0.0,0.11310749875046013,0.0
0.39,6.374239897486898,0.0,0.11102212428561788,0.0
0.3925,6.252426563357051,0.0,0.10890897455129499,0.0
0.395,6.129070536529763,0.0,0.10676856141999189,0.0
0.3975,6.00420225325884,0.0,0.10460140436033764,0.0
0.4,5.877852522924733,0.0,0.10240803032826727,0.0
0.4025,5.750052520432783,0.0,0.10018897365438056,0.0
0.405,5.6208337785213045,0.0,0.09794477592747103,0.0
0.40750000000000003,5.490228179981317,0.0,0.09567598587421743,0.0
0.41000000000000003,5.358267949789966,0.0,0.09338315923503883,0.0
0.41250000000000003,5.224985647159489,0.0,0.09106685863611655,0.0
0.41500000000000004,5.0904141575037105,0.0,0.08872765345759383,0.0
0.4175,4.954586684324077,0.0,0.0863661196979695,0.0
0.42,4.817536741017156,0.0,0.0839828398347063,0.0
0.4225,4.679298142605734,0.0,0.08157840268108295,0.0
0.425,4.539904997395468,0.0,0.07915340323932224,0.0
0.4275,4.399391698559153,0.0,0.07670844255003344,0.0
0.43,4.257792915650729,0.0,0.07424412753801539,0.0
