t_s,driver_arc_mm,robot_arc_mm,delta_s_mm,tangent_driver_x,tangent_driver_y,tangent_driver_z,tangent_robot_x,tangent_robot_y,tangent_robot_z,moment_x_Am2,moment_y_Am2,moment_z_Am2,telemetry_ft_N,G6_minus_ft_N,G6_minus_fnorm_N,G6_minus_fx_N,G6_minus_fy_N,G6_minus_fz_N,G6_plus_ft_N,G6_plus_fnorm_N,G6_plus_fx_N,G6_plus_fy_N,G6_plus_fz_N,G3_minus_ft_N,G3_minus_fnorm_N,G3_minus_fx_N,G3_minus_fy_N,G3_minus_fz_N,G3_plus_ft_N,G3_plus_fnorm_N,G3_plus_fx_N,G3_plus_fy_N,G3_plus_fz_N
0.0010005583192936314,18.90596397591576,13.799960625932426,-5.106003349983334,-0.6395673600442088,-0.68506200513782,0.34877448456363735,-0.9796095245582824,0.04387010361004848,-0.1960627282375192,0.0010597822434777575,-0.0002224318934945786,0.000437732394466834,2.7085174354461647e-06,-8.999928429302544e-06,1.7042386304646553e-05,1.6694883945233395e-05,-7.476512529473157e-07,3.3413767545667367e-06,8.999928429302544e-06,1.7042386304646553e-05,-1.6694883945233395e-05,7.476512529473157e-07,-3.3413767545667367e-06,-4.499964214651272e-06,8.521193152323276e-06,8.347441972616698e-06,-3.7382562647365783e-07,1.6706883772833683e-06,4.499964214651272e-06,8.521193152323276e-06,-8.347441972616698e-06,3.7382562647365783e-07,-1.6706883772833683e-06
0.0011006166869309839,18.906564326121586,13.799960625932426,-5.10660370018916,-0.6394765149072769,-0.6851194099346953,0.34882829732230497,-0.9796095245582824,0.04387010361004848,-0.1960627282375192,0.001028173354402483,-0.0002532649135084358,0.000492889883120268,2.252215193376434e-06,-8.85002807731866e-06,1.6761772442805514e-05,1.641999193345083e-05,-7.353406937539332e-07,3.2863588352329157e-06,8.85002807731866e-06,1.6761772442805514e-05,-1.641999193345083e-05,7.353406937539332e-07,-3.2863588352329157e-06,-4.42501403865933e-06,8.380886221402757e-06,8.209995966725415e-06,-3.676703468769666e-07,1.6431794176164579e-06,4.42501403865933e-06,8.380886221402757e-06,-8.209995966725415e-06,3.676703468769666e-07,-1.6431794176164579e-06
0.0012006860026084394,18.90716474201565,13.799960625932426,-5.1072041160832224,-0.639385650667944,-0.6851768110673576,0.3488821108848894,-0.9796095245582824,0.04387010361004848,-0.1960627282375192,0.0009979336147617442,-0.0002745338042143152,0.0005412796789758279,1.8699385576170115e-06,-8.696933814284654e-06,1.6475000285077037e-05,1.6139067196361884e-05,-7.227599694819078e-07,3.2301335036061104e-06,8.696933814284654e-06,1.6475000285077037e-05,-1.6139067196361884e-05,7.227599694819078e-07,-3.2301335036061104e-06,-4.348466907142327e-06,8.237500142538518e-06,8.069533598180942e-06,-3.613799847409539e-07,1.6150667518030552e-06,4.348466907142327e-06,8.237500142538518e-06,-8.069533598180942e-06,3.613799847409539e-07,-1.6150667518030552e-06
0.001300746503901379,18.907765105023408,13.799960625932426,-5.107804479090982,-0.6392947852744155,-0.6852341971970298,0.3489359146214117,-0.9796095245582824,0.04387010361004848,-0.1960627282375192,0.0009958883358753869,-0.0002583439992536179,0.0005528913098584562,1.9136008142586e-06,-8.6927911577502e-06,1.647033757984486e-05,1.6134499565906236e-05,-7.225554161202691e-07,3.2292193208973223e-06,8.6927911577502e-06,1.647033757984486e-05,-1.6134499565906236e-05,7.225554161202691e-07,-3.2292193208973223e-06,-4.3463955788751e-06,8.23516878992243e-06,8.067249782953118e-06,-3.6127770806013454e-07,1.6146096604486611e-06,4.3463955788751e-06,8.23516878992243e-06,-8.067249782953118e-06,3.6127770806013454e-07,-1.6146096604486611e-06
0.0014007679868005443,18.9083652339208,13.799960625932426,-5.1084046079883745,-0.6392039461656146,-0.6852915510059515,0.3489896922921413,-0.9796095245582824,0.04387010361004848,-0.1960627282375192,0.000985946103733361,-0.00024795607974773947,0.0005750235326046557,1.8616958168458892e-06,-8.645647492441397e-06,1.638418177083765e-05,1.605010051480675e-05,-7.187757518525154e-07,3.212327377929859e-06,8.645647492441397e-06,1.638418177083765e-05,-1.605010051480675e-05,7.187757518525154e-07,-3.212327377929859e-06,-4.3228237462206986e-06,8.192090885418825e-06,8.025050257403376e-06,-3.593878759262577e-07,1.6061636889649295e-06,4.3228237462206986e-06,8.192090885418825e-06,-8.025050257403376e-06,3.593878759262577e-07,-1.6061636889649295e-06
0.0015007789487008415,18.908965299692202,13.799960625932426,-5.109004673759776,-0.6391131074710744,-0.6853488888398845,0.34904345922048513,-0.9796095245582824,0.04387010361004848,-0.1960627282375192,0.0009748740765173617,-0.00023577606762075054,0.000598543382614591,1.8100294202933589e-06,-8.591263331284561e-06,1.6284268570496607e-05,1.5952224592123564e-05,-7.143925494015422e-07,3.1927381232840515e-06,8.591263331284561e-06,1.6284268570496607e-05,-1.5952224592123564e-05,7.143925494015422e-07,-3.1927381232840515e-06,-4.2956316656422805e-06,8.142134285248304e-06,7.976112296061782e-06,-3.571962747007711e-07,1.5963690616420258e-06,4.2956316656422805e-06,8.142134285248304e-06,-7.976112296061782e-06,3.571962747007711e-07,-1.5963690616420258e-06
0.0016008155951885564,18.90956551957113,13.799960625932426,-5.109604893638705,-0.6390222363075987,-0.6854062314513357,0.3490972348674702,-0.9796095245582824,0.04387010361004848,-0.1960627282375192,0.0009937244319760021,-0.00018472674367602814,0.0005853304908039755,2.1999317871736122e-06,-8.698790957404647e-06,1.6491272052431386e-05,1.61550071746436e-05,-7.234738136016617e-07,3.23332379070685e-06,8.698790957404647e-06,1.6491272052431386e-05,-1.61550071746436e-05,7.234738136016617e-07,-3.23332379070685e-06,-4.3493954787023234e-06,8.245636026215693e-06,8.0775035873218e-06,-3.6173690680083086e-07,1.616661895353425e-06,4.3493954787023234e-06,8.245636026215693e-06,-8.0775035873218e-06,3.6173690680083086e-07,-1.616661895353425e-06
0.0017008757361520082,18.910165880416912,13.799960625932426,-5.110205254484486,-0.6389313346618624,-0.6854635775751045,0.3491510180497114,-0.9796095245582824,0.04387010361004848,-0.1960627282375192,0.0010022798617362225,-0.00013983938475418503,0.000583184383561143,2.4796079497634082e-06,-8.7456475201108e-06,1.6583313466945923e-05,1.6245171820955858e-05,-7.275116799928299e-07,3.2513696815474106e-06,8.7456475201108e-06,1.6583313466945923e-05,-1.6245171820955858e-05,7.275116799928299e-07,-3.2513696815474106e-06,-4.3728237600554e-06,8.291656733472961e-06,8.122585910477929e-06,-3.6375583999641495e-07,1.6256848407737053e-06,4.3728237600554e-06,8.291656733472961e-06,-8.122585910477929e-06,3.6375583999641495e-07,-1.6256848407737053e-06
0.0018008878710821792,18.91076595322649,13.799960625932426,-5.110805327294065,-0.6388404674972603,-0.6855208862342699,0.3492047703346319,-0.9796095245582824,0.04387010361004848,-0.1960627282375192,0.001002085358298283,-0.00010091129397988335,0.0005914945861387975,2.659031442966305e-06,-8.742834422249938e-06,1.6581188417607027e-05,1.624309010238332e-05,-7.274184538581561e-07,3.250953038576388e-06,8.742834422249938e-06,1.6581188417607027e-05,-1.624309010238332e-05,7.274184538581561e-07,-3.250953038576388e-06,-4.371417211124969e-06,8.290594208803513e-06,8.12154505119166e-06,-3.6370922692907806e-07,1.625476519288194e-06,4.371417211124969e-06,8.290594208803513e-06,-8.12154505119166e-06,3.6370922692907806e-07,-1.625476519288194e-06
0.001900990007913897,18.911366566047484,13.699960625932427,-5.211405940115057,-0.6387495094233266,-0.6855782365010087,0.34925856589012483,-0.9780720423548526,0.052473125798880214,-0.20154813577084363,0.000993622013887562,-6.84962211110279e-05,0.0006101209398238473,2.7908028303028066e-06,-8.733194571762154e-06,1.6847213891856747e-05,1.6477788899197374e-05,-8.840259739080415e-07,3.3955245528363866e-06,8.733194571762154e-06,1.6847213891856747e-05,-1.6477788899197374e-05,8.840259739080415e-07,-3.3955245528363866e-06,-4.366597285881077e-06,8.423606945928374e-06,8.238894449598687e-06,-4.4201298695402073e-07,1.6977622764181933e-06,4.366597285881077e-06,8.423606945928374e-06,-8.238894449598687e-06,4.4201298695402073e-07,-1.6977622764181933e-06
