event,start_s,end_s,duration_us,peak_force_N,sector_deg,sector_bin_30deg,true_separation_after
76,0.006926086265593767,0.006927486043423414,1.501757651567459,0.05114758182923171,324.2265340215056,11,0
77,0.006937786005437374,0.007212285418063402,274.9217674136162,0.2717474121055489,28.781039760214377,1,1
78,0.0072922855615615845,0.00729358522221446,1.4016404747962952,0.16142548737336562,339.3076237212422,11,1
79,0.0073370854370296,0.007338385097682476,1.4016404747962952,0.08544107277419585,339.25862984629856,11,1
80,0.007362185046076775,0.007363485172390938,1.4016404747962952,0.047320721577091926,339.2538809265393,11,0
81,0.007376485038548708,0.007379584945738316,3.203749656677246,0.20850563970117975,142.20472196430615,5,1
82,0.007433485239744186,0.0074393851682543755,6.007030606269836,0.10542973352572785,339.24158781525506,11,0
83,0.007455285172909498,0.007487785071134567,32.638199627399445,0.21015717998070924,359.894358627205,0,1
84,0.007537684869021177,0.007539084646850824,1.501757651567459,0.09999706359828892,143.67861392797568,5,1
85,0.0075704846531152725,0.007571884896606207,1.501757651567459,0.059540489527144684,143.7695833782167,5,0
86,0.00759048480540514,0.007596284616738558,5.9069134294986725,0.1100424221428983,144.01911054689268,5,1
87,0.007629884872585535,0.0076327845454216,3.003515303134918,0.1069271357408819,12.46174503874736,0,1
88,0.007681884337216616,0.007683384697884321,1.601874828338623,0.09306833859881847,144.1272306636181,5,0
89,0.007692784536629915,0.0076940846629440784,1.4016404747962952,0.0794319257655854,354.2874718898665,0,1
90,0.007717184256762266,0.007725084666162729,8.009374141693115,0.05569179648137037,106.21344830864612,4,0
91,0.00773918442428112,0.007743284571915865,4.2049214243888855,0.03243226882520503,46.08305462979321,2,0
92,0.007749284617602825,0.00778038427233696,31.23655915260315,0.08556593728631415,150.23207293270596,5,1
93,0.007817684672772884,0.007819084450602531,1.501757651567459,0.06861580726416161,354.2171389464215,0,0
94,0.007838284596800804,0.007846184074878693,8.009374141693115,0.08716069488925814,150.58796701020384,5,1
95,0.007867584004998207,0.007868983782827854,1.501757651567459,0.042965717549096255,354.2335840421334,0,0
96,0.00787438452243805,0.00787588395178318,1.601874828338623,0.04016052564111077,159.10647775947314,5,0
97,0.007887084037065506,0.007889283820986748,2.3026950657367706,0.018065959282831084,46.29385335346532,2,0
98,0.007895884104073048,0.00866888277232647,774.0058936178684,0.06273670982101164,81.07297369482183,3,1
99,0.008693482726812363,0.008694982156157494,1.601874828338623,0.047977746747084604,155.8117401584353,5,0
100,0.008709382265806198,0.008714482188224792,5.206093192100525,0.06197054769746249,6.155784582058525,0,0
101,0.008731182664632797,0.008733781985938549,2.7031637728214264,0.03401480921968441,126.65153987992248,4,0
102,0.008740382269024849,0.008832582272589207,92.40815415978432,0.06334389673116744,137.43097617455746,5,1
103,0.0088571822270751,0.008858482353389263,1.4016404747962952,0.05113508859715391,350.80738354700725,0,0
104,0.00887278188019991,0.008874082006514072,1.4016404747962952,0.029299794858870423,350.77123631698515,0,0
105,0.008881881833076477,0.008884882554411888,3.103632479906082,0.06173932117836003,150.90727659619466,5,0
106,0.008901182562112808,0.008906882256269455,5.8067962527275085,0.03541846465445015,31.524973200996833,1,0
107,0.008913482539355755,0.009333581663668156,420.6923767924309,0.06200923283266616,29.015852115489807,1,1
108,0.009360481053590775,0.00936198141425848,1.601874828338623,0.051637010791505324,159.24232085289518,5,0
109,0.00937758106738329,0.009379780851304531,2.3026950657367706,0.03560467880998525,334.2150012077204,11,0
110,0.009394681081175804,0.00939618144184351,1.601874828338623,0.02874929970764331,159.2109695370347,5,0
111,0.009403080679476261,0.009583980776369572,181.21208995580673,0.11273475362232127,181.01947111550672,6,1
112,0.00962998066097498,0.009631380438804626,1.501757651567459,0.08713933752730785,338.24623121756457,11,1
113,0.009655280970036983,0.00965668074786663,1.501757651567459,0.04448935584469238,339.0019616471689,11,0
114,0.009667380712926388,0.009668880142271519,1.601874828338623,0.11863320899735558,174.1924050213095,6,0
115,0.009686180390417576,0.009687580168247223,1.501757651567459,0.03493644080439755,338.93626621936755,11,0
116,0.009697080589830875,0.009713680483400822,16.719568520784378,0.04223257878457406,195.56993711813593,7,0
117,0.009726080112159252,0.009727480821311474,1.501757651567459,0.02696353046856177,339.1639462236176,11,0
118,0.009734280407428741,0.009738480672240257,4.305038601160049,0.033450909722034586,183.8686481403477,6,0
119,0.00974568072706461,0.009844380430877209,98.91577064990997,0.05442297210044605,322.3246102205672,11,1
120,0.009865780360996723,0.009867279790341854,1.601874828338623,0.04416703575992965,174.24465656392874,6,0
121,0.009879980236291885,0.009881880134344101,2.002343535423279,0.028138344055230514,354.24340057719655,0,0
