time_s,sample_index,min_analytic_gap_um,HEAD_gap_um,TAIL_gap_um,nearest_wall_sector_deg,minimum_end_margin_mm
0.008299983106553555,83000,-2.9074395627910476,-0.3046068152370296,-2.9074395627910476,1.908388231125858,10.7390537201097
0.008309983648359776,83100,-2.9279193992094443,-0.3193547912634376,-2.9279193992094443,1.8356257871053052,10.73898169625058
0.008319983258843422,83200,-2.946325363393454,-0.33476183750857924,-2.946325363393454,1.7610919927716688,10.738910053407128
0.008329982869327068,83300,-2.962775051074229,-0.35081540541770373,-2.962775051074229,1.6848162422403752,10.73883875177302
0.00833998341113329,83400,-2.977394482344242,-0.36756280927219276,-2.977394482344242,1.6067897613377455,10.738767766818553
0.008349983021616936,83500,-2.990321241849947,-0.38501158629333787,-2.990321241849947,1.527036478815922,10.738697058288189
0.008359983563423157,83600,-3.001664625012501,-0.4031730423549318,-3.001664625012501,1.4455628900277473,10.738626605317044
0.008369983173906803,83700,-3.0115649768595043,-0.4220802991519168,-3.0115649768595043,1.362376984079549,10.738556372512125
0.00837998278439045,83800,-3.0201510021197198,-0.44172908387152265,-3.0201510021197198,1.27750287994245,10.7384863395035
0.00838998332619667,83900,-3.0275468557953156,-0.4621376091759055,-3.0275468557953156,1.1909486060212073,10.738416474032014
0.008399982936680317,84000,-3.033896587785301,-0.48334231295044106,-3.033896587785301,1.1027229476703457,10.738346757648795
0.008409983478486538,84100,-3.039330826285269,-0.5053604292186709,-3.039330826285269,1.0128331752263855,10.738277162391899
0.008419983088970184,84200,-3.043975386288311,-0.5281880155946217,-3.043975386288311,0.9213052678605902,10.738207666695397
0.00842998269945383,84300,-3.0479755678098908,-0.5518419156969046,-3.0479755678098908,0.8281545175792392,10.73813825115943
0.008439983241260052,84400,-3.0514653368182154,-0.5763637454734294,-3.0514653368182154,0.7333767411208724,10.738068891776928
0.008449982851743698,84500,-3.0545902981903295,-0.6017448880352161,-3.0545902981903295,0.6370030992032595,10.737999572569244
0.008459983393549919,84600,-3.0574729227907937,-0.628011148485208,-3.0574729227907937,0.5390436597241511,10.737930271470644
0.008469983004033566,84700,-3.0602580342996566,-0.6551668613479222,-3.0602580342996566,0.4395082319551775,10.737860976064002
0.008479982614517212,84800,-3.063096944111554,-0.6832313283381408,-3.063096944111554,0.3384236146333179,10.737791664759236
0.008489983156323433,84900,-3.066112719653624,-0.7122336881144609,-3.066112719653624,0.23578307719005956,10.737722323411345
0.00849998276680708,85000,-3.0694472495211844,-0.7421654127810484,-3.0694472495211844,0.13162156321965954,10.73765293723446
0.0085099833086133,85100,-3.073265730928587,-0.7730558011669331,-3.073265730928587,0.02594957817758786,10.737583488436211
0.008519982919096947,85200,-3.0776870134142653,-0.8048957216225672,-3.0776870134142653,359.9187866254246,10.737513968070264
0.008529982529580593,85300,-3.082854943386004,-0.8377243656547684,-3.082854943386004,359.8101358893642,10.737444360719639
