time_s,A1,A2,A3,AR1,AR2,AR3,CF1,CF2,CF3,RF1,RF2,RF3,RM1,RM2,RM3,U1,U2,U3,UR1,UR2,UR3,V1,V2,V3,VR1,VR2,VR3
0.0006104999920353293,-301.27301025390625,-329.5413513183594,168.86007690429688,69215.375,-1038117.5,-575089.1875,-3.0127216632536147e-06,-3.2954046673694393e-06,1.6885961713342112e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.280887681787135e-05,-1.4011614439368714e-05,7.179848580562975e-06,0.0030421747360378504,-0.040770161896944046,-0.023844460025429726,-0.07576727867126465,-0.08287996053695679,0.04246914014220238,17.72994041442871,-246.33572387695312,-141.47132873535156
0.000610999995842576,-301.5113525390625,-329.8020324707031,168.99363708496094,69268.8671875,-1039240.5,-575640.4375,-3.015105221493286e-06,-3.2980112791847205e-06,1.6899317643037648e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.2846798199461773e-05,-1.4053095583221875e-05,7.20110438123811e-06,0.003051074920222163,-0.04089346155524254,-0.023915261030197144,-0.07591797411441803,-0.08304478973150253,0.042553603649139404,17.76456069946289,-246.8550567626953,-141.75901794433594
0.0006114999996498227,-301.7491760253906,-330.0621337890625,169.1269073486328,69322.25,-1040363.0,-576191.125,-3.0174835501384223e-06,-3.3006122066581156e-06,1.6912644014155376e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.288479415961774e-05,-1.4094659491092898e-05,7.222402473416878e-06,0.0030599927995353937,-0.04101702198386192,-0.023986205458641052,-0.07606879621744156,-0.08320976048707962,0.042638130486011505,17.79920768737793,-247.3749542236328,-142.04696655273438
0.0006120000034570694,-301.9864807128906,-330.3216552734375,169.25987243652344,69375.515625,-1041484.9375,-576741.375,-3.0198566491890233e-06,-3.3032076771633e-06,1.6925941963563673e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.2922866517328657e-05,-1.413630525348708e-05,7.243742402351927e-06,0.0030689279083162546,-0.0411408394575119,-0.0240572951734066,-0.07621973007917404,-0.08337485790252686,0.04272272810339928,17.83388328552246,-247.89541625976562,-142.335205078125
0.0006125000072643161,-302.2232666015625,-330.58062744140625,169.39256286621094,69428.671875,-1042606.3125,-577291.125,-3.0222242912714137e-06,-3.305797235952923e-06,1.6939209217525786e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.2961014363099821e-05,-1.4178033779899124e-05,7.2651250775379594e-06,0.003077880712226033,-0.04126492142677307,-0.02412852831184864,-0.07637077569961548,-0.08354008197784424,0.04280739277601242,17.86858367919922,-248.41644287109375,-142.6237030029297
0.0006130000110715628,-302.45953369140625,-330.8390197753906,169.5249481201172,69481.7109375,-1043727.0625,-577840.375,-3.0245869311329443e-06,-3.30838111040066e-06,1.6952448049778468e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.2999237696931232e-05,-1.4219845979823731e-05,7.286550044227624e-06,0.003086850978434086,-0.041389260441064835,-0.02419990487396717,-0.07652194797992706,-0.08370543271303177,0.04289212077856064,17.903310775756836,-248.93801879882812,-142.91249084472656
0.0006135000148788095,-302.69525146484375,-331.0968322753906,169.65704345703125,69534.6328125,-1044847.3125,-578389.0625,-3.0269443413999397e-06,-3.3109590731328353e-06,1.696565846032172e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.303753651882289e-05,-1.4261740034271497e-05,7.308017302420922e-06,0.0030958387069404125,-0.04151386395096779,-0.02427142672240734,-0.0766732394695282,-0.08387091755867004,0.04297691583633423,17.938066482543945,-249.46017456054688,-143.20155334472656
0.0006140000186860561,-302.93048095703125,-331.35406494140625,169.78884887695312,69587.4453125,-1045966.9375,-578937.3125,-3.0292962946987245e-06,-3.3135313515231246e-06,1.6978838175418787e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.3075910828774795e-05,-1.4303716852737125e-05,7.329526852117851e-06,0.003104844130575657,-0.04163872450590134,-0.02434309385716915,-0.07682464271783829,-0.08403652906417847,0.04306177794933319,17.97284698486328,-249.98287963867188,-143.49087524414062
0.0006145000224933028,-303.1651611328125,-331.6107177734375,169.92034912109375,69640.1484375,-1047085.9375,-579485.0,-3.0316432457766496e-06,-3.316097945571528e-06,1.6991988331938046e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.3114360626786947e-05,-1.4345776435220614e-05,7.3510791480657645e-06,0.0031138670165091753,-0.041763849556446075,-0.024414904415607452,-0.07697616517543793,-0.08420227468013763,0.043146707117557526,18.007652282714844,-250.50613403320312,-143.78048706054688
0.0006150000263005495,-303.3992919921875,-331.8667907714844,170.05154418945312,69692.7265625,-1048204.4375,-580032.1875,-3.033984739886364e-06,-3.318658855278045e-06,1.7005108929879498e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.3152886822354048e-05,-1.4387918781721964e-05,7.37267373551731e-06,0.0031229075975716114,-0.04188923537731171,-0.024486860260367393,-0.07712780684232712,-0.08436814695596695,0.043231699615716934,18.0424861907959,-251.0299530029297,-144.07037353515625
0.0006154999719001353,-303.6329040527344,-332.1222839355469,170.18246459960938,69745.1953125,-1049322.25,-580578.875,-3.0363207770278677e-06,-3.321213625895325e-06,1.7018198832374765e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.3191488505981397e-05,-1.4430144801735878e-05,7.394310614472488e-06,0.0031319656409323215,-0.04201488196849823,-0.024558961391448975,-0.07727956771850586,-0.08453413844108582,0.043316759169101715,18.07734489440918,-251.55433654785156,-144.3605194091797
0.000615999975707382,-303.8659973144531,-332.377197265625,170.3130645751953,69797.546875,-1050439.5,-581125.0,-3.0386518119485117e-06,-3.3237629395443946e-06,1.7031260313160601e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.3230166587163694e-05,-1.4472452676272951e-05,7.415990239678649e-06,0.0031410413794219494,-0.042140793055295944,-0.024631207808852196,-0.07743144035339355,-0.08470026403665543,0.04340188205242157,18.112232208251953,-252.07928466796875,-144.65093994140625
0.0006164999795146286,-304.09857177734375,-332.63153076171875,170.44337463378906,69849.78125,-1051556.25,-581670.625,-3.0409771625272697e-06,-3.326306114104227e-06,1.7044291098500253e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.3268920156406239e-05,-1.4514845133817289e-05,7.437712611135794e-06,0.0031501345802098513,-0.04226696491241455,-0.024703597649931908,-0.0775834321975708,-0.08486651629209518,0.0434870719909668,18.14714241027832,-252.6047821044922,-144.941650390625
0.0006169999833218753,-304.33056640625,-332.8852844238281,170.57339477539062,69901.90625,-1052672.375,-582215.75,-3.043297510885168e-06,-3.3288436043221736e-06,1.7057292325262097e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.3307750123203732e-05,-1.4557319445884787e-05,7.459477728843922e-06,0.003159245476126671,-0.04239340126514435,-0.02477613463997841,-0.0777355432510376,-0.08503289520740509,0.0435723252594471,18.18208122253418,-253.13084411621094,-145.2326202392578
0.000617499987129122,-304.5620422363281,-333.138427734375,170.70309448242188,69953.90625,-1053787.875,-582760.375,-3.04561217490118e-06,-3.3313751828245586e-06,1.7070262856577756e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.3346655578061473e-05,-1.4599877431464847e-05,7.481285138055682e-06,0.003168374067172408,-0.042520102113485336,-0.02484881691634655,-0.07788776606321335,-0.08519940078258514,0.04365764185786247,18.217044830322266,-253.65745544433594,-145.52386474609375
0.0006179999909363687,-304.7929992675781,-333.3909912109375,170.83250427246094,70005.796875,-1054902.75,-583304.4375,-3.047921609322657e-06,-3.333900849611382e-06,1.7083203829315607e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.3385637430474162e-05,-1.4642519090557471e-05,7.503135293518426e-06,0.003177520353347063,-0.04264706373214722,-0.02492164447903633,-0.07804010063409805,-0.08536603301763535,0.04374302923679352,18.25203514099121,-254.18463134765625,-145.8153839111328
0.0006184999947436154,-305.0234069824219,-333.6429748535156,170.96160888671875,70057.5625,-1056017.0,-583848.0,-3.0502258141495986e-06,-3.336420604682644e-06,1.7096115243475651e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.34246956804418e-05,-1.4685243513667956e-05,7.525028195232153e-06,0.0031866843346506357,-0.04277428984642029,-0.024994617328047752,-0.07819255441427231,-0.0855327919125557,0.04382847622036934,18.287050247192383,-254.7123565673828,-146.10716247558594
