region,parameter,x_mm,radius_mm
HEAD,0.428,0.07376860076131488,0.2350479073771085
HEAD,0.43,0.07453166434219058,0.23623398178734928
HEAD,0.432,0.07529755189560687,0.23741880389207662
HEAD,0.434,0.07606623052980181,0.2386023316978273
HEAD,0.436,0.07683766713535398,0.2397845231471465
HEAD,0.438,0.07761182838782717,0.2409653361227297
HEAD,0.44,0.07838868075041487,0.24214472845156357
HEAD,0.442,0.07916819047658483,0.24332265790906765
HEAD,0.444,0.07995032361272354,0.24449908222323538
HEAD,0.446,0.08073504600078082,0.24567395907877568
HEAD,0.448,0.08152232328091444,0.24684724612125417
HEAD,0.45,0.0823121208941344,0.24801890096123444
HEAD,0.452,0.0831044040849478,0.2491888811784196
HEAD,0.454,0.08389913790400315,0.2503571443257935
HEAD,0.456,0.08469628721073497,0.251523647933762
HEAD,0.458,0.08549581667600838,0.2526883495142943
HEAD,0.46,0.08629769078476356,0.2538512065650645
HEAD,0.462,0.08710187383866042,0.2550121765735928
HEAD,0.464,0.0879083299587229,0.2561712170213868
HEAD,0.466,0.08871702308798379,0.2573282853880826
HEAD,0.468,0.0895279169941291,0.25848333915558697
HEAD,0.47,0.09034097527214259,0.2596363358122175
HEAD,0.472,0.09115616134695045,0.260787232856845
HEAD,0.474,0.09197343847606573,0.2619359878030343
HEAD,0.476,0.09279276975223287,0.26308255818318566
HEAD,0.478,0.0936141181060722,0.26422690155267603
HEAD,0.48,0.09443744630872473,0.2653689754940006
HEAD,0.482,0.09526271697449636,0.26650873762091415
HEAD,0.484,0.0960898925635026,0.2676461455825721
HEAD,0.486,0.09691893538431316,0.26878115706767214
HEAD,0.488,0.09774980759659628,0.2699137298085951
HEAD,0.49,0.09858247121376353,0.27104382158554735
HEAD,0.492,0.09941688810561411,0.27217139023070086
HEAD,0.494,0.10025302000097955,0.2732963936323351
HEAD,0.496,0.10109082849036824,0.2744187897389787
HEAD,0.498,0.10193027502860985,0.27553853656355026
HEAD,0.5,0.10277132093750001,0.27665559218749997
HEAD,0.502,0.10361392740844472,0.2777699147649509
HEAD,0.504,0.10445805550510505,0.27888146252684015
HEAD,0.506,0.10530366616604155,0.2799901937850607
HEAD,0.508,0.10615072020735879,0.2810960669366021
HEAD,0.51,0.10699917832534998,0.2821990404676921
HEAD,0.512,0.10784900109914147,0.28329907295793827
HEAD,0.514,0.10870014899333727,0.28439612308446877
HEAD,0.516,0.10955258236066362,0.2854901496260743
HEAD,0.518,0.11040626144461352,0.28658111146734877
HEAD,0.52,0.11126114638209128,0.28766896760283134
HEAD,0.522,0.112117197206057,0.2887536771411472
HEAD,0.524,0.11297437384817122,0.28983519930914925
HEAD,0.526,0.11383263614143936,0.2909134934560591
HEAD,0.528,0.11469194382285629,0.29198851905760875
HEAD,0.53,0.1155522565360509,0.29306023572018197
HEAD,0.532,0.11641353383393067,0.29412860318495526
HEAD,0.534,0.11727573518132606,0.29519358133203943
HEAD,0.536,0.1181388199576352,0.2962551301846209
HEAD,0.538,0.11900274745946832,0.29731320991310306
HEAD,0.54,0.11986747690329246,0.2983677808392475
HEAD,0.542,0.12073296742807584,0.29941880344031574
HEAD,0.544,0.12159917809793236,0.3004662383532098
HEAD,0.546,0.12246606790476643,0.3015100463786144
HEAD,0.548,0.12333359577091715,0.3025501884851378
HEAD,0.55,0.12420172055180315,0.30358662581345314
HEAD,0.552,0.12507040103856687,0.30461931968044
HEAD,0.554,0.1259395959607193,0.3056482315833254
HEAD,0.556,0.12680926398878445,0.3066733232038256
HEAD,0.558,0.12767936373694386,0.3076945564122873
HEAD,0.56,0.12854985376568118,0.3087118932718285
HEAD,0.562,0.12942069258442668,0.30972529604248045
HEAD,0.564,0.13029183865420182,0.3107347271853286
HEAD,0.566,0.13116325039026386,0.31174014936665445
HEAD,0.568,0.13203488616475012,0.31274152546207606
HEAD,0.57,0.13290670430932292,0.31373881856069025
HEAD,0.572,0.13377866311781378,0.3147319919692131
HEAD,0.574,0.13465072084886814,0.31572100921612223
HEAD,0.576,0.13552283572858992,0.31670583405579744
HEAD,0.578,0.13639496595318584,0.317686430472662
HEAD,0.58,0.13726706969161032,0.31866276268532456
HEAD,0.582,0.13813910508820962,0.31963479515072013
HEAD,0.584,0.1390110302653667,0.3206024925682515
HEAD,0.586,0.1398828033261456,0.32156581988393007
HEAD,0.588,0.14075438235693605,0.32252474229451833
HEAD,0.59,0.14162572543009785,0.32347922525167017
HEAD,0.592,0.14249679060660572,0.3244292344660724
HEAD,0.594,0.1433675359386935,0.32537473591158655
HEAD,0.596,0.14423791947249895,0.32631569582939
HEAD,0.598,0.14510789925070813,0.32725208073211687
HEAD,0.6,0.1459774333152,0.32818385740799993
HEAD,0.602,0.14684647970969095,0.32911099292501184
HEAD,0.604,0.14771499648237943,0.3300334546350061
HEAD,0.606,0.1485829416885902,0.3309512101778589
HEAD,0.608,0.14945027339341932,0.3318642274856101
HEAD,0.61,0.1503169496743783,0.3327724747866048
HEAD,0.612,0.15118292862403884,0.3336759206096345
HEAD,0.614,0.15204816835267726,0.33457453378807855
HEAD,0.616,0.15291262699091915,0.33546828346404545
HEAD,0.618,0.1537762626923838,0.33635713909251413
HEAD,0.62,0.15463903363632886,0.33724107044547535
HEAD,0.622,0.15550089803029477,0.3381200476160731
HEAD,0.624,0.15636181411274933,0.3389940410227459
HEAD,0.626,0.15722174015573231,0.3398630214133681
HEAD,0.628,0.15808063446749987,0.34072695986939094
HEAD,0.63,0.15893845539516926,0.34158582780998475
HEAD,0.632,0.15979516132736313,0.3424395969961792
HEAD,0.634,0.16065071069685433,0.3432882395350054
HEAD,0.636,0.16150506198321019,0.34413172788363705
HEAD,0.638,0.16235817371543737,0.3449700348535315
HEAD,0.64,0.16321000447462605,0.3458031336145715
HEAD,0.642,0.16406051289659476,0.3466309976992063
HEAD,0.644,0.16490965767453472,0.3474536010065929
HEAD,0.646,0.16575739756165456,0.3482709178067378
HEAD,0.648,0.1666036913738247,0.3490829227446378
HEAD,0.65,0.1674484979922219,0.34988959084442184
HEAD,0.652,0.16829177636597395,0.350690897513492
HEAD,0.654,0.16913348551480412,0.35148681854666475
HEAD,0.656,0.16997358453167555,0.3522773301303127
HEAD,0.658,0.17081203258543617,0.3530624088465059
HEAD,0.66,0.17164878892346275,0.35384203167715245
HEAD,0.662,0.1724838128743059,0.354616176008141
HEAD,0.664,0.17331706385033419,0.3553848196334809
HEAD,0.666,0.17414850135037918,0.35614794075944456
HEAD,0.668,0.17497808496237938,0.356905518008708
HEAD,0.67,0.17580577436602532,0.35765753042449305
HEAD,0.672,0.17663152933540374,0.3584039574747074
HEAD,0.674,0.17745530974164234,0.3591447790560873
HEAD,0.676,0.17827707555555417,0.35987997549833817
HEAD,0.678,0.17909678685028219,0.36060952756827597
HEAD,0.68,0.17991440380394397,0.3613334164739686
HEAD,0.682,0.18072988670227605,0.36205162386887757
HEAD,0.684,0.18154319594127846,0.3627641318559986
HEAD,0.686,0.18235429202985956,0.36347092299200395
HEAD,0.688,0.18316313559248007,0.3641719802913826
HEAD,0.69,0.1839696873717982,0.36486728723058287
HEAD,0.692,0.18477390823131368,0.3655568277521525
HEAD,0.694,0.1855757591580126,0.36624058626888084
HEAD,0.696,0.18637520126501178,0.36691854766793985
HEAD,0.698,0.18717219579420355,0.3675906973150258
HEAD,0.7,0.18796670411889999,0.36825702105849994
HEAD,0.702,0.1887586877464776,0.36891750523353045
HEAD,0.704,0.18954810832102198,0.36957213666623345
HEAD,0.706,0.1903349276259721,0.3702209026778144
HEAD,0.708,0.1911191075867651,0.3708637910887097
HEAD,0.71,0.19190061027348065,0.3715007902227276
HEAD,0.712,0.19267939790348554,0.37213188891118976
HEAD,0.714,0.1934554328440783,0.3727570764970727
HEAD,0.716,0.19422867761513346,0.37337634283914883
HEAD,0.718,0.1949990948917466,0.3739896783161281
HEAD,0.72,0.19576664750687844,0.3745970738307993
HEAD,0.722,0.19653129845399955,0.3751985208141711
HEAD,0.724,0.19729301088973478,0.37579401122961364
HEAD,0.726,0.19805174813650803,0.37638353757700005
HEAD,0.728,0.1988074736851865,0.3769670928968471
HEAD,0.73,0.19956015119772558,0.37754467077445747
HEAD,0.732,0.20030974450981306,0.37811626534406045
HEAD,0.734,0.20105621763351378,0.3786818712929534
HEAD,0.736,0.20179953475991425,0.379241483865643
HEAD,0.738,0.20253966026176712,0.3797950988679872
HEAD,0.74,0.20327655869613565,0.3803427126713355
HEAD,0.742,0.20401019480703844,0.38088432221667134
HEAD,0.744,0.20474053352809382,0.3814199250187526
HEAD,0.746,0.20546753998516443,0.3819495191702537
HEAD,0.748,0.20619117949900173,0.38247310334590623
HEAD,0.75,0.20691141758789064,0.3829906768066406
HEAD,0.752,0.20762821997029388,0.38350223940372763
HEAD,0.754,0.20834155256749676,0.38400779158291953
HEAD,0.756,0.20905138150625158,0.3845073343885912
HEAD,0.758,0.20975767312142213,0.3850008694678819
HEAD,0.76,0.21046039395862837,0.38548839907483645
HEAD,0.762,0.21115951077689077,0.3859699260745463
HEAD,0.764,0.2118549905512751,0.38644545394729124
HEAD,0.766,0.2125468004755368,0.3869149867926807
HEAD,0.768,0.21323490796476552,0.3873785293337947
HEAD,0.77,0.21391928065802962,0.38783608692132565
HEAD,0.772,0.214599886421021,0.3882876655377196
HEAD,0.774,0.21527669334869937,0.38873327180131734
HEAD,0.776,0.21594966976793661,0.38917291297049583
HEAD,0.778,0.21661878424016184,0.3896065969478098
HEAD,0.78,0.21728400556400554,0.39003433228413265
HEAD,0.782,0.21794530277794422,0.3904561281827982
HEAD,0.784,0.21860264516294498,0.39087199450374166
